week,train_weeks,alpha_global,alpha_regime,alpha_effective,train_global_p80_exp_at1,train_global_var10_at1,train_global_p_dd_at1,train_global_p80_exp_at_alpha,train_global_var10_at_alpha,train_global_p_dd_at_alpha,train_global_n_days
2025-09-29/2025-10-05,10,1.0,1.0,1.0,,,,,,,0
2025-10-06/2025-10-12,11,1.0,1.0,1.0,,,,,,,0
2025-10-13/2025-10-19,12,1.0,1.0,1.0,,,,,,,0
2025-10-20/2025-10-26,13,1.0,1.0,1.0,,,,,,,0
2025-10-27/2025-11-02,14,1.0,1.0,1.0,,,,,,,0
2025-11-03/2025-11-09,15,1.0,1.0,1.0,,,,,,,0
2025-11-10/2025-11-16,16,1.0,1.0,1.0,,,,,,,0
2025-11-17/2025-11-23,17,1.0,1.0,1.0,,,,,,,0
2025-11-24/2025-11-30,18,1.0,1.0,1.0,,,,,,,0
2025-12-01/2025-12-07,19,1.0,1.0,1.0,,,,,,,0
2025-12-08/2025-12-14,20,1.0,1.0,1.0,,,,,,,0
2025-12-15/2025-12-21,21,1.0,1.0,1.0,,,,,,,0
2025-12-22/2025-12-28,22,1.0,1.0,1.0,,,,,,,0
2025-12-29/2026-01-04,23,1.0,1.0,1.0,,,,,,,0
2026-01-05/2026-01-11,24,1.0,1.0,1.0,,,,,,,0
2026-01-12/2026-01-18,25,1.0,1.0,1.0,,,,,,,0
