week,alpha_global,rule_key,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-10-20/2025-10-26,1.0,FH|quinta-feira,19,874.0,60.053000000000004,0.06871052631578947
2025-10-20/2025-10-26,1.0,FT|quinta-feira,57,1311.0,-232.69100000000003,-0.17749122807017545
2025-11-03/2025-11-09,1.0,FT|quarta-feira,27,621.0,-81.834,-0.13177777777777777
2025-11-10/2025-11-16,1.0,FH|quarta-feira,5,115.0,-80.5,-0.7
2025-11-10/2025-11-16,1.0,FH|quinta-feira,5,727.0000000000001,70.67899999999996,0.09722008253094903
2025-11-10/2025-11-16,1.0,FT|quarta-feira,29,667.0,-37.742999999999995,-0.056586206896551715
2025-11-10/2025-11-16,1.0,FT|sábado,28,644.0,-172.99450000000002,-0.268625
2025-11-17/2025-11-23,1.0,FH|quinta-feira,6,138.0,42.596000000000004,0.3086666666666667
2025-11-17/2025-11-23,1.0,FT|quarta-feira,7,685.0,255.84000000000003,0.37348905109489056
2025-11-24/2025-11-30,1.0,FH|quinta-feira,5,596.0,41.26900000000012,0.06924328859060423
2025-11-24/2025-11-30,1.0,FT|quarta-feira,16,2090.0,-174.55700000000016,-0.08352009569377998
2025-11-24/2025-11-30,1.0,FT|segunda-feira,20,460.0,16.881999999999994,0.03669999999999999
2025-12-01/2025-12-07,1.0,FH|quinta-feira,6,661.0,-421.75800000000004,-0.6380605143721635
2025-12-01/2025-12-07,1.0,FT|quarta-feira,22,2148.0,-486.267,-0.2263812849162011
2025-12-01/2025-12-07,1.0,FT|segunda-feira,7,161.0,42.32,0.26285714285714284
2025-12-08/2025-12-14,1.0,FH|quinta-feira,2,46.0,28.381999999999998,0.617
2025-12-08/2025-12-14,1.0,FT|quarta-feira,3,353.0,285.307,0.8082351274787536
2025-12-08/2025-12-14,1.0,FT|segunda-feira,17,761.0,344.866,0.4531747700394218
2025-12-15/2025-12-21,1.0,FH|quinta-feira,5,115.0,-8.533000000000001,-0.07420000000000002
2025-12-15/2025-12-21,1.0,FH|terça-feira,6,138.0,-10.120000000000001,-0.07333333333333333
2025-12-15/2025-12-21,1.0,FT|quarta-feira,11,1201.0,-531.9395000000001,-0.4429138218151541
2025-12-15/2025-12-21,1.0,FT|segunda-feira,6,276.0,-12.144000000000002,-0.044000000000000004
2025-12-15/2025-12-21,1.0,FT|terça-feira,16,368.0,119.071,0.3235625
2025-12-22/2025-12-28,1.0,FT|segunda-feira,3,133.0,61.202999999999996,0.460172932330827
2025-12-22/2025-12-28,1.0,FT|terça-feira,11,499.0,145.48600000000002,0.2915551102204409
2025-12-29/2026-01-04,1.0,FH|terça-feira,1,23.0,0.0,0.0
2025-12-29/2026-01-04,1.0,FT|quarta-feira,1,23.0,0.0,0.0
2025-12-29/2026-01-04,1.0,FT|segunda-feira,1,46.0,40.342,0.877
2025-12-29/2026-01-04,1.0,FT|terça-feira,10,230.0,52.27900000000001,0.22730000000000006
2026-01-05/2026-01-11,1.0,FH|terça-feira,4,92.0,-46.0,-0.5
2026-01-05/2026-01-11,1.0,FT|quarta-feira,1,23.0,-23.0,-1.0
2026-01-05/2026-01-11,1.0,FT|segunda-feira,2,138.0,75.21000000000001,0.545
2026-01-05/2026-01-11,1.0,FT|terça-feira,24,1104.0,-21.206000000000017,-0.019208333333333348
2026-01-12/2026-01-18,1.0,FH|quinta-feira,13,299.0,-94.76,-0.3169230769230769
2026-01-12/2026-01-18,1.0,FH|terça-feira,11,253.0,-33.971000000000004,-0.1342727272727273
2026-01-12/2026-01-18,1.0,FT|quarta-feira,2,46.0,-46.0,-1.0
2026-01-12/2026-01-18,1.0,FT|segunda-feira,4,276.0,-276.0,-1.0
2026-01-12/2026-01-18,1.0,FT|terça-feira,52,2338.0,143.878,0.06153892215568862
