date,stake_usd,profit_cap2_usd,week,alpha_global
2025-10-23,5117.0,-619.947,2025-10-20/2025-10-26,1.0
2025-10-29,834.0,346.39000000000004,2025-10-27/2025-11-02,1.0
2025-11-01,2001.0,88.94099999999993,2025-10-27/2025-11-02,1.0
2025-11-05,1599.0,-141.82550000000003,2025-11-03/2025-11-09,1.0
2025-11-08,828.0,46.27600000000001,2025-11-03/2025-11-09,1.0
2025-11-12,2300.0,186.41500000000002,2025-11-10/2025-11-16,1.0
2025-11-13,727.0000000000001,70.67899999999996,2025-11-10/2025-11-16,1.0
2025-11-15,1288.0,-345.98900000000003,2025-11-10/2025-11-16,1.0
2025-11-17,669.0,307.71799999999996,2025-11-17/2025-11-23,1.0
2025-11-19,685.0,255.84000000000003,2025-11-17/2025-11-23,1.0
2025-11-20,893.0,286.317,2025-11-17/2025-11-23,1.0
2025-11-24,919.0,32.71199999999998,2025-11-24/2025-11-30,1.0
2025-11-26,2090.0,-174.55700000000016,2025-11-24/2025-11-30,1.0
2025-11-27,596.0,41.26900000000012,2025-11-24/2025-11-30,1.0
2025-12-01,322.0,84.64,2025-12-01/2025-12-07,1.0
2025-12-02,1635.0,-49.74800000000002,2025-12-01/2025-12-07,1.0
2025-12-03,2002.0000000000002,-214.70999999999998,2025-12-01/2025-12-07,1.0
2025-12-04,661.0,-421.75800000000004,2025-12-01/2025-12-07,1.0
2025-12-08,761.0,344.866,2025-12-08/2025-12-14,1.0
2025-12-09,230.0,122.56700000000001,2025-12-08/2025-12-14,1.0
2025-12-10,353.0,285.307,2025-12-08/2025-12-14,1.0
2025-12-11,236.00000000000003,92.55,2025-12-08/2025-12-14,1.0
2025-12-15,401.0,-33.153000000000006,2025-12-15/2025-12-21,1.0
2025-12-16,506.0,108.951,2025-12-15/2025-12-21,1.0
2025-12-17,1201.0,-531.9395000000001,2025-12-15/2025-12-21,1.0
2025-12-18,661.0,67.07700000000001,2025-12-15/2025-12-21,1.0
2025-12-23,499.0,145.48600000000002,2025-12-22/2025-12-28,1.0
2025-12-24,161.00000000000003,-161.00000000000003,2025-12-22/2025-12-28,1.0
2025-12-29,69.0,60.513,2025-12-29/2026-01-04,1.0
2025-12-30,552.0,113.528,2025-12-29/2026-01-04,1.0
2025-12-31,161.00000000000003,0.0,2025-12-29/2026-01-04,1.0
2026-01-05,138.0,75.21000000000001,2026-01-05/2026-01-11,1.0
2026-01-06,1311.0,-159.20600000000002,2026-01-05/2026-01-11,1.0
2026-01-07,161.00000000000003,-161.00000000000003,2026-01-05/2026-01-11,1.0
2026-01-12,276.0,-276.0,2026-01-12/2026-01-18,1.0
2026-01-13,2591.0,109.907,2026-01-12/2026-01-18,1.0
2026-01-14,322.00000000000006,-322.00000000000006,2026-01-12/2026-01-18,1.0
2026-01-15,2026.0000000000002,-631.3200000000002,2026-01-12/2026-01-18,1.0
