rule_key,mean_week_profit,ci95_lo,ci95_hi,p_week_pos,p_week_neg
FT|terça-feira,83.4375,9.43749999999999,165.18906249999986,0.5,0.125
FT|sábado,65.5625,3.75,138.0,0.5,0.125
FT|segunda-feira,56.625,-13.751562499999999,130.37656249999986,0.4375,0.0625
FH|sábado,46.4375,6.46875,93.15625,0.5,0.1875
FT|quarta-feira,27.718749999999996,-98.37578125000002,156.09531249999986,0.375,0.25
FH|quarta-feira,2.6875000000000036,-74.46875,72.72109374999981,0.3125,0.1875
FT|domingo,-2.15625,-8.625,2.875,0.0625,0.125
FT|sexta-feira,-2.875,-20.125,10.0625,0.125,0.0625
FH|domingo,-8.625,-25.875,0.0,0.0,0.0625
FH|quinta-feira,-20.250000000000007,-140.40703125000002,89.09453124999993,0.3125,0.3125
FT|quinta-feira,-24.40625,-156.84375,100.875,0.0625,0.125
FH|terça-feira,-28.0,-118.09375,47.18828124999993,0.3125,0.1875
