week,train_weeks,alpha_global,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,11,1.0,16,1937.0,-162.0,-0.08363448631905007
2025-10-13/2025-10-19,12,1.0,93,7738.0,1511.0,0.19527009563194625
2025-10-20/2025-10-26,13,1.0,80,5374.0,-432.0,-0.08038704875325642
2025-10-27/2025-11-02,14,1.0,42,2879.0,897.0,0.3115665161514415
2025-11-03/2025-11-09,15,1.0,162,6813.0,111.0,0.016292382210479964
2025-11-10/2025-11-16,16,1.0,130,8969.0,-900.0000000000001,-0.10034563496487904
2025-11-17/2025-11-23,17,1.0,118,4068.0,610.0,0.14995083579154375
2025-11-24/2025-11-30,18,1.0,177,9348.0,1208.5,0.12927899015832264
2025-12-01/2025-12-07,19,1.0,123,7784.0,-486.0,-0.06243576567317575
2025-12-08/2025-12-14,20,1.0,112,5779.0,1389.5,0.24043952240872124
2025-12-15/2025-12-21,21,1.0,62,5055.0,179.00000000000003,0.03541048466864491
2025-12-22/2025-12-28,22,1.0,30,1852.0,59.0,0.03185745140388769
2025-12-29/2026-01-04,23,1.0,23,1512.0,-44.0,-0.0291005291005291
2026-01-05/2026-01-11,24,1.0,64,4167.0,-57.99999999999997,-0.013918886489080866
2026-01-12/2026-01-18,25,1.0,51,3397.0,-391.5,-0.11524874889608477
