test_week,train_weeks,bet_type,dow_pt,score_col,cutoff,stake_frac,status
2025-09-29/2025-10-05,10,FT,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FT,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FT,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FT,quinta-feira,proba_raw_segqui,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FT,sexta-feira,proba_raw_sexdom,0.57,0.07,ok
2025-09-29/2025-10-05,10,FT,sábado,proba_raw_sexdom,0.59,0.07,ok
2025-09-29/2025-10-05,10,FT,domingo,proba_raw_sexdom,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FH,segunda-feira,proba_raw_segunda,1.0,0.0,no_data
2025-09-29/2025-10-05,10,FH,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FH,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FH,quinta-feira,proba_raw_segqui,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-09-29/2025-10-05,10,FH,sábado,proba_raw_sexdom,1.0,0.0,too_few_weeks
2025-09-29/2025-10-05,10,FH,domingo,proba_raw_sexdom,1.0,0.0,too_few_weeks
2025-10-06/2025-10-12,11,FT,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-10-06/2025-10-12,11,FT,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-10-06/2025-10-12,11,FT,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-10-06/2025-10-12,11,FT,quinta-feira,proba_raw_segqui,0.19,0.04,ok
2025-10-06/2025-10-12,11,FT,sexta-feira,proba_raw_sexdom,0.57,0.07,ok
2025-10-06/2025-10-12,11,FT,sábado,proba_raw_sexdom,0.37,0.03,ok
2025-10-06/2025-10-12,11,FT,domingo,proba_raw_sexdom,0.29,0.07,ok
2025-10-06/2025-10-12,11,FH,segunda-feira,proba_raw_segunda,1.0,0.0,no_data
2025-10-06/2025-10-12,11,FH,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-10-06/2025-10-12,11,FH,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-10-06/2025-10-12,11,FH,quinta-feira,proba_raw_segqui,0.19,0.07,ok
2025-10-06/2025-10-12,11,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-06/2025-10-12,11,FH,sábado,proba_raw_sexdom,0.43,0.07,ok
2025-10-06/2025-10-12,11,FH,domingo,proba_raw_sexdom,1.0,0.0,too_few_weeks
2025-10-13/2025-10-19,12,FT,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-10-13/2025-10-19,12,FT,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-10-13/2025-10-19,12,FT,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-10-13/2025-10-19,12,FT,quinta-feira,proba_raw_segqui,0.19,0.02,ok
2025-10-13/2025-10-19,12,FT,sexta-feira,proba_raw_sexdom,0.57,0.07,ok
2025-10-13/2025-10-19,12,FT,sábado,proba_raw_sexdom,0.47,0.07,ok
2025-10-13/2025-10-19,12,FT,domingo,proba_raw_sexdom,0.45,0.01,ok
2025-10-13/2025-10-19,12,FH,segunda-feira,proba_raw_segunda,1.0,0.0,no_data
2025-10-13/2025-10-19,12,FH,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-10-13/2025-10-19,12,FH,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-10-13/2025-10-19,12,FH,quinta-feira,proba_raw_segqui,0.29,0.07,ok
2025-10-13/2025-10-19,12,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-13/2025-10-19,12,FH,sábado,proba_raw_sexdom,0.81,0.05,ok
2025-10-13/2025-10-19,12,FH,domingo,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-20/2025-10-26,13,FT,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-10-20/2025-10-26,13,FT,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-10-20/2025-10-26,13,FT,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-10-20/2025-10-26,13,FT,quinta-feira,proba_raw_segqui,0.13,0.03,ok
2025-10-20/2025-10-26,13,FT,sexta-feira,proba_raw_sexdom,0.57,0.07,ok
2025-10-20/2025-10-26,13,FT,sábado,proba_raw_sexdom,0.55,0.07,ok
2025-10-20/2025-10-26,13,FT,domingo,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-20/2025-10-26,13,FH,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-10-20/2025-10-26,13,FH,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-10-20/2025-10-26,13,FH,quarta-feira,proba_raw_quarta,1.0,0.0,too_few_weeks
2025-10-20/2025-10-26,13,FH,quinta-feira,proba_raw_segqui,0.67,0.07,ok
2025-10-20/2025-10-26,13,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-20/2025-10-26,13,FH,sábado,proba_raw_sexdom,0.43,0.04,ok
2025-10-20/2025-10-26,13,FH,domingo,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-27/2025-11-02,14,FT,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-10-27/2025-11-02,14,FT,terça-feira,proba_raw_terca,1.0,0.0,no_candidate
2025-10-27/2025-11-02,14,FT,quarta-feira,proba_raw_quarta,0.55,0.07,ok
2025-10-27/2025-11-02,14,FT,quinta-feira,proba_raw_segqui,0.83,0.02,ok
2025-10-27/2025-11-02,14,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-27/2025-11-02,14,FT,sábado,proba_raw_sexdom,0.59,0.07,ok
2025-10-27/2025-11-02,14,FT,domingo,proba_raw_sexdom,0.49,0.07,ok
2025-10-27/2025-11-02,14,FH,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-10-27/2025-11-02,14,FH,terça-feira,proba_raw_terca,1.0,0.0,too_few_weeks
2025-10-27/2025-11-02,14,FH,quarta-feira,proba_raw_quarta,0.05,0.07,ok
2025-10-27/2025-11-02,14,FH,quinta-feira,proba_raw_segqui,0.67,0.07,ok
2025-10-27/2025-11-02,14,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-10-27/2025-11-02,14,FH,sábado,proba_raw_sexdom,0.43,0.03,ok
2025-10-27/2025-11-02,14,FH,domingo,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-03/2025-11-09,15,FT,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-11-03/2025-11-09,15,FT,terça-feira,proba_raw_terca,1.0,0.0,no_candidate
2025-11-03/2025-11-09,15,FT,quarta-feira,proba_raw_quarta,0.55,0.07,ok
2025-11-03/2025-11-09,15,FT,quinta-feira,proba_raw_segqui,0.83,0.02,ok
2025-11-03/2025-11-09,15,FT,sexta-feira,proba_raw_sexdom,0.57,0.07,ok
2025-11-03/2025-11-09,15,FT,sábado,proba_raw_sexdom,0.55,0.07,ok
2025-11-03/2025-11-09,15,FT,domingo,proba_raw_sexdom,0.27,0.04,ok
2025-11-03/2025-11-09,15,FH,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-11-03/2025-11-09,15,FH,terça-feira,proba_raw_terca,0.65,0.07,ok
2025-11-03/2025-11-09,15,FH,quarta-feira,proba_raw_quarta,0.25,0.07,ok
2025-11-03/2025-11-09,15,FH,quinta-feira,proba_raw_segqui,0.67,0.07,ok
2025-11-03/2025-11-09,15,FH,sexta-feira,proba_raw_sexdom,0.09,0.01,ok
2025-11-03/2025-11-09,15,FH,sábado,proba_raw_sexdom,0.43,0.02,ok
2025-11-03/2025-11-09,15,FH,domingo,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-10/2025-11-16,16,FT,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-11-10/2025-11-16,16,FT,terça-feira,proba_raw_terca,1.0,0.0,no_candidate
2025-11-10/2025-11-16,16,FT,quarta-feira,proba_raw_quarta,0.43,0.07,ok
2025-11-10/2025-11-16,16,FT,quinta-feira,proba_raw_segqui,0.83,0.02,ok
2025-11-10/2025-11-16,16,FT,sexta-feira,proba_raw_sexdom,0.57,0.07,ok
2025-11-10/2025-11-16,16,FT,sábado,proba_raw_sexdom,0.47,0.04,ok
2025-11-10/2025-11-16,16,FT,domingo,proba_raw_sexdom,0.27,0.04,ok
2025-11-10/2025-11-16,16,FH,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-11-10/2025-11-16,16,FH,terça-feira,proba_raw_terca,0.61,0.07,ok
2025-11-10/2025-11-16,16,FH,quarta-feira,proba_raw_quarta,0.29,0.04,ok
2025-11-10/2025-11-16,16,FH,quinta-feira,proba_raw_segqui,0.67,0.07,ok
2025-11-10/2025-11-16,16,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-10/2025-11-16,16,FH,sábado,proba_raw_sexdom,0.43,0.02,ok
2025-11-10/2025-11-16,16,FH,domingo,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-17/2025-11-23,17,FT,segunda-feira,proba_raw_segunda,0.33,0.07,ok
2025-11-17/2025-11-23,17,FT,terça-feira,proba_raw_terca,0.19,0.01,ok
2025-11-17/2025-11-23,17,FT,quarta-feira,proba_raw_quarta,0.43,0.07,ok
2025-11-17/2025-11-23,17,FT,quinta-feira,proba_raw_segqui,0.83,0.02,ok
2025-11-17/2025-11-23,17,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-17/2025-11-23,17,FT,sábado,proba_raw_sexdom,0.47,0.04,ok
2025-11-17/2025-11-23,17,FT,domingo,proba_raw_sexdom,0.49,0.07,ok
2025-11-17/2025-11-23,17,FH,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-11-17/2025-11-23,17,FH,terça-feira,proba_raw_terca,0.81,0.06,ok
2025-11-17/2025-11-23,17,FH,quarta-feira,proba_raw_quarta,0.29,0.01,ok
2025-11-17/2025-11-23,17,FH,quinta-feira,proba_raw_segqui,0.67,0.07,ok
2025-11-17/2025-11-23,17,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-17/2025-11-23,17,FH,sábado,proba_raw_sexdom,0.43,0.02,ok
2025-11-17/2025-11-23,17,FH,domingo,proba_raw_sexdom,0.35,0.07,ok
2025-11-24/2025-11-30,18,FT,segunda-feira,proba_raw_segunda,0.33,0.07,ok
2025-11-24/2025-11-30,18,FT,terça-feira,proba_raw_terca,0.21,0.01,ok
2025-11-24/2025-11-30,18,FT,quarta-feira,proba_raw_quarta,0.43,0.07,ok
2025-11-24/2025-11-30,18,FT,quinta-feira,proba_raw_segqui,0.83,0.02,ok
2025-11-24/2025-11-30,18,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-24/2025-11-30,18,FT,sábado,proba_raw_sexdom,0.41,0.02,ok
2025-11-24/2025-11-30,18,FT,domingo,proba_raw_sexdom,0.49,0.07,ok
2025-11-24/2025-11-30,18,FH,segunda-feira,proba_raw_segunda,1.0,0.0,too_few_weeks
2025-11-24/2025-11-30,18,FH,terça-feira,proba_raw_terca,0.65,0.07,ok
2025-11-24/2025-11-30,18,FH,quarta-feira,proba_raw_quarta,0.05,0.07,ok
2025-11-24/2025-11-30,18,FH,quinta-feira,proba_raw_segqui,0.67,0.07,ok
2025-11-24/2025-11-30,18,FH,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-11-24/2025-11-30,18,FH,sábado,proba_raw_sexdom,0.19,0.01,ok
2025-11-24/2025-11-30,18,FH,domingo,proba_raw_sexdom,0.11,0.02,ok
2025-12-01/2025-12-07,19,FT,segunda-feira,proba_raw_segunda,0.33,0.07,ok
2025-12-01/2025-12-07,19,FT,terça-feira,proba_raw_terca,0.21,0.03,ok
2025-12-01/2025-12-07,19,FT,quarta-feira,proba_raw_quarta,0.53,0.07,ok
2025-12-01/2025-12-07,19,FT,quinta-feira,proba_raw_segqui,0.83,0.02,ok
2025-12-01/2025-12-07,19,FT,sexta-feira,proba_raw_sexdom,1.0,0.0,no_candidate
2025-12-01/2025-12-07,19,FT,sábado,proba_raw_sexdom,0.57,0.07,ok
2025-12-01/2025-12-07,19,FT,domingo,proba_raw_sexdom,0.49,0.07,ok
2025-12-01/2025-12-07,19,FH,segunda-feira,proba_raw_segunda,1.0,0.0,no_candidate
2025-12-01/2025-12-07,19,FH,terça-feira,proba_raw_terca,0.65,0.07,ok
2025-12-01/2025-12-07,19,FH,quarta-feira,proba_raw_quarta,0.55,0.03,ok
2025-12-01/2025-12-07,19,FH,quinta-feira,proba_raw_segqui,0.67,0.07,ok
