week,train_weeks,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,3,483.0000000000001,-80.50000000000001,-0.16666666666666666
2025-10-06/2025-10-12,11,90,9051.0,-481.5,-0.05319854159761352
2025-10-13/2025-10-19,12,71,6210.0,1440.5,0.2319645732689211
2025-10-20/2025-10-26,13,114,10150.0,-430.0,-0.042364532019704436
2025-10-27/2025-11-02,14,45,4015.0,-31.49999999999997,-0.007845579078455784
2025-11-03/2025-11-09,15,124,6864.0,-68.5,-0.00997960372960373
2025-11-10/2025-11-16,16,50,5032.0,61.00000000000017,0.012122416534181274
2025-11-17/2025-11-23,17,71,4719.0,563.5000000000001,0.11941089213816489
2025-11-24/2025-11-30,18,221,11292.0,1875.0,0.16604675876726888
2025-12-01/2025-12-07,19,79,7232.0,-598.0,-0.08268805309734513
2025-12-08/2025-12-14,20,94,4989.0,1810.5,0.36289837642814193
2025-12-15/2025-12-21,21,56,3765.0,346.0,0.09189907038512617
2025-12-22/2025-12-28,22,24,1012.0,-184.00000000000003,-0.18181818181818185
2025-12-29/2026-01-04,23,16,1012.0,46.0,0.045454545454545456
2026-01-05/2026-01-11,24,75,3592.0,402.5,0.11205456570155901
2026-01-12/2026-01-18,25,49,3145.0,-391.5,-0.12448330683624802
