section,rule_key,weeks_with_blocks,block_events,mean_regions_blocked,max_regions_blocked,week,n_rules_with_blocks,region,block_count
by_rule_key,FT|quarta-feira,6.0,6.0,1.6666666666666667,2.0,,,,
by_rule_key,FT|terça-feira,5.0,5.0,1.0,1.0,,,,
by_rule_key,FH|terça-feira,3.0,3.0,1.0,1.0,,,,
by_rule_key,FH|quinta-feira,2.0,2.0,1.0,1.0,,,,
by_rule_key,FT|sexta-feira,2.0,2.0,1.0,1.0,,,,
by_rule_key,FH|sábado,1.0,1.0,1.0,1.0,,,,
by_week,,,1.0,1.0,1.0,2025-10-27/2025-11-02,1.0,,
by_week,,,1.0,1.0,1.0,2025-11-03/2025-11-09,1.0,,
by_week,,,1.0,1.0,1.0,2025-12-01/2025-12-07,1.0,,
by_week,,,1.0,2.0,2.0,2025-12-08/2025-12-14,1.0,,
by_week,,,2.0,1.5,2.0,2025-12-15/2025-12-21,2.0,,
by_week,,,2.0,1.5,2.0,2025-12-22/2025-12-28,2.0,,
by_week,,,3.0,1.3333333333333333,2.0,2025-12-29/2026-01-04,3.0,,
by_week,,,2.0,1.0,1.0,2026-01-05/2026-01-11,2.0,,
by_week,,,3.0,1.0,1.0,2026-01-12/2026-01-18,3.0,,
by_week,,,3.0,1.0,1.0,2026-01-19/2026-01-25,3.0,,
by_region,,,,,,,,europa_ocidental,10.0
by_region,,,,,,,,desconhecida,7.0
by_region,,,,,,,,europa_oriental,6.0
