group,task,model,train_weeks,test_weeks,n_train,n_test,auc,brier,p_mean,y_mean,rmse,pred_mean,bias
segunda,cls,logit_l2,11,4,297,13,0.4,0.3200283676059384,0.5597530196759465,0.38461538461538464,,,
segunda,cls,hgb_cls,11,4,297,13,0.47500000000000003,0.31830451318748254,0.5688420560456205,0.38461538461538464,,,
segunda,reg,ridge,11,4,297,13,,,,-0.09038461538461538,1.2215418815324033,0.42832940884114434,0.5187140242257597
segunda,reg,hgb_reg,11,4,297,13,,,,-0.09038461538461538,0.956913771244386,0.31959121030496856,0.40997582568958396
terca,cls,logit_l2,14,4,449,197,0.47282368537339814,0.2724465267384866,0.40169353632358723,0.37055837563451777,,,
terca,cls,hgb_cls,14,4,449,197,0.5697083517454706,0.2569172560163465,0.37937863566450597,0.37055837563451777,,,
terca,reg,ridge,14,4,449,197,,,,0.0013908629441624321,0.9525233255685507,0.01175343424792363,0.010362571303761198
terca,reg,hgb_reg,14,4,449,197,,,,0.0013908629441624321,0.9099733031362058,-0.07440762393226494,-0.07579848687642737
quarta,cls,logit_l2,14,4,529,74,0.5326007326007326,0.277625106253505,0.4559549216329703,0.527027027027027,,,
quarta,cls,hgb_cls,14,4,529,74,0.5882783882783883,0.2685440790778264,0.38819297857307966,0.527027027027027,,,
quarta,reg,ridge,14,4,529,74,,,,0.22416216216216217,1.0640650370238294,-0.11443735830319482,-0.338599520465357
quarta,reg,hgb_reg,14,4,529,74,,,,0.22416216216216217,0.9587540463968212,-0.15848813722310715,-0.3826502993852693
quinta,cls,logit_l2,16,4,601,76,0.5749299719887955,0.25962679116286214,0.3543563179209045,0.4473684210526316,,,
quinta,cls,hgb_cls,16,4,601,76,0.6981792717086835,0.23875414377734544,0.28538150130062345,0.4473684210526316,,,
quinta,reg,ridge,16,4,601,76,,,,0.11623026315789475,0.9741797690457508,-0.15935682329884449,-0.27558708645673924
quinta,reg,hgb_reg,16,4,601,76,,,,0.11623026315789475,0.9297949644571948,-0.11493656117859533,-0.23116682433649008
sexdom,cls,logit_l2,20,4,4249,208,0.5958948639361011,0.24771065775785403,0.39908630648131466,0.46634615384615385,,,
sexdom,cls,hgb_cls,20,4,4249,208,0.6182780718863192,0.24329752263457227,0.5261730158445015,0.46634615384615385,,,
sexdom,reg,ridge,20,4,4249,208,,,,0.12824999999999998,0.9202171904882975,0.06160444195809992,-0.06664555804190006
sexdom,reg,hgb_reg,20,4,4249,208,,,,0.12824999999999998,0.8944555879533174,0.17256523236179133,0.04431523236179136
