ID Aposta,BIA_ApostaUTC,RebelBetting.Result,stake,got,aux_odds,slip_signed,slip_abs,slip_rel,roi_delta,profit_delta
1,2025-08-17 10:28:00,,,2.57,2.57,0.0,0.0,0.0,,
3,2025-08-18 09:55:00,Win,,2.02,2.02,0.0,0.0,0.0,0.0,
4,2025-08-18 11:22:00,Win,,1.96,2.021,-0.06099999999999994,0.06099999999999994,-0.031122448979591807,-0.06099999999999994,
5,2025-08-18 11:24:00,Win,,1.83,1.83,0.0,0.0,0.0,0.0,
6,2025-08-19 20:16:00,Lose,,1.724,1.724,0.0,0.0,0.0,0.0,
7,2025-08-19 21:02:00,Win,,2.13,2.13,0.0,0.0,0.0,0.0,
10,2025-08-19 21:35:00,Void,,2.02,2.02,0.0,0.0,0.0,0.0,
11,2025-08-19 23:47:00,Win,,2.04,2.0,0.040000000000000036,0.040000000000000036,0.01960784313725492,0.040000000000000036,
12,2025-08-20 00:23:00,Win,,1.575,1.575,0.0,0.0,0.0,0.0,
13,2025-08-20 01:29:00,Lose,,3.17,3.17,0.0,0.0,0.0,0.0,
14,2025-08-20 02:06:00,Win,,1.73,1.73,0.0,0.0,0.0,0.0,
15,2025-08-20 09:47:00,Lose,,1.829,1.829,0.0,0.0,0.0,0.0,
16,2025-08-20 09:48:00,Lose,,2.08,2.01,0.07000000000000028,0.07000000000000028,0.03365384615384629,0.0,
17,2025-08-20 09:50:00,Lose,,2.035,2.035,0.0,0.0,0.0,0.0,
18,2025-08-20 09:52:00,Lose,,1.81,1.81,0.0,0.0,0.0,0.0,
19,2025-08-20 10:58:00,Win,,2.02,2.02,0.0,0.0,0.0,0.0,
20,2025-08-20 11:44:00,Win,,2.092,2.092,0.0,0.0,0.0,0.0,
21,2025-08-20 13:46:00,Lose,,1.75,1.75,0.0,0.0,0.0,0.0,
22,2025-08-20 14:19:00,Lose,,1.92,1.92,0.0,0.0,0.0,0.0,
23,2025-08-20 16:09:00,Win,,1.51,1.51,0.0,0.0,0.0,0.0,
24,2025-08-20 16:31:00,Win,,1.85,1.85,0.0,0.0,0.0,0.0,
25,2025-08-20 16:58:00,Lose,,1.95,1.95,0.0,0.0,0.0,0.0,
26,2025-08-20 19:55:00,Win,,2.211,2.211,0.0,0.0,0.0,0.0,
27,2025-08-21 00:58:00,HalfLose,,2.19,2.19,0.0,0.0,0.0,0.0,
28,2025-08-21 01:39:00,Win,,1.57,1.57,0.0,0.0,0.0,0.0,
29,2025-08-21 14:18:00,Win,,1.894,1.894,0.0,0.0,0.0,0.0,
30,2025-08-21 14:19:00,Win,,2.17,2.17,0.0,0.0,0.0,0.0,
31,2025-08-21 14:21:00,Win,,2.092,2.092,0.0,0.0,0.0,0.0,
32,2025-08-21 15:13:00,Lose,,1.934,1.934,0.0,0.0,0.0,0.0,
33,2025-08-21 15:20:00,Lose,,1.884,1.884,0.0,0.0,0.0,0.0,
35,2025-08-21 16:20:00,HalfLose,,1.775,1.775,0.0,0.0,0.0,0.0,
36,2025-08-21 17:01:00,Lose,,2.014,2.014,0.0,0.0,0.0,0.0,
37,2025-08-21 17:49:00,Void,,1.75,1.75,0.0,0.0,0.0,0.0,
