week,n,stake,delta_profit,mean_delta,delta_roi_on_stake
2025-12-08/2025-12-14,41,3085.0,-7.99999999999999,-0.19512195121951195,-0.0025931928687196078
2025-10-27/2025-11-02,29,349.0,-6.585000000000001,-0.2270689655172414,-0.018868194842406878
2025-10-13/2025-10-19,11,66.0,-3.4200000000000004,-0.31090909090909097,-0.051818181818181826
2025-10-06/2025-10-12,22,129.0,-0.09000000000000075,-0.004090909090909125,-0.0006976744186046569
2025-03-03/2025-03-09,7,62.97,0.0,0.0,0.0
2026-01-05/2026-01-11,23,5700.0,0.0,0.0,0.0
2025-12-22/2025-12-28,20,1470.0,0.0,0.0,0.0
2025-01-06/2025-01-12,2,69.75999999999999,0.0,0.0,0.0
2025-04-07/2025-04-13,22,248.34,0.030000000000000027,0.0013636363636363648,0.00012080212611741977
2025-09-15/2025-09-21,64,144.37,0.12162999999999959,0.0019004687499999935,0.0008424880515342494
2025-11-10/2025-11-16,16,242.0,0.26299999999999923,0.016437499999999952,0.0010867768595041291
2025-08-25/2025-08-31,47,609.12,0.5157000000000005,0.010972340425531924,0.0008466312056737596
2025-08-18/2025-08-24,55,206.27,0.8693799999999996,0.015806909090909083,0.004214767052891839
2025-09-08/2025-09-14,38,168.79,0.9398199999999999,0.024732105263157892,0.005567983885301261
2025-09-22/2025-09-28,99,243.0,1.164999999999996,0.011767676767676727,0.0047942386831275555
2025-09-29/2025-10-05,166,988.0,2.1759999999999975,0.013108433734939744,0.002202429149797568
2025-11-03/2025-11-09,7,245.0,2.4799999999999933,0.3542857142857133,0.01012244897959181
2025-11-24/2025-11-30,40,2374.0,3.1199999999999894,0.07799999999999974,0.0013142375737152441
2025-10-20/2025-10-26,141,606.0,3.356999999999998,0.023808510638297857,0.005539603960396036
2025-12-29/2026-01-04,9,2350.0,3.7499999999999756,0.41666666666666397,0.0015957446808510533
2025-09-01/2025-09-07,55,479.01,3.98833,0.0725150909090909,0.008326193607649109
2025-12-15/2025-12-21,44,1985.0,5.800000000000005,0.13181818181818195,0.002921914357682622
2026-01-12/2026-01-18,21,7450.0,10.000000000000009,0.4761904761904766,0.001342281879194632
2025-12-01/2025-12-07,23,2212.0,12.107000000000001,0.5263913043478261,0.005473327305605787
2025-11-17/2025-11-23,19,720.0,16.200000000000003,0.8526315789473685,0.022500000000000003
