ID Aposta,BIA_ApostaUTC,week,bet_type,dow_pt,rule_key,alpha_effective,stake_eff,house_cap,RebelBetting.Result,BetinAsia.got price,ApostaLive.Aux1 - maior odd,odd_got,odd_aux,slippage_odds,roi_got,roi_aux,roi_got_cap2,roi_aux_cap2,delta_profit_cap2,delta_profit_uncapped,slippage_covered
6034,2025-10-23 00:07:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,54.0,HalfWin,,1917.0,,1.917,,,0.4585,,0.4585,,,0
6046,2025-10-23 03:28:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,104.0,HalfLose,,2040.0,,2.04,,,-0.5,,-0.5,,,0
6049,2025-10-23 04:06:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,126.0,Void,,1492.0,,1.492,,,0.0,,0.0,,,0
6054,2025-10-23 05:17:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,87.0,Win,,1574.0,,1.574,,,0.5740000000000001,,0.5740000000000001,,,0
6078,2025-10-23 08:25:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,126.0,HalfLose,,1960.0,,1.96,,,-0.5,,-0.5,,,0
6093,2025-10-23 09:51:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,133.0,Win,,2142.0,,2.142,,,1.142,,1.142,,,0
6116,2025-10-23 12:01:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,108.0,Win,,1994.0,,1.994,,,0.994,,0.994,,,0
6128,2025-10-23 12:38:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,63.0,Win,,1793.0,,1.793,,,0.7929999999999999,,0.7929999999999999,,,0
6147,2025-10-23 14:59:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,307.0,Lose,1.974,1974.0,1.974,1.974,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1
6148,2025-10-23 15:04:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,307.0,Lose,1.974,1974.0,1.974,1.974,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1
6149,2025-10-23 15:13:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,50.0,Lose,,2310.0,,2.31,,,-1.0,,-1.0,,,0
6150,2025-10-23 15:29:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,190.0,HalfLose,1.874,1874.0,1.874,1.874,0.0,-0.5,-0.5,-0.5,-0.5,0.0,0.0,1
6167,2025-10-23 17:01:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,84.0,Void,,1591.0,,1.591,,,0.0,,0.0,,,0
6179,2025-10-23 18:45:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,93.0,Void,,1540.0,,1.54,,,0.0,,0.0,,,0
6181,2025-10-23 19:12:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,225.0,Win,,2142.0,,2.142,,,1.142,,1.142,,,0
6190,2025-10-23 20:54:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,50.0,Void,,2800.0,,2.8,,,0.0,,0.0,,,0
6198,2025-10-23 21:28:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,108.0,Void,,1820.0,,1.82,,,0.0,,0.0,,,0
6207,2025-10-23 23:05:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,126.0,HalfLose,,1994.0,,1.994,,,-0.5,,-0.5,,,0
6208,2025-10-23 23:30:00,2025-10-20/2025-10-26,FH,quinta-feira,FH|quinta-feira,1.0,46.0,150.0,Win,,2142.0,,2.142,,,1.142,,1.142,,,0
8000,2025-10-29 01:43:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,163.0,Void,,1630.0,,1.63,,,0.0,,0.0,,,0
8008,2025-10-29 04:03:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,87.0,Lose,,1571.0,,1.571,,,-1.0,,-1.0,,,0
8009,2025-10-29 04:04:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,127.0,Win,,1910.0,,1.91,,,0.9099999999999999,,0.9099999999999999,,,0
8015,2025-10-29 04:08:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,127.0,Lose,,1980.0,,1.98,,,-1.0,,-1.0,,,0
8024,2025-10-29 04:14:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,208.0,Win,,2030.0,,2.03,,,1.0299999999999998,,1.0299999999999998,,,0
8025,2025-10-29 04:15:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,154.0,Lose,1.884,1884.0,1.884,1.884,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1
8034,2025-10-29 05:08:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,29.0,Win,,1869.0,,1.869,,,0.869,,0.869,,,0
8039,2025-10-29 06:01:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,127.0,Lose,,1880.0,,1.88,,,-1.0,,-1.0,,,0
8041,2025-10-29 06:03:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,79.0,Win,,1632.0,,1.632,,,0.6319999999999999,,0.6319999999999999,,,0
8045,2025-10-29 06:13:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,125.0,HalfLose,,2010.0,,2.01,,,-0.5,,-0.5,,,0
8053,2025-10-29 07:12:00,2025-10-27/2025-11-02,FH,quarta-feira,FH|quarta-feira,1.0,23.0,50.0,Win,,2130.0,,2.13,,,1.13,,1.13,,,0
