period,bet_type,dow_pt,score_col,cutoff,stake_frac,stake0_usd,n_selected,n_uncapped,n_capped,mean_roi_cap2,mean_roi_uncapped,mean_roi_capped,delta_unc_minus_capped,delta_ci95_lo,delta_ci95_hi,perm_p_delta,n_with_stake_hist_gt0,spearman_rho_roi_vs_stake_hist,spearman_perm_p
train,FT,segunda-feira,proba_raw_segunda,0.21,0.03,69.0,152,121,31,0.20723684210526316,0.2066115702479339,0.20967741935483872,-0.0030658491069048277,-0.40123633697680616,0.3925653159157558,1.0,12,-0.06356417261637283,1.0
train,FT,terça-feira,proba_raw_terca,0.25,0.03,69.0,213,173,40,0.2112676056338028,0.16184971098265896,0.425,-0.26315028901734105,-0.6029028179190752,0.06669255780346817,0.1277744451109778,88,0.07064108914097411,0.5090981803639272
train,FT,quarta-feira,proba_raw_quarta,0.31,0.03,69.0,197,163,34,0.16751269035532995,0.15030674846625766,0.25,-0.09969325153374234,-0.4956807109346806,0.2950333814507396,0.6132773445310937,39,0.30121401041659435,0.0621875624875025
train,FT,sexta-feira,proba_raw_sexdom,0.31,0.02,46.0,314,312,2,0.07484076433121019,0.07532051282051282,0.0,,,,,41,-0.21085525744733788,0.1821635672865427
train,FT,sábado,proba_raw_sexdom,0.57,0.07,161.00000000000003,56,51,5,0.23214285714285715,0.2647058823529412,-0.1,0.3647058823529412,-0.503921568627451,1.182401960784313,0.5162967406518696,26,0.17031265278901006,0.3915216956608678
train,FT,domingo,proba_raw_sexdom,0.49,0.04,92.0,1,1,0,1.0,1.0,,,,,,0,,
train,FH,terça-feira,proba_raw_terca,0.67,0.07,161.00000000000003,43,9,34,0.45348837209302323,0.6666666666666666,0.39705882352941174,0.2696078431372549,-0.47058823529411764,0.9411764705882353,0.5562887422515497,11,-0.030458422490007953,0.9510097980403919
train,FH,sexta-feira,proba_raw_sexdom,0.09,0.01,23.0,483,483,0,0.07039337474120083,0.07039337474120083,,,,,,37,-0.14764844279658657,0.39072185562887424
train,FH,sábado,proba_raw_sexdom,0.23,0.01,23.0,564,563,1,0.11879432624113476,0.1172291296625222,1.0,,,,,125,-0.1314244693040099,0.14337132573485303
train,FH,domingo,proba_raw_sexdom,0.41,0.05,115.0,14,14,0,0.4642857142857143,0.4642857142857143,,,,,,0,,
oos,FT,segunda-feira,proba_raw_segunda,0.21,0.03,69.0,6,6,0,-0.5,-0.5,,,,,,6,,
oos,FT,terça-feira,proba_raw_terca,0.25,0.03,69.0,64,55,9,-0.0078125,0.00909090909090909,-0.1111111111111111,0.1202020202020202,-0.508080808080808,0.7212121212121212,0.7844431113777245,54,-0.04185141410954581,0.7840431913617276
oos,FT,quarta-feira,proba_raw_quarta,0.31,0.03,69.0,6,6,0,0.3333333333333333,0.3333333333333333,,,,,,2,,
oos,FT,sexta-feira,proba_raw_sexdom,0.31,0.02,46.0,12,12,0,-0.125,-0.125,,,,,,0,,
oos,FT,sábado,proba_raw_sexdom,0.57,0.07,161.00000000000003,2,2,0,0.0,0.0,,,,,,0,,
oos,FH,terça-feira,proba_raw_terca,0.67,0.07,161.00000000000003,3,0,3,-0.16666666666666666,,-0.16666666666666666,,,,,1,,
oos,FH,sexta-feira,proba_raw_sexdom,0.09,0.01,23.0,36,36,0,0.19444444444444445,0.19444444444444445,,,,,,0,,
oos,FH,sábado,proba_raw_sexdom,0.23,0.01,23.0,12,12,0,-0.08333333333333333,-0.08333333333333333,,,,,,1,,
