date,stake_usd,profit_cap2_usd,week,alpha_global
2025-10-03,161.00000000000003,161.00000000000003,2025-09-29/2025-10-05,1.0
2025-10-04,322.00000000000006,-241.50000000000006,2025-09-29/2025-10-05,1.0
2025-10-09,1761.0000000000002,-50.5,2025-10-06/2025-10-12,1.0
2025-10-10,322.00000000000006,0.0,2025-10-06/2025-10-12,1.0
2025-10-11,1079.4367137933184,-202.5310141379955,2025-10-06/2025-10-12,1.0
2025-10-12,663.3236866556069,-198.99710599668208,2025-10-06/2025-10-12,1.0
2025-10-16,3223.0000000000005,644.0,2025-10-13/2025-10-19,1.0
2025-10-18,719.0000000000001,86.00000000000001,2025-10-13/2025-10-19,1.0
2025-10-19,23.0,-23.0,2025-10-13/2025-10-19,1.0
2025-10-23,4359.2733178109065,-355.15059778978275,2025-10-20/2025-10-26,0.9562565088272095
2025-10-24,382.9145958423615,0.0,2025-10-20/2025-10-26,0.9562565088272095
2025-10-25,4013.403464749998,25.0,2025-10-20/2025-10-26,0.9562565088272095
2025-10-29,1520.6056316816034,-21.49999999999997,2025-10-27/2025-11-02,1.0
2025-11-01,1319.0285478001585,-57.81375748888304,2025-10-27/2025-11-02,1.0
2025-11-04,303.0,78.0,2025-11-03/2025-11-09,1.0
2025-11-05,894.9999918492297,-40.000001018846305,2025-11-03/2025-11-09,1.0
2025-11-06,126.0,126.0,2025-11-03/2025-11-09,1.0
2025-11-07,864.972989057496,60.35209016532579,2025-11-03/2025-11-09,1.0
2025-11-08,1918.9527585554808,-458.7339046633966,2025-11-03/2025-11-09,1.0
2025-11-11,557.0,-494.00000000000006,2025-11-10/2025-11-16,1.0
2025-11-12,1623.250340414796,390.42476170964295,2025-11-10/2025-11-16,1.0
2025-11-13,83.0,0.0,2025-11-10/2025-11-16,1.0
2025-11-14,322.00000000000006,0.0,2025-11-10/2025-11-16,1.0
2025-11-15,839.4933295619727,-83.39049426916753,2025-11-10/2025-11-16,1.0
2025-11-17,263.92364384582817,105.56945753833125,2025-11-17/2025-11-23,1.0
2025-11-18,188.0,138.0,2025-11-17/2025-11-23,1.0
2025-11-19,729.788408633562,67.1618369306508,2025-11-17/2025-11-23,1.0
2025-11-20,161.00000000000003,161.00000000000003,2025-11-17/2025-11-23,1.0
2025-11-22,1194.9697842907894,-57.61638852996435,2025-11-17/2025-11-23,1.0
2025-11-23,345.0,0.0,2025-11-17/2025-11-23,1.0
2025-11-24,708.1490126054974,141.6298025210995,2025-11-24/2025-11-30,1.0
2025-11-25,342.6746328841991,109.40190997309404,2025-11-24/2025-11-30,1.0
2025-11-26,3331.9868251957228,201.497804199287,2025-11-24/2025-11-30,1.0
2025-11-27,359.0,-153.0,2025-11-24/2025-11-30,1.0
2025-11-29,730.2962117759579,111.83055283841404,2025-11-24/2025-11-30,1.0
2025-11-30,306.8050559668257,-36.332177680281994,2025-11-24/2025-11-30,1.0
2025-12-01,205.35889634740846,58.67397038497384,2025-12-01/2025-12-07,1.0
2025-12-02,2557.353744974075,168.5273279328224,2025-12-01/2025-12-07,1.0
2025-12-03,1487.9109362621523,-519.4406241747681,2025-12-01/2025-12-07,1.0
2025-12-04,322.00000000000006,-322.00000000000006,2025-12-01/2025-12-07,1.0
2025-12-06,1489.7777993682894,622.271610935636,2025-12-01/2025-12-07,1.0
2025-12-07,476.00000000000006,-399.00000000000006,2025-12-01/2025-12-07,1.0
2025-12-08,761.0,416.0,2025-12-08/2025-12-14,1.0
2025-12-09,586.0121124870966,296.47878420509335,2025-12-08/2025-12-14,1.0
2025-12-10,1005.0678670090749,542.2407202054449,2025-12-08/2025-12-14,1.0
2025-12-11,75.0,75.0,2025-12-08/2025-12-14,1.0
2025-12-13,899.0107827220164,113.13936916117967,2025-12-08/2025-12-14,1.0
2025-12-15,276.0,46.0,2025-12-15/2025-12-21,1.0
2025-12-16,863.7970515689708,459.59871006142475,2025-12-15/2025-12-21,1.0
2025-12-17,1144.2405404815647,-148.8101351203912,2025-12-15/2025-12-21,1.0
2025-12-18,600.0,21.0,2025-12-15/2025-12-21,1.0
2025-12-20,32.445968418971376,21.630645612647584,2025-12-15/2025-12-21,1.0
2025-12-22,133.0,133.0,2025-12-22/2025-12-28,1.0
2025-12-23,520.0871912387263,199.36239707957543,2025-12-22/2025-12-28,1.0
2025-12-24,139.91882900327394,-139.91882900327394,2025-12-22/2025-12-28,1.0
2025-12-26,82.1994621784232,-28.76981176244812,2025-12-22/2025-12-28,1.0
2025-12-27,63.244575754733816,-18.973372726420145,2025-12-22/2025-12-28,1.0
2025-12-29,69.0,69.0,2025-12-29/2026-01-04,1.0
2025-12-30,548.2821136329313,54.828211363293136,2025-12-29/2026-01-04,1.0
2025-12-31,139.49895855945263,0.0,2025-12-29/2026-01-04,1.0
2026-01-02,13.932158517251786,-13.932158517251786,2025-12-29/2026-01-04,1.0
2026-01-03,26.743979337232666,-26.743979337232666,2025-12-29/2026-01-04,1.0
2026-01-05,138.0,69.0,2026-01-05/2026-01-11,1.0
2026-01-06,1415.253352283976,32.506032197237516,2026-01-05/2026-01-11,1.0
2026-01-07,272.2121581233007,-5.826329588820819,2026-01-05/2026-01-11,1.0
2026-01-08,161.00000000000003,0.0,2026-01-05/2026-01-11,1.0
2026-01-09,143.37050730837882,37.95101664045322,2026-01-05/2026-01-11,1.0
2026-01-10,454.82943091647803,13.2829430916478,2026-01-05/2026-01-11,1.0
2026-01-12,276.0,-276.0,2026-01-12/2026-01-18,1.0
2026-01-13,2535.278520323814,-115.5,2026-01-12/2026-01-18,1.0
