week,train_weeks,alpha_global,mu0,tau,sigma,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,10,1.0,0.8440954899025931,0.3170379179304315,0.43112281806688857,3,483.0000000000001,-80.50000000000001,-0.16666666666666666
2025-10-06/2025-10-12,11,1.0,0.3018915375610211,0.10970327519267441,0.3467514330222986,37,3825.760400448925,-452.02812013467764,-0.11815379762978243
2025-10-13/2025-10-19,12,1.0,0.31999067401997255,0.07888856766467699,0.38526122798478546,33,3965.0,707.0,0.17831021437578815
2025-10-20/2025-10-26,13,0.9562565088272095,0.2611656651857774,0.17579332522698538,0.2793200296604339,114,8755.591378403267,-330.15059778978286,-0.03770740130748216
2025-10-27/2025-11-02,14,1.0,0.24112389502932743,0.17882047036918158,0.32510261209064084,45,2839.6341794817627,-79.31375748888296,-0.02793097718782841
2025-11-03/2025-11-09,15,1.0,0.1438117460358376,0.15857529965468922,0.24747205825058144,128,4107.9257394622055,-234.38181551691702,-0.05705600110181189
2025-11-10/2025-11-16,16,1.0,0.18064904632442821,0.1580848503230015,0.2748685405566072,40,3424.7436699767695,-186.9657325595246,-0.05459262081380614
2025-11-17/2025-11-23,17,1.0,0.16233758557704192,0.14853478564701256,0.29582188348757593,60,2882.68183677018,414.1149059390178,0.1436561262699047
2025-11-24/2025-11-30,18,1.0,0.11662927334365035,0.11028688114604422,0.21301563895509168,198,5778.9117384282035,375.02789185161265,0.06489593695604977
2025-12-01/2025-12-07,19,1.0,0.1817254060130261,0.1255353078115281,0.27730390029184876,87,6538.401376951923,-390.967714921336,-0.05979561247180539
2025-12-08/2025-12-14,20,1.0,0.15370219148754768,0.0998441340489251,0.2494879929761678,104,3326.090762218189,1442.858873571718,0.4338002107343178
2025-12-15/2025-12-21,21,1.0,0.16372533789504717,0.11127220276430783,0.24964891011081788,50,2916.483560469507,399.41922055368116,0.13695233052826844
2025-12-22/2025-12-28,22,1.0,0.14746362441719096,0.10372540083401843,0.24104663622001932,32,938.4500581751572,144.70038358743324,0.15419081956135977
2025-12-29/2026-01-04,23,1.0,0.1366721100459506,0.10322551272510423,0.24886551683001448,16,797.4572100468686,83.15207350880867,0.10427151759518434
2026-01-05/2026-01-11,24,1.0,0.13625313354969995,0.10611400948889634,0.25312989261658,74,2584.665448632133,146.91366234051776,0.05684049454766689
2026-01-12/2026-01-18,25,1.0,0.1359609345642672,0.09818571993488187,0.25682694487940555,49,2811.2785203238145,-391.5000000000001,-0.13926048136806649
