roi_mode,week,profit_usd,n_bets,cut_seg,cut_ter,cut_qua,cut_qui
raw,2025-10-27/2025-11-02,0.0,0,1.0,1.0,1.0,0.14
raw,2025-11-03/2025-11-09,5226.470000000001,82,1.0,1.0,0.06,0.14
raw,2025-11-10/2025-11-16,7286.480000000001,73,1.0,0.52,0.06,0.05
raw,2025-11-17/2025-11-23,3449.8850000000007,83,0.05,0.52,0.06,0.19
raw,2025-11-24/2025-11-30,6481.595,113,0.05,0.52,0.06,0.19
raw,2025-12-01/2025-12-07,2928.645,95,0.05,0.5,0.06,0.05
raw,2025-12-08/2025-12-14,4579.22,64,0.05,0.5,0.06,0.05
raw,2025-12-15/2025-12-21,2290.7750000000005,54,0.05,0.45,0.05,0.05
raw,2025-12-22/2025-12-28,2495.675,36,0.05,0.45,0.05,0.05
raw,2025-12-29/2026-01-04,1869.1000000000001,10,0.05,0.45,0.06,0.05
cap2,2025-10-27/2025-11-02,0.0,0,1.0,1.0,1.0,0.58
cap2,2025-11-03/2025-11-09,101.00000000000023,47,1.0,1.0,0.06,0.58
cap2,2025-11-10/2025-11-16,1767.0000000000002,51,1.0,0.52,0.06,0.62
cap2,2025-11-17/2025-11-23,1592.0000000000002,56,0.05,0.52,0.1,0.62
cap2,2025-11-24/2025-11-30,277.5,88,0.05,0.52,0.06,0.62
cap2,2025-12-01/2025-12-07,-457.50000000000006,76,0.05,0.5,0.06,0.62
cap2,2025-12-08/2025-12-14,1443.0,51,0.05,0.5,0.06,0.62
cap2,2025-12-15/2025-12-21,114.5,41,0.05,0.46,0.05,0.62
cap2,2025-12-22/2025-12-28,423.0,25,0.05,0.46,0.05,0.62
cap2,2025-12-29/2026-01-04,565.0000000000001,10,0.05,0.46,0.06,0.59
cap1,2025-10-27/2025-11-02,0.0,0,1.0,1.0,1.0,0.58
cap1,2025-11-03/2025-11-09,-604.9999999999999,47,1.0,1.0,0.06,0.58
cap1,2025-11-10/2025-11-16,1123.0,51,1.0,0.52,0.06,0.62
cap1,2025-11-17/2025-11-23,1431.0000000000002,56,0.05,0.52,0.1,0.62
cap1,2025-11-24/2025-11-30,-666.5000000000002,87,0.05,0.52,0.1,0.62
cap1,2025-12-01/2025-12-07,-604.5,76,0.05,0.5,0.06,0.62
cap1,2025-12-08/2025-12-14,1198.5,37,0.05,0.5,0.44,0.62
cap1,2025-12-15/2025-12-21,421.5000000000001,29,0.05,0.5,0.44,0.62
cap1,2025-12-22/2025-12-28,-39.00000000000006,9,0.05,0.5,0.44,0.62
cap1,2025-12-29/2026-01-04,404.00000000000006,8,0.05,0.46,0.37,0.59
