week,n_bets,stake_usd,profit_usd,roi_on_stake
2025-01-06/2025-01-12,1,161.00000000000003,161.00000000000003,1.0
2025-04-07/2025-04-13,23,3346.0000000000005,-762.5000000000001,-0.22788404064554693
2025-08-18/2025-08-24,22,3357.0000000000005,224.0,0.0667262436699434
2025-08-25/2025-08-31,15,2415.0000000000005,644.0000000000001,0.26666666666666666
2025-09-01/2025-09-07,6,966.0000000000001,-241.50000000000003,-0.25
2025-09-08/2025-09-14,18,2347.0000000000005,936.8500000000001,0.3991691521090754
2025-09-29/2025-10-05,33,4581.000000000001,3086.5700000000006,0.673776468020083
2025-10-06/2025-10-12,54,7104.000000000001,2132.9200000000005,0.3002421171171172
2025-10-13/2025-10-19,115,13985.000000000002,10940.28,0.7822867357883446
2025-10-20/2025-10-26,121,17025.000000000004,6284.045000000001,0.36910690161527165
2025-10-27/2025-11-02,78,10294.000000000002,6772.715000000001,0.657928404896056
2025-11-03/2025-11-09,93,13013.000000000002,7036.255000000001,0.5407096749404442
2025-11-10/2025-11-16,94,14064.000000000002,6115.980000000001,0.43486774744027307
2025-11-17/2025-11-23,91,12536.000000000002,4979.39,0.39720724313975747
2025-11-24/2025-11-30,132,17396.000000000004,12115.680000000002,0.6964635548401932
2025-12-01/2025-12-07,111,13311.000000000002,1937.645,0.14556720006010065
2025-12-08/2025-12-14,78,9504.000000000002,7211.47,0.7587826178451177
2025-12-15/2025-12-21,59,7825.000000000001,3604.9050000000007,0.4606907348242812
2025-12-22/2025-12-28,44,6248.000000000001,4290.13,0.6866405249679897
2025-12-29/2026-01-04,19,2910.0000000000005,2583.1000000000004,0.8876632302405498
2026-01-05/2026-01-11,45,6773.000000000001,1807.2050000000002,0.2668248929573306
2026-01-12/2026-01-18,53,7071.000000000001,41.99999999999977,0.005939753924480239
