week,n_bets,stake_usd,profit_usd,roi_on_stake
2025-09-29/2025-10-05,22,2991.0000000000005,3388.5700000000006,1.13292209963223
2025-10-06/2025-10-12,54,7104.000000000001,2132.9200000000005,0.3002421171171172
2025-10-13/2025-10-19,115,13985.000000000002,10940.28,0.7822867357883446
2025-10-20/2025-10-26,121,17025.000000000004,6284.045000000001,0.36910690161527165
2025-10-27/2025-11-02,78,10294.000000000002,6772.715000000001,0.657928404896056
2025-11-03/2025-11-09,93,13013.000000000002,7036.255000000001,0.5407096749404442
2025-11-10/2025-11-16,94,14064.000000000002,6115.980000000001,0.43486774744027307
2025-11-17/2025-11-23,91,12536.000000000002,4979.39,0.39720724313975747
2025-11-24/2025-11-30,132,17396.000000000004,12115.680000000002,0.6964635548401932
2025-12-01/2025-12-07,111,13311.000000000002,1937.645,0.14556720006010065
2025-12-08/2025-12-14,78,9504.000000000002,7211.47,0.7587826178451177
2025-12-15/2025-12-21,59,7825.000000000001,3604.9050000000007,0.4606907348242812
2025-12-22/2025-12-28,44,6248.000000000001,4290.13,0.6866405249679897
2025-12-29/2026-01-04,16,2427.0000000000005,2100.1000000000004,0.865306963329213
