step,event,n,pct_prev,pct_initial,status
WS received,H3B_WS_RECEIVED,5327,,100.0,AVAILABLE
detected,H3B_DETECTED,5327,100.0,100.0,AVAILABLE
audit persisted,H3B_AUDIT_PERSIST_FINISHED,5327,100.0,100.0,AVAILABLE
bridge fetched,H3B_BRIDGE_FETCHED,2595,48.714097991364746,48.714097991364746,AVAILABLE
policy evaluated,H3B_POLICY_EVAL_FINISHED,0,0.0,0.0,AVAILABLE
execution request created,H3B_EXEC_REQUEST_CREATED,181,6.97495183044316,3.39778486953257,AVAILABLE
executor received,H3B_EXECUTOR_RECEIVED,181,100.0,3.39778486953257,AVAILABLE
dry-run started,H3B_DRYRUN_STARTED,0,0.0,0.0,AVAILABLE
dry-run finished,H3B_DRYRUN_FINISHED,180,99.4475138121547,3.379012577435705,AVAILABLE
final gate decided,H3B_FINAL_GATE_DECIDED,144,80.0,2.703210061948564,AVAILABLE
place started,H3B_PLACE_STARTED,0,0.0,0.0,AVAILABLE
place finished,H3B_PLACE_FINISHED,22,15.277777777777779,0.4129904261310306,AVAILABLE
LIVE_OK,LIVE_OK,22,100.0,0.4129904261310306,AVAILABLE
