order_id,event_id,created_at_utc,settlement_ts,stake,pnl,settlement_status,policy_id,policy_version,bookmaker,league_name,friendly_class,odd_at_decision,odd_final,slippage_pre_pct,pre_submit_ms,clv_post_5m,clv_post_5m_valid_strict,clv_post_15m,clv_post_15m_valid_strict,clv_closing,clv_closing_valid_strict
1931674091,"2026-07-28,60848,652",2026-07-28T15:30:25.309321+00:00,,10.0,-9.97,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Champions League,NON_FRIENDLY,1.882,1.862,-1.06269925611051,1222.0,,False,,False,,False
1932353274,"2026-07-28,324,10003088",2026-07-28T17:58:41.861191+00:00,,10.0,0.0,VOID_PUSH,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Champions League,NON_FRIENDLY,1.892,1.877,-0.7928118393234621,1129.0,,False,,False,,False
1933822208,"2026-07-29,23470,23456",2026-07-28T23:58:59.009030+00:00,,10.0,9.54,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,punter_io,Colombia Cup,NON_FRIENDLY,1.98,1.945,-1.7676767676767637,1105.0,,False,,False,,False
1934662052,"2026-07-30,1583,1624",2026-07-29T04:00:51.513933+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,4casters,CONMEBOL Copa Sudamericana,NON_FRIENDLY,1.952,1.914,-1.9467213114754116,1261.0,,False,,False,,False
1934994839,"2026-07-29,23475,29682",2026-07-29T07:51:53.000127+00:00,,10.0,9.29,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Colombia Cup,NON_FRIENDLY,1.961,1.934,-1.3768485466598743,1115.0,,False,,False,,False
1935045057,"2026-07-29,10059479,10088422",2026-07-29T08:28:28.900981+00:00,,10.0,-9.97,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Colombia Cup,NON_FRIENDLY,2.038,2.03,-0.39254170755642825,1155.0,,False,,False,,False
1935402833,"2026-07-29,11,70",2026-07-29T10:42:41.730156+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Club Friendly,FRIENDLY,2.068,1.94,-6.189555125725344,4785.0,,False,,False,,False
1935460146,"2026-07-29,184,305",2026-07-29T10:59:25.391071+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.029,1.99,-1.9221291276490846,1223.0,,False,,False,,False
1935475500,"2026-07-29,244,1283",2026-07-29T11:04:26.200252+00:00,,10.0,8.11,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,1.892,1.821,-3.7526427061310756,1113.0,,False,,False,,False
1935568718,"2026-07-29,92,229",2026-07-29T11:28:10.704022+00:00,,10.0,9.45,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Club Friendly,FRIENDLY,1.999,1.92,-3.951975987994006,2214.0,,False,,False,,False
1935642980,"2026-07-29,92,229",2026-07-29T11:49:35.133640+00:00,,10.0,-10.0,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.892,1.833,-3.118393234672302,1679.0,,False,,False,,False
1935703108,"2026-07-29,1095,1074",2026-07-29T12:11:53.027523+00:00,,10.0,-9.5,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,1.891,1.788,-5.4468535166578524,1169.0,,False,,False,,False
1936401912,"2026-07-29,1095,1074",2026-07-29T15:42:32.181242+00:00,,10.0,8.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.038,1.9,-6.771344455348377,1741.0,,False,,False,,False
1936596042,"2026-07-29,545,24042",2026-07-29T16:23:30.244911+00:00,,10.0,7.62,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sharp,Club Friendly,FRIENDLY,1.862,1.832,-1.6111707841031164,1806.0,,False,,False,,False
1936637320,"2026-07-29,55602,1139",2026-07-29T16:31:36.841850+00:00,,10.0,5.65,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sbo,UEFA Champions League,NON_FRIENDLY,2.146,2.144,-0.09319664492077259,2010.0,,False,,False,,False
1936724778,"2026-07-29,31918,541",2026-07-29T16:48:59.271257+00:00,,10.0,4.71,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.009,1.943,-3.2852165256346364,1974.0,,False,,False,,False
1936750483,"2026-07-29,24845,1702",2026-07-29T16:54:59.145778+00:00,,10.0,-9.97,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bf,UEFA Champions League,NON_FRIENDLY,2.146,2.141,-0.23299161230195217,1496.0,,False,,False,,False
1936946893,"2026-07-29,1206,69",2026-07-29T17:36:56.610918+00:00,,10.0,0.0,VOID_PUSH,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.882,1.833,-2.603613177470772,1287.0,,False,,False,,False
1936956073,"2026-07-29,23624,22197",2026-07-29T17:39:07.730646+00:00,,10.0,-9.42,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,2.029,1.964,-3.2035485460818114,1211.0,,False,,False,,False
1936961828,"2026-07-29,23624,22197",2026-07-29T17:40:31.004337+00:00,,10.0,8.3,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,1.901,1.855,-2.4197790636507124,3237.0,,False,,False,,False
1936963700,"2026-07-29,11,70",2026-07-29T17:41:00.541683+00:00,,10.0,10.29,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.087,2.03,-2.731193100143765,1365.0,,False,,False,,False
1937013393,"2026-07-29,32,97",2026-07-29T17:53:08.164033+00:00,,10.0,8.68,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.891,1.869,-1.1634056054997366,1851.0,,False,,False,,False
1937095091,"2026-07-29,11,70",2026-07-29T18:11:51.576684+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.999,1.98,-0.9504752376188157,1107.0,,False,,False,,False
1937669560,"2026-07-30,39545,1585",2026-07-29T20:18:14.945998+00:00,,10.0,-9.969999999999999,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,vx,Paraguay Division 1 (Primera División),NON_FRIENDLY,2.034,2.021,-0.6391347099311653,2036.0,-0.6391347099311662,True,-0.6391347099311662,True,,False
1937747430,"2026-07-29,1621,1620",2026-07-29T20:37:51.486287+00:00,,10.0,9.67,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bf,Paraguay Division 1 (Primera División),NON_FRIENDLY,1.98,1.97,-0.5050505050505055,1255.0,0.4077471967380175,True,0.4077471967380175,True,0.4077471967380175,True
1938082582,"2026-07-29,49,98",2026-07-29T22:21:51.539665+00:00,,10.0,4.66,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.97,1.934,-1.8274111675126918,1602.0,,False,,False,,False
1938105954,"2026-07-29,49,98",2026-07-29T22:30:18.859170+00:00,,10.0,0.0,VOID_PUSH,H3BUP_vNext,H3BUP_vNext_20260629,sbo,Club Friendly,FRIENDLY,2.136,2.069,-3.136704119850195,2283.0,,False,,False,2.4764735017335227,True
1939216476,"2026-07-30,23458,23460",2026-07-30T04:00:17.656497+00:00,,10.0,9.22,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Colombia Cup,NON_FRIENDLY,1.931,1.925,-0.3107198342827553,1213.0,,False,,False,,False
1939218867,"2026-07-31,900,1155",2026-07-30T04:01:05.202427+00:00,,10.0,4.14,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Europa League,NON_FRIENDLY,1.862,1.826,-1.9334049409237397,1339.0,-1.9334049409237442,True,-1.9334049409237442,True,-6.358974358974356,True
1939219764,"2026-07-30,704,10044956",2026-07-30T04:01:06.049221+00:00,,10.0,8.67,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Club Friendly,FRIENDLY,1.892,1.87,-1.162790697674408,14608.0,,False,,False,,False
1940422731,"2026-07-30,1662,1617",2026-07-30T12:55:19.652400+00:00,,10.0,-10.0,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,4casters,CONMEBOL Copa Sudamericana,NON_FRIENDLY,1.934,1.932,-0.10341261633919348,1291.0,,False,,False,-1.0245901639344246,True
1940500788,"2026-07-30,152,288",2026-07-30T13:11:38.660147+00:00,,10.0,-9.96,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,1.917,1.821,-5.007824726134589,1139.0,,False,,False,-0.27382256297919794,True
1940764690,"2026-07-30,152,288",2026-07-30T14:38:35.945217+00:00,,10.0,8.17,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.852,1.694,-8.531317494600438,1296.0,-8.531317494600444,True,-12.0,True,-13.2172131147541,True
1941014331,"2026-07-31,919,522",2026-07-30T15:52:08.669363+00:00,,10.0,-9.96,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bf,UEFA Europa League,NON_FRIENDLY,2.136,2.127,-0.42134831460675753,1217.0,0.4723665564478008,True,0.4723665564478008,True,-1.345083487940646,True
1941229018,"2026-07-31,340,1049",2026-07-30T16:32:37.624430+00:00,,10.0,-9.97,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bf,UEFA Europa League,NON_FRIENDLY,1.882,1.858,-1.2752391073326141,1143.0,-0.21482277121375182,True,-0.21482277121375182,True,-2.210526315789463,True
1941951294,"2026-07-31,918,277",2026-07-30T18:52:55.667926+00:00,,10.0,-9.97,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Europa League,NON_FRIENDLY,1.884,1.854,-1.5923566878980788,1434.0,-2.0084566596194398,True,,False,-2.0084566596194398,True
1942404454,"2026-08-01,33704,52173",2026-07-30T20:31:06.446705+00:00,,10.0,10.9,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bf,Ecuador Serie A (Copa Pilsener),NON_FRIENDLY,2.107,2.096,-0.5220692928334181,1355.0,,False,,False,,False
1942475356,"2026-07-31,1162,95",2026-07-30T20:54:20.976500+00:00,,10.0,-9.53,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,1.921,1.258,-34.51327433628319,1168.0,,False,,False,,False
1942567698,"2026-07-31,188,1467",2026-07-30T21:29:51.104449+00:00,,10.0,5.42,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,1.872,1.566,-16.34615384615385,1600.0,,False,,False,,False
1942652925,"2026-07-31,188,1467",2026-07-30T21:59:57.502808+00:00,,10.0,-9.67,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,1.999,1.757,-12.106053026513267,1952.0,,False,,False,,False
1942723628,"2026-07-30,85,45",2026-07-30T22:22:13.645620+00:00,,10.0,10.52,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sbo,Club Friendly,FRIENDLY,2.087,2.058,-1.3895543842836777,1456.0,,False,,False,,False
1943764169,"2026-07-31,117,140",2026-07-31T04:03:05.022825+00:00,,10.0,-9.989999999999998,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Scotland Premier League,NON_FRIENDLY,1.877,1.854,-1.2253596164091587,1230.0,-1.2253596164091607,True,-1.2253596164091607,True,,False
1944070635,"2026-08-02,38271,10018754",2026-07-31T06:50:55.692565+00:00,,10.0,-9.97,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,USA Major League Soccer,NON_FRIENDLY,2.038,2.03,-0.39254170755642825,1596.0,-0.39254170755642637,True,-0.39254170755642637,True,-2.3099133782483183,True
1944073458,"2026-07-31,1681,62",2026-07-31T06:52:11.139942+00:00,,10.0,-5.0,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.048,1.917,-6.396484375,1096.0,,False,,False,,False
1944107326,"2026-08-05,1077,305",2026-07-31T07:10:16.138452+00:00,,10.0,-9.96,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Champions League,NON_FRIENDLY,2.0,1.961,-1.9499999999999962,1123.0,6.576086956521743,True,6.576086956521743,True,-7.93427230046948,True
1944200090,"2026-08-01,23565,200",2026-07-31T07:55:50.794740+00:00,,10.0,8.21,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bdaq,Club Friendly,FRIENDLY,1.862,1.821,-2.2019334049409314,1082.0,,False,,False,,False
1944224455,"2026-08-05,652,21661",2026-07-31T08:08:26.607422+00:00,,10.0,8.46,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Champions League,NON_FRIENDLY,1.85,1.847,-0.16216216216216828,1899.0,-0.1621621621621716,True,-0.1621621621621716,True,0.16268980477223138,True
1944274539,"2026-07-31,188,1467",2026-07-31T08:35:30.814220+00:00,,10.0,9.79,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.989,1.98,-0.45248868778281137,1117.0,3.071317022384168,True,3.071317022384168,True,4.706504494976205,True
1944282514,"2026-07-31,188,1467",2026-07-31T08:39:35.818529+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.98,1.943,-1.8686868686868647,1461.0,-1.3705583756345119,True,-2.801400700350176,True,-5.126953125,True
1944282834,"2026-08-02,26819,26822",2026-07-31T08:39:41.009783+00:00,,10.0,-9.95,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,USA Major League Soccer,NON_FRIENDLY,2.087,2.08,-0.33540967896502716,5766.0,,False,,False,-2.209685002350714,True
1944284968,"2026-08-01,122,143",2026-07-31T08:40:49.577917+00:00,,10.0,8.65,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bdaq,Scotland Premier League,NON_FRIENDLY,1.872,1.87,-0.10683760683760693,1349.0,,False,,False,,False
1944320971,"2026-07-31,154,62",2026-07-31T08:57:44.794772+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.883,1.877,-0.3186404673393524,1145.0,-0.31864046733934837,True,-0.31864046733934837,True,,False
1944357831,"2026-07-31,316,25500",2026-07-31T09:13:46.483891+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.852,1.819,-1.781857451403895,1700.0,-1.7818574514038898,True,-5.3097345132743445,True,-9.905894006934135,True
1944367645,"2026-08-02,613,10048051",2026-07-31T09:18:11.813884+00:00,,10.0,0.0,VOID_PUSH,H3BUP_vNext,H3BUP_vNext_20260629,pin88,USA Major League Soccer,NON_FRIENDLY,1.921,1.909,-0.6246746486205107,1289.0,,False,,False,1.4346439957492185,True
1944546142,"2026-07-31,117,140",2026-07-31T10:32:01.894481+00:00,,10.0,9.37,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,vx,Scotland Premier League,NON_FRIENDLY,1.952,1.934,-0.9221311475409845,3224.0,,False,,False,,False
1944779981,"2026-08-02,26819,26822",2026-07-31T11:38:14.624914+00:00,,10.0,9.37,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,USA Major League Soccer,NON_FRIENDLY,1.952,1.934,-0.9221311475409845,2460.0,,False,,False,4.314994606256728,True
1945088020,"2026-08-01,26818,650",2026-07-31T13:20:14.694693+00:00,,10.0,4.75,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sharp,USA Major League Soccer,NON_FRIENDLY,1.95,1.937,-0.6666666666666616,1084.0,,False,,False,,False
1945095375,"2026-08-01,26818,650",2026-07-31T13:22:37.480544+00:00,,10.0,-4.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,USA Major League Soccer,NON_FRIENDLY,2.0,1.917,-4.149999999999999,1098.0,,False,,False,,False
1945242424,"2026-08-05,1077,305",2026-07-31T14:09:54.368546+00:00,,10.0,9.52,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Champions League,NON_FRIENDLY,1.97,1.952,-0.9137055837563459,1227.0,-0.9137055837563413,True,-0.9137055837563413,True,4.721030042918439,True
1945242553,"2026-08-05,1734,77444",2026-07-31T14:09:54.536503+00:00,,10.0,10.07,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Champions League,NON_FRIENDLY,2.03,1.952,-3.842364532019697,2406.0,-3.842364532019693,True,-3.842364532019693,True,0.9307135470527417,True
1945663746,"2026-07-31,1072,31238",2026-07-31T15:45:40.272549+00:00,,10.0,10.59,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.068,2.06,-0.386847195357834,1103.0,,False,,False,,False
1945937956,"2026-07-31,77,25",2026-07-31T16:38:18.194000+00:00,,10.0,0.0,VOID_PUSH,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Club Friendly,FRIENDLY,2.019,1.99,-1.436354631005455,2027.0,,False,,False,,False
1945975118,"2026-07-31,1576,856",2026-07-31T16:45:08.400945+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.058,1.97,-4.2759961127308,1836.0,,False,,False,,False
1946083771,"2026-08-06,918,126",2026-07-31T17:06:08.101384+00:00,,10.0,9.5,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Europa League,NON_FRIENDLY,1.961,1.952,-0.45894951555329516,1242.0,3.1712473572938826,True,2.736842105263171,True,,False
1946087546,"2026-07-31,54,31",2026-07-31T17:06:53.210571+00:00,,10.0,-9.86,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,2.019,1.926,-4.606240713224378,2066.0,,False,,False,,False
1946336513,"2026-07-31,1125,49620",2026-07-31T17:52:58.190513+00:00,,10.0,9.34,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.98,1.934,-2.3232323232323253,1623.0,,False,,False,,False
1946375329,"2026-07-31,1131,72",2026-07-31T18:00:32.623430+00:00,,10.0,9.13,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pmk,Club Friendly,FRIENDLY,2.009,1.926,-4.131408661025384,1437.0,,False,,False,,False
1946470238,"2026-07-31,154,62",2026-07-31T18:18:26.108905+00:00,,10.0,7.87,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.892,1.787,-5.54968287526427,1267.0,,False,,False,,False
1946512460,"2026-07-31,1705,71",2026-07-31T18:26:40.685303+00:00,,10.0,-9.98,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.852,1.775,-4.157667386609081,1101.0,,False,,False,,False
1946584372,"2026-07-31,29,10062448",2026-07-31T18:39:44.913760+00:00,,10.0,-10.0,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.058,2.04,-0.8746355685131096,1090.0,,False,,False,,False
1947151721,"2026-08-03,111,116",2026-07-31T20:28:45.253987+00:00,,10.0,9.64,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Scotland Premier League,NON_FRIENDLY,1.94,1.934,-0.3092783505154642,1133.0,-0.3092783505154628,True,-0.3092783505154628,True,,False
1947819383,"2026-08-01,10021073,557",2026-07-31T23:33:59.315652+00:00,,10.0,-9.84,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,USA Major League Soccer,NON_FRIENDLY,2.06,2.04,-0.9708737864077678,1262.0,-0.9708737864077666,True,-0.9708737864077666,True,,False
1947965644,"2026-08-01,37844,29824",2026-08-01T00:08:07.266202+00:00,,10.0,-9.98,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Ecuador Serie A (Copa Pilsener),NON_FRIENDLY,1.864,1.854,-0.5364806866952794,4813.0,,False,,False,,False
1948212197,"2026-08-01,10021073,557",2026-08-01T01:19:47.677977+00:00,,10.0,8.61,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,bf,USA Major League Soccer,NON_FRIENDLY,1.872,1.863,-0.4807692307692371,8867.0,-0.48076923076924016,True,-0.48076923076924016,True,,False
1948689710,"2026-08-02,602,555",2026-08-01T04:00:59.150713+00:00,,10.0,4.96,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,USA Major League Soccer,NON_FRIENDLY,2.0,1.99,-0.5000000000000004,8228.0,,False,,False,8.15217391304348,True
1948705738,"2026-08-02,25722,38643",2026-08-01T04:06:14.687848+00:00,,10.0,-9.98,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Ecuador Serie A (Copa Pilsener),NON_FRIENDLY,1.9,1.88,-1.0526315789473695,3499.0,,False,,False,,False
1949058711,"2026-08-01,52,231",2026-08-01T06:51:45.731814+00:00,,10.0,-5.0,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.877,1.813,-3.409696323921154,1186.0,,False,,False,,False
1949096716,"2026-08-01,184,535",2026-08-01T07:10:04.867800+00:00,,10.0,4.45,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.911,1.892,-0.9942438513867151,1254.0,,False,,False,,False
1949335817,"2026-08-01,23538,10089439",2026-08-01T08:31:27.854578+00:00,,10.0,-9.98,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Club Friendly,FRIENDLY,1.917,1.89,-1.4084507042253591,22345.0,-1.4084507042253613,True,-1.4084507042253613,True,-1.4084507042253613,True
1949430538,"2026-08-01,202,216",2026-08-01T08:58:49.898911+00:00,,10.0,7.87,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.862,1.787,-4.027926960257797,1348.0,,False,,False,-4.027926960257799,True
1949442202,"2026-08-01,206,23624",2026-08-01T09:02:03.495384+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.0,1.943,-2.849999999999997,1401.0,,False,,False,,False
1949737791,"2026-08-01,67,14",2026-08-01T10:21:17.399883+00:00,,10.0,0.0,VOID_PUSH,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,1.891,1.68,-11.158117398202014,1249.0,,False,,False,,False
1949757343,"2026-08-04,324,98087",2026-08-01T10:26:44.281399+00:00,,10.0,-9.98,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Europa League,NON_FRIENDLY,1.91,1.909,-0.05235602094240262,1211.0,-0.052356020942401216,True,-0.052356020942401216,True,-4.977600796416127,True
1949906626,"2026-08-01,23,58",2026-08-01T11:03:09.365428+00:00,,10.0,10.19,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.117,2.02,-4.581955597543693,3846.0,,False,,False,,False
1949955995,"2026-08-01,300,151",2026-08-01T11:12:42.399670+00:00,,10.0,8.39,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Club Friendly,FRIENDLY,1.862,1.84,-1.1815252416756186,12176.0,,False,,False,,False
1950178835,"2026-08-01,1080,69",2026-08-01T11:57:34.794603+00:00,,10.0,-9.99,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.038,1.925,-5.544651619234533,1184.0,,False,,False,,False
1950605384,"2026-08-01,23035,42",2026-08-01T13:20:31.115840+00:00,,2.0,0.91,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,sing2,Club Friendly,FRIENDLY,1.911,1.82,-4.76190476190476,3562.0,,False,,False,,False
1950663405,"2026-08-01,34412,1281",2026-08-01T13:31:25.160504+00:00,,2.0,-2.0,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Denmark Division 1,NON_FRIENDLY,1.852,1.847,-0.269978401727868,1222.0,,False,,False,,False
1950678620,"2026-08-06,330,96602",2026-08-01T13:34:14.816609+00:00,,2.0,0.0,VOID_PUSH,H3BUP_vNext,H3BUP_vNext_20260629,pin88,UEFA Champions League,NON_FRIENDLY,1.97,1.961,-0.45685279187816735,1167.0,-0.4568527918781706,True,-0.4568527918781706,True,,False
1950742531,"2026-08-01,32,48",2026-08-01T13:46:13.067789+00:00,,2.0,-2.0,SETTLED_DECIDED,H3BUP_vNext,H3BUP_vNext_20260629,pin88,Club Friendly,FRIENDLY,2.117,2.05,-3.1648559282002915,1369.0,,False,,False,,False
