kind,n,events,roi,p_gt_0,ci90_lo,ci90_hi,ci95_lo,ci95_hi
cumulative,25,20,-0.033840000000000016,0.40534,-0.2589200000000001,0.20539285714285713,-0.30296153846153845,0.255
cumulative,50,40,-0.08844000000000002,0.1983,-0.25834782608695656,0.08293333333333332,-0.2914130434782609,0.11681818181818183
cumulative,75,59,-0.009960000000000009,0.44984,-0.1423076923076923,0.12591176470588236,-0.16763750000000002,0.15326923076923074
cumulative,100,83,-0.03862612612612614,0.30454,-0.16197590361445782,0.08763796909492275,-0.18513513513513516,0.11182519280205654
cumulative,150,118,-0.03256072874493928,0.31906,-0.14557000000000003,0.08249445676274944,-0.16636752136752136,0.1038715953307393
cumulative,200,153,-0.022316176470588242,0.36276,-0.12490963855421687,0.08316901408450704,-0.14425217391304346,0.10310661764705883
cumulative,244,189,-0.01551020408163266,0.39958,-0.11222129783693845,0.08176716917922948,-0.12977272727272726,0.100387323943662
rolling,25,20,0.05320000000000001,0.6324,-0.2175925925925926,0.348125,-0.2702380952380952,0.40750000000000003
rolling,50,43,0.139,0.88608,-0.0507446808510638,0.3352083333333333,-0.08776785714285715,0.373125
rolling,100,81,0.07235,0.81056,-0.06542105263157894,0.2115979381443299,-0.09228448275862071,0.2384466019417476
