kind,n,events,roi,p_gt_0,ci90_lo,ci90_hi,ci95_lo,ci95_hi
cumulative,25,20,-0.033840000000000016,0.40506,-0.25821739130434784,0.20395652173913043,-0.30300000000000005,0.25330434782608696
cumulative,50,40,-0.08844000000000002,0.19646,-0.26042857142857145,0.08391666666666665,-0.2943090909090909,0.11867857142857144
cumulative,75,59,-0.009960000000000009,0.4505,-0.142765625,0.12599999999999997,-0.16673611111111114,0.15375000000000003
cumulative,100,83,-0.03862612612612614,0.30368,-0.16298901098901097,0.08624396135265698,-0.18628712871287129,0.11004566210045662
cumulative,150,118,-0.03256072874493928,0.31532,-0.14472111553784858,0.08129290617848972,-0.16597465886939572,0.10241127348643007
cumulative,200,152,-0.0269577205882353,0.33408,-0.1297105263157895,0.07733333333333334,-0.1488104089219331,0.09799826689774696
cumulative,250,194,-0.017087542087542096,0.38192,-0.11305147058823532,0.08029761904761905,-0.1314827018121911,0.09827476038338659
cumulative,302,233,-0.02009287925696595,0.36116,-0.10953787878787881,0.0705112781954887,-0.12615141955835962,0.08860824742268039
rolling,25,20,0.057600000000000005,0.6422,-0.19296296296296292,0.30604166666666666,-0.23749999999999996,0.35239999999999994
rolling,50,39,-0.0366,0.36434,-0.22326530612244896,0.14029411764705885,-0.26032608695652176,0.17370000000000005
rolling,100,81,0.02255,0.6095,-0.1089423076923077,0.15355140186915883,-0.1340104166666667,0.17871134020618556
