coverage,max,mean,median,metric,min,missing,n_calculable,n_total,negatives,outliers,p75,p90,p95,p99,status,status_stat,stdev
1.0,0.183437,0.13435149999999998,0.13435149999999998,ws_to_detect_ms,0.085266,0,2,2,0,0,0.15889425,0.1736199,0.17852844999999998,0.18245529,CAP_BLOCKED,INSUFFICIENT_N,0.0490855
1.0,1.144364,0.12235635820895524,0.095053,ws_to_detect_ms,0.037289,0,134,134,0,0,0.11243049999999999,0.16877810000000001,0.22188354999999998,0.5350544399999992,UNKNOWN,OK,0.11374130643999855
1.0,8.014924,4.2002595000000005,4.2002595000000005,detect_to_audit_gate_ms,0.385595,0,2,2,0,0,6.10759175,7.251991100000001,7.63345755,7.938630710000001,CAP_BLOCKED,INSUFFICIENT_N,3.8146645
1.0,31.837927,2.3373642313432836,1.246747,detect_to_audit_gate_ms,0.210431,0,134,134,0,1,3.1143505,5.037769300000002,7.061004199999999,13.497093109999918,UNKNOWN,OK,3.463866631218487
1.0,98.267702,53.8184355,53.8184355,audit_gate_to_persist_ms,9.369169,0,2,2,0,0,76.04306875,89.3778487,93.82277535,97.37871667,CAP_BLOCKED,INSUFFICIENT_N,44.4492665
1.0,317.632633,24.11800123880597,12.992598,audit_gate_to_persist_ms,7.3689,0,134,134,0,8,19.554481,30.89812580000001,82.76800489999997,257.7255832399983,UNKNOWN,OK,41.92900070182425
1.0,281.01181983947754,208.3609104156494,208.3609104156494,audit_persist_to_bridge_fetch_ms,135.7100009918213,0,2,2,0,0,244.68636512756348,266.4816379547119,273.7467288970947,279.558801651001,CAP_BLOCKED,INSUFFICIENT_N,72.65090942382812
0.20149253731343283,300.2781867980957,150.57002581082858,145.5399990081787,audit_persist_to_bridge_fetch_ms,8.2550048828125,107,27,134,1,0,232.1529984474182,288.3404493331909,291.19008779525757,298.0899214744568,UNKNOWN,INSUFFICIENT_N,97.49700859468243
1.0,0.207281,0.1865135,0.1865135,bridge_fetch_to_policy_ms,0.165746,0,2,2,0,0,0.19689724999999997,0.2031275,0.20520424999999998,0.20686564999999998,CAP_BLOCKED,INSUFFICIENT_N,0.020767499999999994
0.20149253731343283,0.384492,0.19371237037037037,0.182068,bridge_fetch_to_policy_ms,0.140929,107,27,134,0,0,0.20837450000000002,0.25229260000000003,0.2742565,0.35625079999999987,UNKNOWN,INSUFFICIENT_N,0.051148301197775685
1.0,3041.984086,1539.314956,1539.314956,policy_to_request_ms,36.645826,0,2,2,0,0,2290.649521,2741.45026,2891.717173,3011.9307034,CAP_BLOCKED,INSUFFICIENT_N,1502.66913
1.0,,,,request_send_to_executor_receive_ms,,0,2,2,2,0,,,,,CAP_BLOCKED,INSUFFICIENT_N,
1.0,0.729805,0.6717299999999999,0.6717299999999999,executor_receive_to_dryrun_start_ms,0.613655,0,2,2,0,0,0.7007675000000001,0.71819,0.7239975,0.7286435,CAP_BLOCKED,INSUFFICIENT_N,0.05807500000000004
1.0,1691.638379,1474.5507149999999,1474.5507149999999,dryrun_duration_ms,1257.463051,0,2,2,0,0,1583.094547,1648.2208462,1669.9296126,1687.2966257199998,CAP_BLOCKED,INSUFFICIENT_N,217.08766400000002
1.0,1201.815992,1201.6568065000001,1201.6568065000001,dryrun_to_final_gate_ms,1201.497621,0,2,2,0,0,1201.73639925,1201.7841549,1201.8000734500001,1201.81280829,CAP_BLOCKED,INSUFFICIENT_N,0.15918550000003506
1.0,106.282626,58.018694999999994,58.018694999999994,detected_to_audited,9.754764,0,2,2,0,0,82.1506605,96.6298398,101.45623289999999,105.31734738,CAP_BLOCKED,INSUFFICIENT_N,48.263931
1.0,322.822922,26.455365470149257,14.8776115,detected_to_audited,7.579331,0,134,134,0,8,21.945489249999998,36.27916570000001,87.5532605,261.67042549999826,UNKNOWN,OK,42.62448172976593
1.0,3177.891969680786,1747.8464841842651,1747.8464841842651,audit_to_request,317.80099868774414,0,2,2,0,0,2462.8692269325256,2891.882872581482,3034.887421131134,3149.2910599708557,CAP_BLOCKED,INSUFFICIENT_N,1430.045485496521
1.0,2901.735782623291,2729.072332382202,2729.072332382202,request_to_finished,2556.4088821411133,0,2,2,0,0,2815.4040575027466,2867.2030925750732,2884.469437599182,2898.2825136184692,CAP_BLOCKED,INSUFFICIENT_N,172.66345024108887
1.0,5734.300851821899,4476.918816566467,4476.918816566467,audit_to_finished,3219.536781311035,0,2,2,0,0,5105.609834194183,5482.824444770813,5608.562648296356,5709.153211116791,CAP_BLOCKED,INSUFFICIENT_N,1257.3820352554321
