coverage,max,mean,median,metric,min,missing,n_calculable,n_total,negatives,outliers,p75,p90,p95,p99,status_stat,stdev
1.0,1.144364,0.12253275735294118,0.095053,ws_to_detect_ms,0.037289,0,136,136,0,0,0.11319925,0.176258,0.22142625,0.5339138000000003,OK,0.11306790221571805
1.0,31.837927,2.36475975,1.246747,detect_to_audit_gate_ms,0.210431,0,136,136,0,1,3.146223,5.471315000000001,7.20072925,13.368092450000036,OK,3.476521959668026
1.0,317.632633,24.55477233088235,12.992598,audit_gate_to_persist_ms,7.3689,0,136,136,0,9,19.642775999999998,36.615137000000004,90.35882674999999,254.99585780000078,OK,42.11916471833462
0.21323529411764705,300.2781867980957,154.69794613974435,145.5399990081787,audit_persist_to_bridge_fetch_ms,8.2550048828125,107,29,136,1,0,233.65724086761475,287.6026391983032,291.0560727119446,297.9148602485657,INSUFFICIENT_N,97.08356184235652
0.21323529411764705,0.384492,0.19321589655172414,0.182068,bridge_fetch_to_policy_ms,0.140929,107,29,136,0,0,0.207281,0.24622779999999997,0.273718,0.3540783999999999,INSUFFICIENT_N,0.0496869832384109
0.014705882352941176,3041.984086,1539.314956,1539.314956,policy_to_request_ms,36.645826,134,2,136,0,0,2290.649521,2741.45026,2891.717173,3011.9307034,INSUFFICIENT_N,1502.66913
0.014705882352941176,,,,request_send_to_executor_receive_ms,,134,2,136,2,0,,,,,INSUFFICIENT_N,
0.014705882352941176,0.729805,0.6717299999999999,0.6717299999999999,executor_receive_to_dryrun_start_ms,0.613655,134,2,136,0,0,0.7007675000000001,0.71819,0.7239975,0.7286435,INSUFFICIENT_N,0.05807500000000004
0.014705882352941176,1691.638379,1474.5507149999999,1474.5507149999999,dryrun_duration_ms,1257.463051,134,2,136,0,0,1583.094547,1648.2208462,1669.9296126,1687.2966257199998,INSUFFICIENT_N,217.08766400000002
0.014705882352941176,1201.815992,1201.6568065000001,1201.6568065000001,dryrun_to_final_gate_ms,1201.497621,134,2,136,0,0,1201.73639925,1201.7841549,1201.8000734500001,1201.81280829,INSUFFICIENT_N,0.15918550000003506
0.0,,,,final_gate_to_place_start_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
0.0,,,,place_duration_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
0.0,,,,place_to_result_persist_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
0.0,,,,ws_to_live_ok_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
0.0,,,,detect_to_live_ok_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
0.0,,,,audit_to_live_ok_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
0.0,,,,request_to_live_ok_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
0.0,,,,executor_to_live_ok_ms,,136,0,136,0,0,,,,,INSUFFICIENT_N,
1.0,322.822922,26.919532080882355,14.8776115,detected_to_audited,7.579331,0,136,136,0,8,22.097271499999998,43.405991,91.53602975,258.8960305000008,OK,42.88145626674816
0.014705882352941176,3177.891969680786,1747.8464841842651,1747.8464841842651,audit_to_request,317.80099868774414,134,2,136,0,0,2462.8692269325256,2891.882872581482,3034.887421131134,3149.2910599708557,INSUFFICIENT_N,1430.045485496521
0.014705882352941176,2901.735782623291,2729.072332382202,2729.072332382202,request_to_finished,2556.4088821411133,134,2,136,0,0,2815.4040575027466,2867.2030925750732,2884.469437599182,2898.2825136184692,INSUFFICIENT_N,172.66345024108887
0.014705882352941176,5734.300851821899,4476.918816566467,4476.918816566467,audit_to_finished,3219.536781311035,134,2,136,0,0,5105.609834194183,5482.824444770813,5608.562648296356,5709.153211116791,INSUFFICIENT_N,1257.3820352554321
