audit_gate_to_persist_ms,audit_id,audit_persist_to_bridge_fetch_ms,audit_persist_to_bridge_fetch_ms_clock_skew_suspected,audit_to_finished,audit_to_live_ok_ms,audit_to_request,bridge_fetch_to_policy_ms,clock_skew_suspected,detect_to_audit_gate_ms,detect_to_live_ok_ms,detected_to_audited,dryrun_duration_ms,dryrun_to_final_gate_ms,duplicate_events,event_id,events_present,execution_id,executor_receive_to_dryrun_start_ms,executor_to_live_ok_ms,final_gate_to_place_start_ms,line,market,missing_stages,n_events,order_id,ordering_violations,place_duration_ms,place_to_result_persist_ms,policy_to_request_ms,request_send_to_executor_receive_ms,request_send_to_executor_receive_ms_clock_skew_suspected,request_to_finished,request_to_live_ok_ms,side,status,trace_id,ws_to_detect_ms,ws_to_live_ok_ms
302.766053,422721,-186.94496154785156,True,,,,0.384492,True,4.68189,,307.447943,,,{},"2026-07-29,24845,1702",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_BRIDGE_FETCHED|H3B_DETECTED|H3B_POLICY_EVAL_FINISHED|H3B_POLICY_EVAL_STARTED|H3B_WS_RECEIVED,,,,,-3,AH,H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,9,,H3B_POLICY_EVAL_FINISHED->H3B_AUDIT_PERSIST_FINISHED,,,,,,,,away,UNKNOWN,h3bup:na:700d33c1f9d9,0.193655,
317.632633,422722,,,,,,,False,5.190289,,322.822922,,,{},"2026-07-29,60837,38389",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,0,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:cefbf7b6da55,0.069512,
8.33839,422723,,,,,,,False,9.175571,,17.513961,,,{},"2026-07-29,32238,64782",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-3,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,home,UNKNOWN,h3bup:na:d3ebe4add06c,0.107847,
9.203108,422724,,,,,,,False,1.11795,,10.321058,,,{},"2026-07-29,24475,10030986",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,4,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:b2c07bedb88f,0.086431,
22.568916,422726,,,,,,,False,4.226698,,26.795614,,,{},"2026-07-29,10087223,87336",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,3,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,home,UNKNOWN,h3bup:na:239c3350b66b,0.08935,
16.436291,422725,,,,,,,False,3.779825,,20.216116,,,{},"2026-07-29,72630,10017409",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-7,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,home,UNKNOWN,h3bup:na:0547910a1e54,0.084632,
122.799401,422727,,,,,,,False,3.785476,,126.584877,,,{},"2026-07-29,95935,10054348",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-1,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,home,UNKNOWN,h3bup:na:d58c2261fdd2,0.080649,
8.69808,422728,90.49797058105469,,,,,0.206314,False,1.494059,,10.192139,,,{},"2026-07-29,24845,1702",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_BRIDGE_FETCHED|H3B_DETECTED|H3B_POLICY_EVAL_FINISHED|H3B_POLICY_EVAL_STARTED|H3B_WS_RECEIVED,,,,,-3,AH,H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,9,,,,,,,,,,home,UNKNOWN,h3bup:na:5f5a9dceba6d,0.094974,
9.731595,422729,,,,,,,False,0.358396,,10.089991,,,{},"2026-07-29,32238,64782",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,-3,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:26a39043ab1e,0.084259,
8.830082,422730,,,,,,,False,0.316463,,9.146545,,,{},"2026-07-29,24490,10044263",H3B_AUDIT_ENQUEUED|H3B_AUDIT_GATE_DECIDED|H3B_AUDIT_PERSIST_FINISHED|H3B_AUDIT_PERSIST_STARTED|H3B_DETECTED|H3B_WS_RECEIVED,,,,,3,AH,H3B_BRIDGE_FETCHED|H3B_EXEC_REQUEST_CREATED|H3B_EXECUTOR_RECEIVED|H3B_DRYRUN_FINISHED|H3B_FINAL_GATE_DECIDED|H3B_PLACE_FINISHED,6,,,,,,,,,,away,UNKNOWN,h3bup:na:a1312bb8c7af,0.088091,
