audit_id,audit_to_finished_ms,audit_to_request_ms,call_to_done_ms,detected_to_audited_ms,execution_id,post_ms,pre_submit_ms,queue_delay_ms,request_created_at,request_to_finished_ms,result_finished_at,shadow_to_request_ms,status,total_ms_timing
419474,,,2553,,4864db8b-867c-49da-8f71-c795857670b6,793,1352,1,2026-07-28T13:52:24.562664+00:00,2553.0170000000003,2026-07-28T13:52:27.115681+00:00,,CAP_BLOCKED,1342
419646,,,2359,,faaa9702-c5a7-43be-a5fd-6b093b82540b,772,1156,2,2026-07-28T15:22:52.957957+00:00,2359.0049999999997,2026-07-28T15:22:55.316962+00:00,,CAP_BLOCKED,1145
419662,8330.002,3104.71,5225,4.23,693ee6d7-5471-4b12-bf63-fc763c9906b5,843,1222,0,2026-07-28T15:30:25.309321+00:00,5225.2919999999995,2026-07-28T15:30:30.534613+00:00,3032.8810000000003,LIVE_OK,1211
419664,,,2496,,94e0e9ec-fc2e-4077-ab1f-a217dbe97061,825,1294,0,2026-07-28T15:31:08.919483+00:00,2495.982,2026-07-28T15:31:11.415465+00:00,,CAP_BLOCKED,1291
419877,,,2445,,a5511b34-3087-4f13-948b-0044e271f23b,793,1201,1,2026-07-28T17:30:06.171741+00:00,2445.02,2026-07-28T17:30:08.616761+00:00,,CAP_BLOCKED,1193
419887,,,2385,,85e064c8-4b26-4909-a46e-83a203e91171,711,1183,0,2026-07-28T17:35:02.942134+00:00,2384.976,2026-07-28T17:35:05.327110+00:00,,CAP_BLOCKED,1179
419905,,,2145,,8a67e964-1946-43d3-853d-3993d07a15f7,772,1184,0,2026-07-28T17:44:38.131883+00:00,2145.3920000000003,2026-07-28T17:44:40.277275+00:00,,CAP_BLOCKED,1180
419935,9672.367,3198.8360000000002,6474,4.0889999999999995,f1918965-9811-4c30-b7f6-0cff33762dad,797,1129,1,2026-07-28T17:58:41.861191+00:00,6473.531,2026-07-28T17:58:48.334722+00:00,3029.219,LIVE_OK,1122
419959,,,2439,,6171838f-58cb-4e6b-90b0-395aed49cec2,916,1239,58,2026-07-28T18:08:28.852031+00:00,2439.538,2026-07-28T18:08:31.291569+00:00,,CAP_BLOCKED,1177
420196,,,2581,,a7403835-8dd5-4a5b-bde3-e23720a5b317,1030,1379,0,2026-07-28T19:50:48.934191+00:00,2580.622,2026-07-28T19:50:51.514813+00:00,,CAP_BLOCKED,1370
420463,6992.777,3188.783,3804,3.559,ccd3c23a-ada8-41e4-94f0-a0b23ad674a3,761,1105,1,2026-07-28T23:58:59.009030+00:00,3803.9939999999997,2026-07-28T23:59:02.813024+00:00,3024.372,LIVE_OK,1099
420476,,,2337,,e1552bc2-9899-48b7-903b-682480629374,749,1118,0,2026-07-29T00:03:00.105286+00:00,2337.113,2026-07-29T00:03:02.442399+00:00,,CAP_BLOCKED,1114
420504,,,2483,,577f0aae-67e3-481d-b28a-6c309b3064a9,961,1280,1,2026-07-29T00:13:59.932761+00:00,2482.663,2026-07-29T00:14:02.415424+00:00,,CAP_BLOCKED,1230
420508,,,2369,,a708eea3-de6f-4c8e-be47-9612e7edbc56,795,1166,0,2026-07-29T00:15:24.273767+00:00,2368.755,2026-07-29T00:15:26.642522+00:00,,CAP_BLOCKED,1159
420509,,,2306,,dc257edd-f6f8-46a3-a3ba-0851164c3f1a,737,1102,0,2026-07-29T00:15:51.212278+00:00,2306.104,2026-07-29T00:15:53.518382+00:00,,CAP_BLOCKED,1099
420511,,,2420,,5bc4d250-0398-46f2-8a52-4f55629f7219,953,1218,1,2026-07-29T00:16:28.559313+00:00,2419.723,2026-07-29T00:16:30.979036+00:00,,CAP_BLOCKED,1215
420536,,,2276,,64ede2d7-3972-48f7-8223-9b7bc21e939b,753,1068,0,2026-07-29T00:28:52.837981+00:00,2276.366,2026-07-29T00:28:55.114347+00:00,,CAP_BLOCKED,1063
420558,,,2342,,3cea623f-a210-4850-9331-c19f9da085db,824,1139,0,2026-07-29T00:36:32.682429+00:00,2342.1,2026-07-29T00:36:35.024529+00:00,,CAP_BLOCKED,1136
420668,,,2394,,c2677bf0-66f0-4f5a-a5ef-69ce52975aa0,758,1191,0,2026-07-29T01:22:26.022533+00:00,2393.792,2026-07-29T01:22:28.416325+00:00,,CAP_BLOCKED,1186
420838,,,2377,,82cdfcb6-104d-40c4-bae7-c66b7bf6482f,743,1176,0,2026-07-29T04:00:36.638398+00:00,2377.09,2026-07-29T04:00:39.015488+00:00,,CAP_BLOCKED,1165
420839,6298.237999999999,365.568,5933,6.930000000000001,c015f8c4-e10c-466e-9c56-da7b9858555b,742,1261,0,2026-07-29T04:00:51.513933+00:00,5932.67,2026-07-29T04:00:57.446603+00:00,96.512,LIVE_OK,1257
420841,,,2507,,9470bc6d-f707-40ab-a687-8226445d5477,787,1305,0,2026-07-29T04:03:07.008260+00:00,2506.566,2026-07-29T04:03:09.514826+00:00,,CAP_BLOCKED,1301
420860,,,2335,,b73b11ca-d63c-4efb-9b99-009ff78a8412,794,1121,0,2026-07-29T04:20:09.446499+00:00,2334.877,2026-07-29T04:20:11.781376+00:00,,CAP_BLOCKED,1118
420861,,,2397,,c2492a59-dbdb-4c86-a237-09f693bb30fb,801,1118,0,2026-07-29T04:22:19.115606+00:00,2397.087,2026-07-29T04:22:21.512693+00:00,,CAP_BLOCKED,1114
420863,,,2216,,61f170c0-fe11-4477-a44a-340bebd29fac,771,1141,0,2026-07-29T04:22:30.375995+00:00,2216.4069999999997,2026-07-29T04:22:32.592402+00:00,,CAP_BLOCKED,1137
420934,,,2430,,eae92f65-f324-4c5c-874b-f59775b48679,867,1229,1,2026-07-29T06:25:12.325008+00:00,2429.865,2026-07-29T06:25:14.754873+00:00,,CAP_BLOCKED,1184
