class,bookmaker,n,stake,pnl,roi
FRIENDLY,pin88,21,210.0,-11.830000000000004,-0.05633333333333335
NON_FRIENDLY,pin88,21,210.0,-17.25,-0.215625
FRIENDLY,pmk,10,100.0,-26.979999999999997,-0.2698
NON_FRIENDLY,bf,6,60.0,-20.230000000000004,-0.5057500000000001
FRIENDLY,sing2,4,40.0,8.129999999999999,0.20325
FRIENDLY,sbo,2,20.0,10.52,0.526
NON_FRIENDLY,4casters,2,20.0,-19.990000000000002,-0.9995
NON_FRIENDLY,vx,2,20.0,-0.5999999999999996,-0.02999999999999998
FRIENDLY,sharp,1,10.0,7.62,0.762
FRIENDLY,bdaq,1,10.0,,
NON_FRIENDLY,punter_io,1,10.0,9.54,0.954
NON_FRIENDLY,sbo,1,10.0,5.65,0.5650000000000001
NON_FRIENDLY,bdaq,1,10.0,,
NON_FRIENDLY,sharp,1,10.0,,
