metric,FRIENDLY,NON_FRIENDLY,UNCLASSIFIED,CONFLICT,TOTAL
LIVE_OK,39,35,0,0,74
eventos_unicos,28,30,0,0,58
stake_placed,390.0,350.0,0,0,740.0
open,1,17,0,0,18
settled_decided,35,17,0,0,52
void_push,3,1,0,0,4
missing,0,0,0,0,0
stake_resolved,380.0,180.0,0,0,560.0
pnl_resolved,-12.540000000000003,-42.88,,,-55.42000000000001
roi_resolved,-0.03300000000000001,-0.23822222222222222,,,-0.09896428571428573
roi_ex_void,-0.03582857142857144,-0.25223529411764706,,,-0.1065769230769231
accounting_coverage,0.9743589743589743,0.5142857142857142,,,0.7567567567567568
maturity,PARTIALLY_SETTLED,PARTIALLY_SETTLED,EMPTY,EMPTY,PARTIALLY_SETTLED
sample_gate,INSUFFICIENT_N,VERY_LOW_N,VERY_LOW_N,VERY_LOW_N,INSUFFICIENT_N
