scenario,n,pnl_total,roi_total,pnl_friendly,roi_friendly,pnl_non_friendly,roi_non_friendly,delta_roi_f_minus_nf,sign_vs_base_unchanged
baseline,74,-55.42000000000001,-0.09896428571428573,-12.540000000000003,-0.03300000000000001,-42.88,-0.23822222222222222,0.20522222222222222,True
remove_top1_gain,73,-66.01,-0.12001818181818183,-23.130000000000003,-0.06251351351351352,-42.88,-0.23822222222222222,0.1757087087087087,True
remove_top3_gains,71,-86.82000000000001,-0.163811320754717,-43.940000000000005,-0.12554285714285715,-42.88,-0.23822222222222222,0.11267936507936507,True
remove_top5_gains,69,-106.28,-0.2083921568627451,-53.730000000000004,-0.1580294117647059,-52.550000000000004,-0.30911764705882355,0.15108823529411766,True
remove_top1_loss,73,-45.42000000000001,-0.0825818181818182,-2.5400000000000036,-0.006864864864864874,-42.88,-0.23822222222222222,0.23135735735735735,True
remove_top3_losses,71,-25.42000000000001,-0.047962264150943415,7.459999999999996,0.02072222222222221,-32.88,-0.19341176470588237,0.2141339869281046,True
remove_top1_league,69,-29.660000000000004,-0.057038461538461545,-12.540000000000003,-0.03300000000000001,-17.12,-0.12228571428571429,0.08928571428571427,True
remove_top3_leagues,63,-27.750000000000004,-0.060326086956521745,-12.540000000000003,-0.03300000000000001,-15.209999999999999,-0.190125,0.157125,True
remove_dominant_bookmaker,32,-26.340000000000003,-0.09755555555555556,-0.71,-0.004176470588235294,-25.630000000000003,-0.25630000000000003,0.25212352941176475,True
only_accounting_reconciled,56,-55.42000000000001,-0.09896428571428573,-12.540000000000003,-0.03300000000000001,-42.88,-0.23822222222222222,0.20522222222222222,True
only_clv_closing_valid_strict,12,-38.07000000000001,-0.3172500000000001,-11.980000000000002,-0.19966666666666671,-26.090000000000003,-0.4348333333333334,0.2351666666666667,True
only_pre_submit_available,74,-55.42000000000001,-0.09896428571428573,-12.540000000000003,-0.03300000000000001,-42.88,-0.23822222222222222,0.20522222222222222,True
only_valid_event_id,74,-55.42000000000001,-0.09896428571428573,-12.540000000000003,-0.03300000000000001,-42.88,-0.23822222222222222,0.20522222222222222,True
