class,bookmaker,n,stake,pnl,roi
FRIENDLY,pin88,21,210.0,-59.15000000000002,-0.2816666666666668
NON_FRIENDLY,pin88,21,210.0,-86.25000000000001,-1.0781250000000002
FRIENDLY,pmk,10,100.0,-134.9,-1.349
NON_FRIENDLY,bf,6,60.0,-101.15,-2.52875
FRIENDLY,sing2,4,40.0,40.65,1.0162499999999999
FRIENDLY,sbo,2,20.0,52.599999999999994,2.63
NON_FRIENDLY,4casters,2,20.0,-99.94999999999999,-4.9975
NON_FRIENDLY,vx,2,20.0,-3.0,-0.15
FRIENDLY,sharp,1,10.0,38.1,3.81
FRIENDLY,bdaq,1,10.0,,
NON_FRIENDLY,punter_io,1,10.0,47.699999999999996,4.77
NON_FRIENDLY,sbo,1,10.0,28.25,2.825
NON_FRIENDLY,bdaq,1,10.0,,
NON_FRIENDLY,sharp,1,10.0,,
