group,window,expected,due,attempted,strict_valid,coverage_pct,n,mean,median,winsorized_mean,p25,p75,positive_pct,source_missing,line_mismatch,retry_backlog,snapshot_distance_median,snapshot_distance_p95,status,metric_contract
FRIENDLY,POST_5M,39,39,39,5,12.820512820512821,5,-1.786211353318805,-1.3705583756345119,-1.786211353318805,-1.7818574514038898,-0.31864046733934837,20.0,2,0,,10.575111150741577,40.35379695892334,VERY_LOW_N,VALID_STRICT_ONLY
FRIENDLY,POST_15M,39,39,39,5,12.820512820512821,5,-3.47169173171594,-2.801400700350176,-3.47169173171594,-5.3097345132743445,-0.31864046733934837,20.0,2,0,,29.215600967407227,59.23074197769165,VERY_LOW_N,VALID_STRICT_ONLY
FRIENDLY,CLOSING,39,39,39,6,15.384615384615385,6,-3.5568174688262846,-2.700387843989599,-3.5568174688262846,-9.905894006934135,2.4764735017335227,33.333333333333336,2,0,,28.280040979385376,2118.697228908539,VERY_LOW_N,VALID_STRICT_ONLY
NON_FRIENDLY,POST_5M,35,35,35,15,42.857142857142854,15,-0.13231045023424537,-0.39254170755642637,-0.13231045023424537,-0.9708737864077666,-0.1621621621621716,26.666666666666668,1,0,,22.549509048461914,45.099059104919434,VERY_LOW_N,VALID_STRICT_ONLY
NON_FRIENDLY,POST_15M,35,35,35,14,40.0,14,-0.029328953280353755,-0.3509100290359446,-0.029328953280353755,-0.9708737864077666,0.4077471967380175,28.571428571428573,1,0,,34.09885501861572,128.83888292312622,VERY_LOW_N,VALID_STRICT_ONLY
NON_FRIENDLY,CLOSING,35,35,35,6,17.142857142857142,6,-2.0899806315867187,-1.6767700737800428,-2.0899806315867187,-2.210526315789463,-1.0245901639344246,16.666666666666668,1,0,,38.27077853679657,3421.2277240753174,VERY_LOW_N,VALID_STRICT_ONLY
UNCLASSIFIED,POST_5M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
UNCLASSIFIED,POST_15M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
UNCLASSIFIED,CLOSING,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
CONFLICT,POST_5M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
CONFLICT,POST_15M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
CONFLICT,CLOSING,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
