metric,FRIENDLY,NON_FRIENDLY,UNCLASSIFIED,CONFLICT,TOTAL
LIVE_OK,39,35,0,0,74
eventos_unicos,28,30,0,0,58
stake_placed,390.0,350.0,0,0,740.0
open,1,17,0,0,18
settled_decided,35,17,0,0,52
void_push,3,1,0,0,4
missing,0,0,0,0,0
stake_resolved,380.0,180.0,0,0,560.0
pnl_resolved,-62.700000000000024,-214.4,,,-277.1
roi_resolved,-0.16500000000000006,-1.1911111111111112,,,-0.49482142857142863
roi_ex_void,-0.17914285714285721,-1.2611764705882353,,,-0.5328846153846154
accounting_coverage,0.9743589743589743,0.5142857142857142,,,0.7567567567567568
maturity,PARTIALLY_SETTLED,PARTIALLY_SETTLED,EMPTY,EMPTY,PARTIALLY_SETTLED
sample_gate,INSUFFICIENT_N,VERY_LOW_N,VERY_LOW_N,VERY_LOW_N,INSUFFICIENT_N
