scenario,n,pnl_total,roi_total,pnl_friendly,roi_friendly,pnl_non_friendly,roi_non_friendly,delta_roi_f_minus_nf,sign_vs_base_unchanged
baseline,74,-277.1,-0.49482142857142863,-62.700000000000024,-0.16500000000000006,-214.4,-1.1911111111111112,1.0261111111111112,True
remove_top1_gain,73,-330.05,-0.6000909090909091,-115.65000000000003,-0.31256756756756765,-214.4,-1.1911111111111112,0.8785435435435436,True
remove_top3_gains,71,-434.1,-0.8190566037735849,-219.70000000000002,-0.6277142857142858,-214.4,-1.1911111111111112,0.5633968253968255,True
remove_top5_gains,69,-531.4,-1.0419607843137255,-268.65000000000003,-0.7901470588235295,-262.75,-1.5455882352941177,0.7554411764705882,True
remove_top1_loss,73,-227.10000000000002,-0.41290909090909095,-12.700000000000024,-0.03432432432432439,-214.4,-1.1911111111111112,1.156786786786787,True
remove_top3_losses,71,-127.10000000000004,-0.23981132075471706,37.299999999999976,0.10361111111111104,-164.4,-0.9670588235294117,1.0706699346405228,True
remove_top1_league,69,-148.3,-0.2851923076923077,-62.700000000000024,-0.16500000000000006,-85.6,-0.6114285714285714,0.4464285714285714,True
remove_top3_leagues,63,-138.75000000000003,-0.30163043478260876,-62.700000000000024,-0.16500000000000006,-76.05,-0.9506249999999999,0.7856249999999999,True
remove_dominant_bookmaker,32,-131.7,-0.48777777777777775,-3.5500000000000043,-0.020882352941176494,-128.15,-1.2815,1.2606176470588235,True
only_accounting_reconciled,56,-277.1,-0.49482142857142863,-62.700000000000024,-0.16500000000000006,-214.4,-1.1911111111111112,1.0261111111111112,True
only_clv_closing_valid_strict,12,-190.35000000000002,-1.5862500000000002,-59.90000000000001,-0.9983333333333335,-130.45000000000002,-2.174166666666667,1.1758333333333333,True
only_pre_submit_available,74,-277.1,-0.49482142857142863,-62.700000000000024,-0.16500000000000006,-214.4,-1.1911111111111112,1.0261111111111112,True
only_valid_event_id,74,-277.1,-0.49482142857142863,-62.700000000000024,-0.16500000000000006,-214.4,-1.1911111111111112,1.0261111111111112,True
