class,bookmaker,n,stake,pnl,roi
FRIENDLY,pin88,57,338.0,-25.460000000000004,-0.07762195121951221
NON_FRIENDLY,pin88,56,296.0,-26.000000000000004,-0.09629629629629631
FRIENDLY,sing2,20,88.0,11.61,0.15276315789473682
FRIENDLY,pmk,19,118.0,-27.9,-0.24051724137931033
NON_FRIENDLY,bf,17,82.0,6.449999999999998,0.08062499999999997
NON_FRIENDLY,sharp,6,20.0,1.75,0.125
FRIENDLY,bdaq,5,18.0,8.010000000000002,0.44500000000000006
NON_FRIENDLY,vx,5,26.0,1.5200000000000005,0.06333333333333335
NON_FRIENDLY,sbo,4,16.0,3.6500000000000004,0.26071428571428573
NON_FRIENDLY,sing2,4,16.0,-6.61,-0.47214285714285714
FRIENDLY,sharp,2,12.0,6.46,0.5383333333333333
FRIENDLY,sbo,2,20.0,10.52,0.526
FRIENDLY,mbook,2,4.0,1.89,0.4725
FRIENDLY,polymarket,2,4.0,-0.17999999999999994,-0.044999999999999984
NON_FRIENDLY,4casters,2,20.0,-19.990000000000002,-0.9995
NON_FRIENDLY,sxbet,2,4.0,3.77,0.9425
NON_FRIENDLY,punter_io,1,10.0,9.54,0.954
NON_FRIENDLY,bdaq,1,10.0,8.65,0.865
NON_FRIENDLY,overtime,1,2.0,2.1,1.05
