group,window,expected,due,attempted,strict_valid,coverage_pct,n,mean,median,winsorized_mean,p25,p75,positive_pct,source_missing,line_mismatch,retry_backlog,snapshot_distance_median,snapshot_distance_p95,status,metric_contract
FRIENDLY,POST_5M,109,109,109,20,18.34862385321101,20,-2.6973364202318617,-2.103049937823159,-2.6937071073567203,-3.8131041890440476,-1.0708822029576792,5.0,2,0,,15.763602018356323,79.1461730003357,VERY_LOW_N,VALID_STRICT_ONLY
FRIENDLY,POST_15M,109,109,109,18,16.513761467889907,18,-3.307470234661328,-2.881775501025335,-3.307470234661328,-5.3097345132743445,-1.2134583563155,11.11111111111111,2,0,,22.92627453804016,64.5118670463562,VERY_LOW_N,VALID_STRICT_ONLY
FRIENDLY,CLOSING,109,109,109,23,21.10091743119266,23,-2.917064149599068,-1.7728797316722722,-2.789607943857175,-5.754352030947773,-0.27382256297919794,21.73913043478261,2,0,,90.11551690101624,2601.5351700782776,VERY_LOW_N,VALID_STRICT_ONLY
NON_FRIENDLY,POST_5M,99,99,99,46,46.464646464646464,46,-0.7581500394690343,-0.507658136146022,-0.8558062349301171,-1.585623678646919,-0.16094420600859527,17.391304347826086,2,0,,21.968663930892944,52.54060220718384,INSUFFICIENT_N,VALID_STRICT_ONLY
NON_FRIENDLY,POST_15M,99,99,99,42,42.42424242424242,42,-0.8594189270679253,-0.9200540270814628,-0.9573681399673614,-1.7214397496087663,-0.1621621621621716,19.047619047619047,2,0,,25.33662462234497,74.37986993789673,INSUFFICIENT_N,VALID_STRICT_ONLY
NON_FRIENDLY,CLOSING,99,99,99,39,39.39393939393939,39,-1.9659797017639467,-1.7618793379604814,-1.9449551504379696,-4.805825242718442,0.7637752318603308,35.8974358974359,2,0,,349.34467792510986,2665.336844921112,INSUFFICIENT_N,VALID_STRICT_ONLY
UNCLASSIFIED,POST_5M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
UNCLASSIFIED,POST_15M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
UNCLASSIFIED,CLOSING,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
CONFLICT,POST_5M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
CONFLICT,POST_15M,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
CONFLICT,CLOSING,0,0,0,0,,0,,,,,,,0,0,,,,VERY_LOW_N,VALID_STRICT_ONLY
