class,league,n,stake,pnl,roi,clv_closing_median,clv_coverage
NON_FRIENDLY,UEFA Europa League,12,72.0,-23.650000000000002,-0.3284722222222223,-2.210526315789463,0.9166666666666666
NON_FRIENDLY,CONMEBOL Copa Sudamericana,5,26.0,-19.990000000000002,-0.9995,-1.0245901639344246,0.2
NON_FRIENDLY,Scotland Premier League,9,50.0,19.430000000000003,0.4626190476190477,-3.041237113402062,0.1111111111111111
NON_FRIENDLY,Colombia Cup,4,40.0,18.08,0.45199999999999996,,0.0
FRIENDLY,Club Friendly,109,602.0,-15.050000000000004,-0.02603806228373703,-1.7728797316722722,0.21100917431192662
NON_FRIENDLY,Ecuador Serie A (Copa Pilsener),7,38.0,-8.18,-0.22722222222222221,-14.902705268153781,0.14285714285714285
NON_FRIENDLY,USA Major League Soccer,14,100.0,-5.520000000000001,-0.056326530612244914,-0.07548984144885029,0.42857142857142855
NON_FRIENDLY,UEFA Champions League,17,98.0,4.509999999999999,0.046979166666666655,0.16268980477223138,0.5294117647058824
NON_FRIENDLY,Russia Cup,7,14.0,2.78,0.19857142857142857,-2.6186702983781065,0.8571428571428571
NON_FRIENDLY,Denmark Division 1,3,6.0,-2.24,-0.37333333333333335,,0.0
NON_FRIENDLY,Sweden Superettan,2,4.0,2.12,1.06,3.5196687370600444,0.5
NON_FRIENDLY,Denmark Superliga (SAS Ligaen),4,8.0,-2.0,-0.5,-7.286432160804024,0.25
NON_FRIENDLY,Paraguay Division 1 (Primera División),2,20.0,-0.29999999999999893,-0.014999999999999947,0.4077471967380175,0.5
NON_FRIENDLY,Norway Premier League (Tippeligaen),6,12.0,-0.20999999999999974,-0.017499999999999977,-2.512077294685988,0.16666666666666666
NON_FRIENDLY,Spain La Liga,5,10.0,,,,0.0
NON_FRIENDLY,England Football League Championship,2,4.0,,,,0.0
