metric,FRIENDLY,NON_FRIENDLY,UNCLASSIFIED,CONFLICT,TOTAL
LIVE_OK,109,99,0,0,208
eventos_unicos,82,76,0,0,158
stake_placed,602.0,502.0,0,0,1104.0
open,5,17,0,0,22
settled_decided,90,68,0,0,158
void_push,7,11,0,0,18
missing,7,3,0,0,10
stake_resolved,578.0,462.0,0,0,1040.0
pnl_resolved,-15.050000000000004,-15.170000000000005,,,-30.220000000000006
roi_resolved,-0.02603806228373703,-0.03283549783549785,,,-0.029057692307692312
roi_ex_void,-0.028289473684210534,-0.035778301886792464,,,-0.031610878661087874
accounting_coverage,0.8899082568807339,0.797979797979798,,,0.8461538461538461
maturity,PARTIALLY_SETTLED,PARTIALLY_SETTLED,EMPTY,EMPTY,PARTIALLY_SETTLED
sample_gate,INSUFFICIENT_N,INSUFFICIENT_N,VERY_LOW_N,VERY_LOW_N,FIRST_READING
