metric,FRIENDLY,NON_FRIENDLY,UNCLASSIFIED,CONFLICT,TOTAL
LIVE_OK,129,142,0,0,271
eventos_unicos,101,110,0,0,211
stake_placed,642.0,588.0,0,0,1230.0
open,0,16,0,0,16
settled_decided,113,108,0,0,221
void_push,8,15,0,0,23
missing,8,3,0,0,11
stake_resolved,626.0,550.0,0,0,1176.0
pnl_resolved,-9.970000000000004,-8.270000000000005,,,-18.24000000000001
roi_resolved,-0.015926517571884992,-0.015036363636363645,,,-0.01551020408163266
roi_ex_void,-0.017249134948096892,-0.016408730158730168,,,-0.01685767097966729
accounting_coverage,0.937984496124031,0.8661971830985915,,,0.9003690036900369
maturity,PARTIALLY_SETTLED,PARTIALLY_SETTLED,EMPTY,EMPTY,PARTIALLY_SETTLED
sample_gate,FIRST_READING,FIRST_READING,VERY_LOW_N,VERY_LOW_N,FIRST_READING
