metric,FRIENDLY,NON_FRIENDLY,UNCLASSIFIED,CONFLICT,TOTAL
LIVE_OK,144,187,0,0,331
eventos_unicos,112,146,0,0,258
stake_placed,672.0,678.0,0,0,1350.0
open,0,17,0,0,17
settled_decided,127,150,0,0,277
void_push,8,17,0,0,25
missing,9,3,0,0,12
stake_resolved,654.0,638.0,0,0,1292.0
pnl_resolved,-4.450000000000004,-21.510000000000005,,,-25.960000000000008
roi_resolved,-0.0068042813455657545,-0.033714733542319755,,,-0.02009287925696595
roi_ex_void,-0.007343234323432349,-0.03658163265306123,,,-0.021742043551088785
accounting_coverage,0.9375,0.893048128342246,,,0.9123867069486404
maturity,PARTIALLY_SETTLED,PARTIALLY_SETTLED,EMPTY,EMPTY,PARTIALLY_SETTLED
sample_gate,FIRST_READING,FIRST_READING,VERY_LOW_N,VERY_LOW_N,RELIABLE_READING_CANDIDATE
