coverage,max,mean,median,metric,min,missing,n_calculable,n_total,negatives,outliers,p75,p90,p95,p99,status,status_stat,stdev
1.0,0.110592,0.08111,0.08440349999999999,ws_to_detect_ms,0.037281,0,6,6,0,0,0.094222,0.1034355,0.10701374999999999,0.10987635,API_FAILED,INSUFFICIENT_N,0.022816164606114967
1.0,2.672217,0.15533797872340427,0.087738,ws_to_detect_ms,0.072568,0,47,47,0,0,0.114034,0.14543119999999998,0.18055369999999996,1.535710179999998,CAP_BLOCKED,OK,0.3722390702589027
1.0,0.180686,0.1047274,0.096762,ws_to_detect_ms,0.083522,0,10,10,0,0,0.103938,0.12382759999999998,0.15225679999999994,0.17500016000000002,LIVE_OK,INSUFFICIENT_N,0.027150118549280778
1.0,46.248111,0.15692262217762168,0.087847,ws_to_detect_ms,0.03314,0,1993,1993,0,1,0.102113,0.1323992,0.18619079999999982,1.149681839999995,UNKNOWN,OK,1.0902898848482752
1.0,6.143189,1.7151828333333334,0.517169,detect_to_audit_gate_ms,0.302559,0,6,6,0,0,2.0227527500000004,4.3102005,5.22669475,5.9598901500000006,API_FAILED,INSUFFICIENT_N,2.1214214509369587
1.0,29.102484,2.969338680851064,0.47231,detect_to_audit_gate_ms,0.244142,0,47,47,0,2,2.1591395,8.394411599999998,14.134923899999981,25.751363759999997,CAP_BLOCKED,OK,5.719891027881589
1.0,9.712381,2.8924807,2.3689575,detect_to_audit_gate_ms,0.384035,0,10,10,0,0,3.10960225,5.301357699999999,7.506869349999995,9.271278670000003,LIVE_OK,INSUFFICIENT_N,2.6185947535442002
1.0,103.550406,2.6510997656798794,1.219069,detect_to_audit_gate_ms,0.175239,0,1993,1993,0,26,2.845276,5.7573308,7.826587799999964,22.526905279999927,UNKNOWN,OK,6.445480816211869
1.0,155.988593,43.438006666666666,23.399124,audit_gate_to_persist_ms,12.756681,0,6,6,0,1,30.98992925,93.52621350000001,124.75740325,149.74235505000001,API_FAILED,INSUFFICIENT_N,50.89072916895878
1.0,355.832149,31.53271974468085,14.541314,audit_gate_to_persist_ms,7.617197,0,47,47,0,6,20.371379,82.41111839999999,99.02465889999999,260.51394911999984,CAP_BLOCKED,OK,55.89563020162501
