window,corr,sign_concordance,n_joint,bin,n,clv_mean,roi,wr
POST_5M,-0.06311334494574458,0.5,46,CLV < -3%,9,-5.183435361544926,0.46352941176470586,0.5555555555555556
POST_5M,-0.06311334494574458,0.5,46,"[-3%, -1%)",12,-1.7400124728324622,-0.5501388888888888,0.5
POST_5M,-0.06311334494574458,0.5,46,"[-1%, 0%)",17,-0.4006314667430922,-0.18236842105263157,0.47058823529411764
POST_5M,-0.06311334494574458,0.5,46,"[0%, +1%)",5,0.3363674122333915,-0.08423076923076926,0.4
POST_5M,-0.06311334494574458,0.5,46,CLV ≥ +1%,3,4.272883778733265,0.31099999999999994,0.6666666666666666
POST_15M,-0.08351085082501637,0.4878048780487805,41,CLV < -3%,8,-6.287783549142515,0.1655,0.5
POST_15M,-0.08351085082501637,0.4878048780487805,41,"[-3%, -1%)",12,-1.820905228088247,-0.31124999999999997,0.6666666666666666
POST_15M,-0.08351085082501637,0.4878048780487805,41,"[-1%, 0%)",13,-0.49412225589907227,-0.2411320754716981,0.38461538461538464
POST_15M,-0.08351085082501637,0.4878048780487805,41,"[0%, +1%)",4,0.3293578843605982,-0.13708333333333336,0.25
POST_15M,-0.08351085082501637,0.4878048780487805,41,CLV ≥ +1%,4,3.477949136972441,0.34562499999999996,0.75
CLOSING,0.22076757478931264,0.6666666666666666,51,CLV < -3%,21,-6.7729580953923625,-0.21387755102040817,0.47619047619047616
CLOSING,0.22076757478931264,0.6666666666666666,51,"[-3%, -1%)",11,-1.818822391580707,-0.8483333333333334,0.2727272727272727
CLOSING,0.22076757478931264,0.6666666666666666,51,"[-1%, 0%)",3,-0.5595142178118554,-0.702857142857143,0.3333333333333333
CLOSING,0.22076757478931264,0.6666666666666666,51,"[0%, +1%)",6,0.4019974339921221,0.8894444444444445,1.0
CLOSING,0.22076757478931264,0.6666666666666666,51,CLV ≥ +1%,10,4.473928302225143,0.72,0.8
