id,label,n,settled,open,void,friendly_n,nf_n,stake_placed,stake_resolved,pnl,roi,wr,clv5_n,clv5_mean,clv5_pos,clv5_cov,clvC_n,clvC_mean,clvC_pos,clvC_cov,roi_ci95_lo,roi_ci95_hi,roi_p_pos,clv5_ci95_lo,clv5_ci95_hi,clvC_ci95_lo,clvC_ci95_hi
full,2026-07-28 → 2026-08-07 (tudo),208,158,22,18,109,99,1104.0,1040.0,-30.220000000000006,-0.029057692307692312,0.5253164556962026,66,-1.3457822760638305,0.13636363636363635,0.3173076923076923,62,-2.318801351767298,0.3064516129032258,0.2980769230769231,-0.1674082073434125,0.11216216216216222,0.31533333333333335,-1.9080037676969106,-0.8063611389164156,-3.5965565714875853,-1.1224546702274518
era_stake10,Antes stake2 (< 2026-08-01T12:07:00+00:00),86,80,0,6,48,38,860.0,860.0,-31.49000000000001,-0.03661627906976745,0.5125,23,-0.5590125859149874,0.21739130434782608,0.26744186046511625,24,-1.543016326443874,0.375,0.27906976744186046,-0.1946666666666667,0.12957500000000002,0.32,-1.6268231071815384,0.5271267320856375,-3.422212757040767,0.37305212366780477
era_stake2,Desde stake2 (≥ 2026-08-01T12:07:00+00:00),122,78,22,12,61,61,244.0,180.0,1.2700000000000005,0.007055555555555558,0.5384615384615384,43,-1.7666125754457698,0.09302325581395349,0.3524590163934426,38,-2.8087708414452504,0.2631578947368421,0.3114754098360656,-0.18089041095890412,0.18588607594936715,0.5476666666666666,-2.360857025998983,-1.1753741310102532,-4.378445107264727,-1.271924457576923
last_1d,Últimos 1d (após 2026-08-06),22,6,13,0,11,11,44.0,12.0,0.9900000000000002,0.08250000000000002,0.5,15,-2.2641777016633124,0.0,0.6818181818181818,9,-1.8673891835875742,0.3333333333333333,0.4090909090909091,-0.5010000000000001,0.648,0.6116666666666667,-3.3647671446713554,-1.3372896768330378,-4.713372247095899,0.9049743988051844
last_2d,Últimos 2d (após 2026-08-05),35,18,14,0,19,16,70.0,36.0,7.36,0.20444444444444446,0.6111111111111112,20,-2.2497740169595684,0.05,0.5714285714285714,16,-2.4120995396295855,0.375,0.45714285714285713,-0.12434782608695649,0.5483333333333333,0.8756666666666667,-3.1415098571885265,-1.3935638852177734,-4.6171352205508995,-0.20218357069900425
last_3d,Últimos 3d (após 2026-08-04),53,33,14,3,29,24,106.0,72.0,4.2,0.058333333333333334,0.5454545454545454,29,-2.2014639833958776,0.06896551724137931,0.5471698113207547,26,-2.452916223616376,0.3076923076923077,0.49056603773584906,-0.23930555555555555,0.36406249999999996,0.6743333333333333,-2.883861713085002,-1.5684328464169124,-4.024685033070757,-0.8913410658878599
last_5d,Últimos 5d (após 2026-08-02),78,47,22,4,40,38,156.0,102.0,8.53,0.08362745098039215,0.574468085106383,36,-1.868405294421245,0.08333333333333333,0.46153846153846156,30,-3.0165749638248043,0.26666666666666666,0.38461538461538464,-0.1495454545454546,0.3401063829787234,0.764,-2.491196701029044,-1.317418255355793,-4.534716875005044,-1.4587028242121418
last_7d,Últimos 7d (após 2026-07-31),148,102,22,14,79,69,504.0,440.0,-12.760000000000002,-0.029000000000000005,0.5294117647058824,49,-1.5513228873415195,0.10204081632653061,0.3310810810810811,42,-2.5951213457803646,0.2619047619047619,0.28378378378378377,-0.2518483412322274,0.19100000000000003,0.388,-2.1263941911193935,-1.012441979527008,-4.111488090870924,-1.0447144681218918
week_2026-W31,Semana 2026-W31 (2026-07-28→2026-08-02),138,119,0,14,75,63,964.0,954.0,-40.690000000000005,-0.04265199161425577,0.5042016806722689,31,-0.674334681825686,0.22580645161290322,0.2246376811594203,33,-1.8349959713827992,0.3333333333333333,0.2391304347826087,-0.1969106699751862,0.10419642857142854,0.283,-1.6220878437131094,0.23327288518880518,-3.6801068619535817,-0.017207020136351146
week_2026-W32,Semana 2026-W32 (2026-08-03→2026-08-07),70,39,22,4,34,36,140.0,86.0,10.47,0.12174418604651163,0.5897435897435898,35,-1.940493002389044,0.05714285714285714,0.5,29,-2.8693385087565555,0.27586206896551724,0.4142857142857143,-0.1473333333333334,0.42606060606060614,0.8173333333333334,-2.539808863335694,-1.3780590328639983,-4.447907923681593,-1.3801496538195217
