strategy,cap,bank_min,mean_profit,sd_profit,p05_profit,p50_profit,p95_profit,p_neg,mean_stake,sd_stake,mean_roi_turn,sd_roi_turn
A_p<=0.2,50,1000.0,580.4299696,443.95029438402753,-136.7862499999999,571.876,1324.0443999999998,0.09614,3734.2035,1138.4277216412547,0.15465593081234755,0.1221978108148947
A_p<=0.2,100,2000.0,827.6381592199999,698.6005145318023,-302.20844999999974,814.5339999999999,1996.9679999999998,0.12024,6509.96082,1960.5738719066599,0.12967458328403259,0.11741477292209143
A_p<=0.2,150,3000.0,1000.4286868400002,914.6085339935278,-474.017,980.572,2550.1691499999984,0.13816,8745.25172,2641.33713442154,0.11922052392453972,0.11798309563743392
A_p<=0.2,200,4000.0,1078.2098127999998,1092.5892012627176,-659.1349999999999,1048.2809999999997,2935.8839999999996,0.1624,10621.49922,3236.149564423662,0.10751123034623622,0.11770383495352153
A_p<=0.2,250,5000.0,1130.52846352,1284.0111123895026,-898.7759999999998,1100.4015,3313.329149999999,0.1924,12309.98876,3790.103474233991,0.09817713640862459,0.11913838142958008
A_p<=0.2,300,6000.0,1186.5941448,1433.6508382742813,-1119.1789999999999,1154.1664999999998,3607.5632999999984,0.20894,13709.82276,4263.866675552428,0.09337363073468367,0.12019375956645219
A_p<=0.2,400,8000.0,1039.9535259399997,1604.8225204604996,-1632.6518499999988,1057.253,3644.654199999999,0.25946,15628.75538,4975.497001191864,0.07384814471512265,0.12072360240502553
A_p<=0.2,500,10000.0,881.8120010999999,1797.5541192693363,-2179.564,952.595,3719.0419999999995,0.30628,17122.55004,5526.131148693944,0.059093295799720655,0.12433413906813413
A_p<=0.2,700,14000.0,776.2987596599996,2130.9343021127647,-2989.7568999999994,943.5779999999996,3953.5409999999993,0.34168,19113.22736,6297.18504384435,0.04758039159505417,0.13104339850742755
A_p<=0.2,1000,20000.0,656.3234244599996,2539.010865462957,-3929.576,919.3619999999997,4334.796649999999,0.37152,21031.7089,7239.54673376027,0.03947475569594722,0.1424327553253721
B_plus_Sab_relaxed,50,1000.0,645.22808878,447.81042430382075,-73.71914999999998,634.7339999999999,1400.9954999999995,0.07248,5470.38362,1459.392554314379,0.12036194198319206,0.08736937215344445
B_plus_Sab_relaxed,100,2000.0,960.1775693999999,740.4979174908586,-211.48065000000005,936.7359999999999,2218.754,0.0929,9896.3209,2625.3413050692197,0.10208133326172718,0.0857679393499825
B_plus_Sab_relaxed,150,3000.0,1219.96186866,988.970058421907,-353.217,1190.6785,2905.2971499999994,0.10364,13643.11736,3653.9240588943817,0.0964877642959415,0.08682744333358805
B_plus_Sab_relaxed,200,4000.0,1366.3955812199997,1201.715361429663,-556.3651500000004,1335.6149999999998,3404.1827,0.12392,16921.28874,4596.789327473213,0.08898793966458335,0.08701061266600292
B_plus_Sab_relaxed,250,5000.0,1491.7610129399998,1414.3671827689482,-782.0500499999999,1459.1404999999997,3873.8475999999987,0.14294,19893.60724,5474.541525161518,0.08361910844604296,0.08724392625644076
B_plus_Sab_relaxed,300,6000.0,1630.16971722,1589.301809403028,-940.2478999999998,1607.593,4286.0201499999985,0.1492,22502.00198,6279.13467400574,0.08135837705154815,0.08692601121213664
B_plus_Sab_relaxed,400,8000.0,1641.3243271599997,1871.0598244156754,-1459.5840499999995,1646.5145000000002,4691.251149999999,0.18436,26443.54558,7547.435872064587,0.07104201395535824,0.08672332103989097
B_plus_Sab_relaxed,500,10000.0,1592.67491512,2165.8074971755013,-2042.7918000000002,1619.719,5086.712449999998,0.22142,29614.90892,8570.566180739614,0.06261584836937507,0.08852611653314679
B_plus_Sab_relaxed,700,14000.0,1511.1160129999996,2639.1526466248033,-2976.9703000000004,1596.6585,5678.023999999999,0.26692,34168.63556,10076.853645272975,0.0519855947409405,0.09054533050346218
B_plus_Sab_relaxed,1000,20000.0,1045.5531961999995,3092.099559666544,-4334.2428,1219.2754999999993,5847.520399999996,0.34268,38373.70234,11522.144286228911,0.03573180509176446,0.09408234198949486
