thr,Tipo,DOW,oos_n,oos_meanROI,oos_p,dec_bets,dec_stake_sum,dec_profit_exp,dec_Bmax
0.2,FT,Seg,48,0.29416666666666663,0.018577379566490707,22,9154.0,2692.8016666666663,99580.0
0.2,FT,Ter,223,0.2824372197309417,2.909924585957918e-06,140,30301.0,8558.130195067264,59920.0
0.2,FT,Sex,189,0.10381481481481483,0.06276703498160582,90,30781.0,3195.5238148148155,122760.0
0.2,FH,Ter,78,0.2823205128205128,0.0014505137878179886,45,4638.0,1309.4025384615384,5560.0
0.2,FH,Sáb,227,0.15400440528634363,0.002058437832503348,102,13046.0,2009.141471365639,15000.0
0.25,FT,Seg,48,0.29416666666666663,0.018577379566490707,22,9154.0,2692.8016666666663,99580.0
0.25,FT,Ter,217,0.28646774193548386,3.1786199397773018e-06,136,29651.0,8494.055016129032,59920.0
0.25,FH,Ter,75,0.28487999999999997,0.001564237765683153,43,4527.0,1289.6517599999997,5560.0
0.25,FH,Sáb,165,0.20320606060606058,0.0007354196357069881,73,10592.0,2152.358593939394,15000.0
0.3,FT,Seg,29,0.3628275862068965,0.030214591283337918,13,2568.0,931.7412413793102,10000.0
0.3,FT,Ter,207,0.28026328502415465,8.383006447199797e-06,132,28885.0,8095.404987922707,59920.0
0.3,FH,Ter,72,0.30536111111111114,0.0007534845539434663,42,4502.0,1374.7357222222224,5560.0
0.3,FH,Sáb,146,0.1784931506849315,0.005641771846426208,62,9102.0,1624.6446575342463,15000.0
0.35,FT,Seg,28,0.35882142857142857,0.03635745825148256,13,2568.0,921.4534285714286,10000.0
0.35,FT,Ter,198,0.2923712121212121,6.451933563399382e-06,126,27644.0,8082.309787878787,59920.0
0.35,FT,Sáb,153,0.07289869281045752,0.16163029748926655,60,98442.0,7176.293117647059,750000.0
0.35,FH,Ter,66,0.3034242424242424,0.0011306129427928837,39,4296.0,1303.5105454545453,5560.0
0.35,FH,Sáb,112,0.1699107142857143,0.01666637901690635,44,7841.0,1332.2699107142857,15000.0
0.4,FT,Seg,28,0.35882142857142857,0.03635745825148256,13,2568.0,921.4534285714286,10000.0
0.4,FT,Ter,191,0.300782722513089,4.9079368154363764e-06,121,25281.0,7604.088007853404,59920.0
0.4,FH,Ter,60,0.3432666666666667,0.00044007469549246265,36,4045.0,1388.513666666667,5560.0
0.4,FH,Sáb,101,0.16684158415841588,0.025714535452697047,38,7243.0,1208.4335940594062,15000.0
0.45,FT,Seg,26,0.34680769230769226,0.051588591041672925,13,2568.0,890.6021538461538,10000.0
0.45,FT,Ter,182,0.31848076923076934,2.291451186168647e-06,116,23564.0,7504.6808461538485,59920.0
0.45,FT,Sáb,105,0.09446666666666666,0.141466811420961,45,92895.0,8775.481,750000.0
0.45,FH,Ter,53,0.4001132075471697,9.771254227223062e-05,32,3545.0,1418.4013207547166,5560.0
0.5,FT,Seg,25,0.40068000000000004,0.03173229769866649,12,2195.0,879.4926,10000.0
0.5,FT,Ter,166,0.3318885542168675,2.5495214690916762e-06,102,21515.0,7140.582243975905,59920.0
0.5,FT,Qua,84,0.10343452380952381,0.15831660840973125,59,13334.0,1379.1959404761906,33340.0
0.5,FT,Sáb,74,0.15816216216216217,0.07133116332165615,34,88987.0,14074.376324324325,750000.0
0.5,FH,Ter,51,0.38445098039215686,0.00024164543806403255,30,3222.0,1238.7010588235294,5560.0
0.55,FT,Ter,160,0.33677187499999994,3.1387135423307544e-06,99,20829.0,7014.621384374999,59920.0
0.55,FT,Sáb,56,0.15325000000000003,0.11331665542961407,28,86342.0,13231.911500000002,750000.0
0.55,FH,Ter,41,0.37309756097560975,0.0011347496829956958,22,2548.0,950.6525853658536,5560.0
0.6,FT,Ter,155,0.3325193548387097,5.7027078510614085e-06,97,20598.0,6849.233670967742,59920.0
0.6,FH,Ter,38,0.3891315789473684,0.001226988991222933,20,2301.0,895.3917631578946,5560.0
0.65,FT,Ter,147,0.32871088435374146,9.805140080909473e-06,93,19875.0,6533.128826530611,59920.0
0.65,FH,Ter,33,0.38475757575757574,0.0022984915234183245,19,2134.0,821.0726666666667,5560.0
0.7,FT,Ter,134,0.22545149253731336,0.0017666628842548768,80,18798.0,4238.037156716417,59920.0
0.7,FT,Qua,51,0.11528431372549018,0.19795566998467157,34,10505.0,1211.0617156862743,33340.0
0.7,FH,Ter,29,0.41893103448275865,0.002748130339297286,16,1794.0,751.562275862069,5560.0
0.75,FT,Ter,116,0.14654741379310343,0.033799053949361384,76,18142.0,2658.6631810344825,59920.0
0.75,FT,Qua,40,0.14066249999999997,0.18763442218021148,30,10193.0,1433.7728624999997,33340.0
0.75,FH,Ter,24,0.3700833333333333,0.01652380036993099,13,1510.0,558.8258333333333,5560.0
0.8,FT,Ter,98,0.2876173469387755,0.0004089531481192124,62,16861.0,4849.516086734694,59920.0
0.8,FH,Ter,22,0.2696363636363636,0.05307936452078664,12,1398.0,376.95163636363634,5560.0
0.85,FT,Ter,83,0.37486144578313246,2.3005285538348538e-05,53,15963.0,5983.913259036143,59920.0
0.9,FT,Ter,76,0.3875197368421053,3.581067495466564e-05,48,15653.0,6065.8464407894735,59920.0
