order_id,created_at_utc,policy_version,stake,status_as_of,pnl_as_of,audit_id
1934662052,2026-07-29T04:00:51.513933+00:00,H3BUP_vNext_20260629,10.0,OPEN,,420839
1934994839,2026-07-29T07:51:53.000127+00:00,H3BUP_vNext_20260629,10.0,OPEN,,421000
1935045057,2026-07-29T08:28:28.900981+00:00,H3BUP_vNext_20260629,10.0,OPEN,,421030
1935402833,2026-07-29T10:42:41.730156+00:00,H3BUP_vNext_20260629,10.0,SETTLED,-9.99,421392
1935460146,2026-07-29T10:59:25.391071+00:00,H3BUP_vNext_20260629,10.0,SETTLED,-9.99,421512
1935475500,2026-07-29T11:04:26.200252+00:00,H3BUP_vNext_20260629,10.0,SETTLED,8.11,421546
1935568718,2026-07-29T11:28:10.704022+00:00,H3BUP_vNext_20260629,10.0,OPEN,,421737
1935642980,2026-07-29T11:49:35.133640+00:00,H3BUP_vNext_20260629,10.0,SETTLED,-10.0,421892
1935703108,2026-07-29T12:11:53.027523+00:00,H3BUP_vNext_20260629,10.0,SETTLED,-9.5,421992
1936401912,2026-07-29T15:42:32.181242+00:00,H3BUP_vNext_20260629,10.0,SETTLED,8.99,422603
1936596042,2026-07-29T16:23:30.244911+00:00,H3BUP_vNext_20260629,10.0,SETTLED,7.62,423006
1936637320,2026-07-29T16:31:36.841850+00:00,H3BUP_vNext_20260629,10.0,SETTLED,5.65,423077
1936724778,2026-07-29T16:48:59.271257+00:00,H3BUP_vNext_20260629,10.0,SETTLED,4.71,423232
1936750483,2026-07-29T16:54:59.145778+00:00,H3BUP_vNext_20260629,10.0,SETTLED,-9.97,423278
1936946893,2026-07-29T17:36:56.610918+00:00,H3BUP_vNext_20260629,10.0,VOID,0.0,423687
1936956073,2026-07-29T17:39:07.730646+00:00,H3BUP_vNext_20260629,10.0,SETTLED,-9.42,423707
1936961828,2026-07-29T17:40:31.004337+00:00,H3BUP_vNext_20260629,10.0,SETTLED,8.3,423720
1936963700,2026-07-29T17:41:00.541683+00:00,H3BUP_vNext_20260629,10.0,SETTLED,10.29,423728
1937013393,2026-07-29T17:53:08.164033+00:00,H3BUP_vNext_20260629,10.0,SETTLED,8.68,423845
1937095091,2026-07-29T18:11:51.576684+00:00,H3BUP_vNext_20260629,10.0,SETTLED,-9.99,424019
1937669560,2026-07-29T20:18:14.945998+00:00,H3BUP_vNext_20260629,10.0,OPEN,,424968
1937747430,2026-07-29T20:37:51.486287+00:00,H3BUP_vNext_20260629,10.0,OPEN,,425031
