cap,bank_min,rules_count,bets_nov,stake_nov,profit_exp_nov,roi_turn_exp_nov
5000,100000,7,699,288080.0,42481.959505708815,0.14746584110562627
3000,60000,7,702,270095.0,39479.87482139312,0.14617032829705517
2000,40000,7,713,257436.0,37208.36887527471,0.14453444302768342
1500,30000,7,713,246191.0,35583.08446974856,0.14453446498754446
1000,20000,7,713,227267.0,32878.269668816196,0.14466803217720212
700,14000,7,713,208522.0,30216.623814889525,0.14490856511490166
500,10000,7,713,185814.0,27029.2793827246,0.14546417052926366
400,8000,7,713,167914.0,24476.44016048585,0.14576771538100367
300,6000,7,713,146057.0,21347.55804055847,0.1461590888526977
250,5000,7,713,130446.0,19100.713627103614,0.1464262118202445
200,4000,7,713,112327.0,16490.75566792779,0.14681025637582942
150,3000,7,713,91241.0,13470.897656170335,0.14764083752008783
100,2000,7,713,65753.0,9771.560538562962,0.14861010963093643
50,1000,7,713,35296.0,5278.860623225028,0.14955974113851506
