fold,q,thr,rule,test_n,test_meanROI
1,0.7,0.42531844119373763,score>=q,136,0.018022058823529415
1,0.8,0.48488332026380104,score>=q,98,0.008959183673469368
1,0.85,0.5483249800031486,score>=q,71,0.017070422535211262
1,0.9,0.6526653339034344,score>=q,49,0.03340816326530613
2,0.7,0.425187154372657,score>=q,151,0.03090066225165561
2,0.8,0.4856561836793595,score>=q,126,0.12578571428571428
2,0.85,0.5499981334258239,score>=q,111,0.1360765765765765
2,0.9,0.6559216342864658,score>=q,89,0.2770505617977528
3,0.7,0.42657643204344964,score>=q,162,0.037333333333333336
3,0.8,0.49537145309806996,score>=q,125,0.056864
3,0.85,0.5639882348116568,score>=q,105,0.04406666666666667
3,0.9,0.7005332478337901,score>=q,75,-0.03578666666666667
4,0.7,0.42961620128076666,score>=q,131,0.16016412213740458
4,0.8,0.5060787689472955,score>=q,105,0.22211904761904763
4,0.85,0.5747338897562227,score>=q,90,0.19049444444444447
4,0.9,0.72138370801179,score>=q,71,0.10741549295774648
5,0.7,0.4289881077230789,score>=q,141,0.4006170212765958
5,0.8,0.51154885821128,score>=q,102,0.4285539215686276
5,0.85,0.5826808698581385,score>=q,85,0.4301823529411766
5,0.9,0.7371328091188261,score>=q,56,0.29058035714285707
