fold,q,thr,rule,test_n,test_meanROI
1,0.8,0.9930570945853094,score_only,115,-3.478260869564834e-05
1,0.85,0.9985072351879681,score_only,93,-0.07527956989247311
1,0.9,0.9999730398709985,score_only,60,-0.11843333333333333
2,0.8,0.9934863772566386,score_only,124,0.037165322580645116
2,0.85,0.9987063442908426,score_only,107,0.06791121495327099
2,0.9,0.9999782182752848,score_only,75,-0.1981
3,0.8,0.9942201553701051,score_only,118,-0.03629661016949154
3,0.85,0.9991470606219207,score_only,79,0.03164556962025319
3,0.9,0.999989977498308,score_only,53,0.03147169811320757
4,0.8,0.9945216699576845,score_only,60,0.020499999999999984
4,0.85,0.9991614563477015,score_only,49,0.09244897959183673
4,0.9,0.9999902441543946,score_only,34,0.02535294117647057
5,0.8,0.9934917297436234,score_only,152,0.35126644736842105
5,0.85,0.9988635392003846,score_only,122,0.4144467213114755
5,0.9,0.9999850342959398,score_only,82,0.4164268292682928
