fold,strategy,test_n,test_meanROI,segments
1,baseline_all,506,-0.009295454545454546,
1,clv_only_q0.5,258,0.02610271317829459,
1,clv_only_q0.6,206,0.002432038834951445,
1,clv_only_q0.7,142,0.04925352112676056,
1,clv_only_q0.75,122,0.013672131147540978,
1,clv_only_q0.8,94,-0.006835106382978739,
1,clv_only_q0.85,69,0.08428985507246375,
1,clv_only_q0.9,52,0.13301923076923078,
1,clvbin*dow*tipo_lcb,19,-0.01831578947368424,2.0
2,baseline_all,506,0.01962351778656126,
2,clv_only_q0.5,251,0.007543824701195203,
2,clv_only_q0.6,201,-0.0029029850746268874,
2,clv_only_q0.7,149,0.10035906040268454,
2,clv_only_q0.75,122,0.08648360655737704,
2,clv_only_q0.8,98,0.1929387755102041,
2,clv_only_q0.85,69,0.21892753623188402,
2,clv_only_q0.9,56,0.2398928571428571,
2,clvbin*dow*tipo_lcb,7,0.22571428571428573,2.0
3,baseline_all,506,0.0007984189723320156,
3,clv_only_q0.5,252,0.09727579365079364,
3,clv_only_q0.6,192,0.09737239583333333,
3,clv_only_q0.7,145,0.17157241379310345,
3,clv_only_q0.75,124,0.21857258064516127,
3,clv_only_q0.8,90,0.3441222222222222,
3,clv_only_q0.85,54,0.4188518518518518,
3,clv_only_q0.9,40,0.383525,
3,clvbin*dow*tipo_lcb,17,0.09105882352941175,3.0
4,baseline_all,506,0.07859090909090909,
4,clv_only_q0.5,212,0.14839622641509434,
4,clv_only_q0.6,173,0.13830057803468204,
4,clv_only_q0.7,120,0.13767916666666669,
4,clv_only_q0.75,91,0.2514010989010989,
4,clv_only_q0.8,73,0.2914726027397261,
4,clv_only_q0.85,53,0.31219811320754715,
4,clv_only_q0.9,32,0.41740625000000003,
4,clvbin*dow*tipo_lcb,18,0.2188611111111111,4.0
5,baseline_all,508,0.13433661417322834,
5,clv_only_q0.5,256,0.11805078124999999,
5,clv_only_q0.6,198,0.1545151515151515,
5,clv_only_q0.7,145,0.17385862068965516,
5,clv_only_q0.75,120,0.2258208333333333,
5,clv_only_q0.8,100,0.25577,
5,clv_only_q0.85,82,0.2200243902439024,
5,clv_only_q0.9,50,0.12399999999999997,
5,clvbin*dow*tipo_lcb,51,0.1927843137254902,7.0
