strategy,cap,bank_min,mean_profit,sd_profit,p05_profit,p50_profit,p95_profit,p_neg,mean_stake,mean_roi_turn
S1,50,1000,897.5973005999999,1185.4355746710648,-1082.4794999999997,914.488,2834.6169999999997,0.23016666666666666,20101.189433333333,0.047938127748533496
S1,100,2000,1324.8391889,2078.2310385403784,-2237.61565,1401.7554999999998,4631.318049999997,0.2611,37117.18323333334,0.03852935367309144
S1,150,3000,1715.3103112333333,2772.5870766701114,-3072.0310500000005,1847.172,6032.969849999999,0.26403333333333334,52030.39593333333,0.035702904255165355
S1,200,4000,2144.826417533333,3321.205461346247,-3586.4058999999993,2332.0105000000003,7266.714699999998,0.2529,64979.191,0.03547232075419582
S1,250,5000,2516.7948065333335,3800.8648876323227,-4091.022149999999,2787.3070000000007,8310.6893,0.24746666666666667,76334.7148,0.03507030840449341
S1,300,6000,2916.6357243499992,4235.654662751154,-4483.753475,3231.4549999999995,9343.66735,0.238,86004.27146666667,0.03586392333154217
S1,400,8000,2781.8919868499993,4833.515011526096,-5746.061674999999,3194.9817499999995,9942.436949999998,0.26943333333333336,99615.1564,0.029766442086039242
S1,500,10000,2280.192139916666,5305.2370246419505,-7153.566075,2763.6162499999996,10071.303175,0.31416666666666665,110416.1135,0.022569803621828956
S1,700,14000,1173.5430880499994,6253.579472171522,-10097.040125000001,1882.0032499999993,10119.597950000001,0.3905666666666667,124597.92673333333,0.011526526647024101
S1,1000,20000,194.1446661833323,7292.96011626667,-12977.0149,1090.5017499999994,10513.24315,0.44533333333333336,135944.16086666667,0.0037377924394860077
S2,50,1000,652.1657134,948.6299111176638,-943.4046000000001,674.898,2179.62875,0.24666666666666667,16074.380966666668,0.04632673527796072
S2,100,2000,886.6908382999999,1603.572253516051,-1833.2219,939.2199999999999,3436.2504499999995,0.28826666666666667,29309.581633333335,0.03522030077868737
S2,150,3000,1104.4702617,2072.1336673179503,-2460.9557499999996,1187.2840000000003,4356.1281,0.29236666666666666,40668.26323333333,0.03185929345052684
S2,200,4000,1359.5516083333334,2378.220238375377,-2743.3828999999996,1482.7475000000004,5042.139699999997,0.27786666666666665,50308.789833333336,0.031370644340287385
S2,250,5000,1522.787940766667,2638.8417456205007,-3086.9946499999996,1705.8735000000001,5522.565599999999,0.2733,58642.56903333333,0.02984639530692747
S2,300,6000,1775.1711186666664,2907.632652367835,-3341.0568,2010.0584999999996,6110.187799999999,0.26213333333333333,65594.56886666667,0.030790922951512065
S2,400,8000,1527.1798917,3345.2424593773753,-4413.583799999999,1833.2670000000003,6450.073799999999,0.3063,74843.9863,0.02431634508271251
S2,500,10000,985.1611216666666,3845.6918279062897,-5872.1535,1331.958,6664.145099999999,0.3738,82148.2986,0.01636993542833282
S2,700,14000,87.40747339999939,4889.347859941187,-8551.119400000001,480.8134999999995,7453.208749999999,0.45963333333333334,91203.81923333333,0.006211806281678659
S2,1000,20000,-363.2779338666673,5750.164208759707,-10468.668,83.09949999999932,8350.292899999999,0.4944,97954.7491,0.0020551284850947194
