cap_Seg,cap_Ter,cap_Qua,cap_Sab,bank_min,mean_profit,sd_profit,p_neg,mean_stake,mean_roi_turn,sharpe_ann_bank,sharpe_ann_turn
200,200,200,200,4000.0,2007.9981530333332,1584.907333995848,0.09433333333333334,39649.29953333333,0.05385213011944088,4.388843117773484,4.164307670373565
200,200,200,300,6000.0,2199.2849023666663,1813.8896348035378,0.1097,44147.272033333335,0.053308585929147466,4.200115727141036,4.056112265051021
200,200,200,400,8000.0,2442.2827691000007,2062.892164073202,0.1166,47069.363033333335,0.05531877068312133,4.101191440059298,4.011112247512086
200,200,200,500,10000.0,2636.499708766666,2318.970394366559,0.12756666666666666,49393.35996666666,0.056808916438277415,3.938430141943917,3.8864041281479214
200,200,200,700,14000.0,2761.4753825333332,2738.5943081684472,0.15833333333333333,52547.0439,0.056099561194402965,3.4930443345566444,3.503946056163027
200,200,200,1000,20000.0,2606.061367333333,3038.142253277118,0.19533333333333333,55130.39176666667,0.05135639725025045,2.9714413082500455,3.0172460383080333
200,200,300,200,6000.0,2090.4269019333333,1636.371381188513,0.09213333333333333,42022.6576,0.05265099845551121,4.425310348592832,4.186642976464773
200,200,300,300,6000.0,2281.7136512666666,1863.240422396083,0.10566666666666667,46520.6301,0.052159550696979924,4.242119186352909,4.084051062621865
200,200,300,400,8000.0,2524.7115179999996,2106.2384041312366,0.11313333333333334,49442.7211,0.05411259742955827,4.152358645681474,4.048864697894997
200,200,300,500,10000.0,2718.9284576666664,2356.899548026012,0.1237,51766.71803333333,0.05556138433532113,3.9962010555501006,3.9322855602568954
200,200,300,700,14000.0,2843.904131433333,2762.193494762649,0.1522,54920.401966666665,0.05492048338935033,3.566575952653046,3.564949927948153
200,200,300,1000,20000.0,2688.490116233333,3045.3909080491926,0.18973333333333334,57503.749833333335,0.05037625807515554,3.0581305438688666,3.0905727254956483
200,200,400,200,8000.0,2317.8948046,1690.3161211849495,0.0754,43734.614233333334,0.05565493796746872,4.750249397553792,4.484045427155042
200,200,400,300,8000.0,2509.1815539333334,1912.5380940471857,0.08823333333333333,48232.58673333333,0.05484287680930255,4.544777382844574,4.360601301161682
200,200,400,400,8000.0,2752.179420666667,2150.957708609574,0.09416666666666666,51154.67773333333,0.05656622509123857,4.432364773198244,4.30824208001747
200,200,400,500,10000.0,2946.3963603333327,2397.580266440056,0.10493333333333334,53478.674666666666,0.057850400847679735,4.257048881129453,4.176623820871682
200,200,400,700,14000.0,3071.3720340999994,2790.3955987584145,0.13326666666666667,56632.3586,0.057090814792179555,3.8129162864035475,3.796079804875528
200,200,400,1000,20000.0,2915.9580188999994,3060.916357835594,0.1719,59215.70646666667,0.052562318377358,3.3000492996443787,3.3147832473497423
200,200,500,200,10000.0,2537.253924933333,1776.3828727696202,0.06653333333333333,45221.83476666667,0.05851530483744159,4.947866563063882,4.684175757315378
