strategy,cap,bank_min,mean_profit,sd_profit,p05_profit,p50_profit,p95_profit,p_neg,mean_stake,mean_roi_turn
C_profitmax_relaxed,50,1000.0,800.78625498,579.2066859055416,-126.61059999999995,788.0335,1777.0197499999997,0.08062,8029.53274,0.1013921334969474
C_profitmax_relaxed,100,2000.0,1223.27133056,963.3869649085739,-328.1398500000001,1205.279,2841.7853999999998,0.09972,14529.74214,0.0871074399556022
C_profitmax_relaxed,150,3000.0,1614.4284982,1275.4088936628707,-464.1260999999997,1596.6889999999999,3741.3277499999995,0.10082,19930.70764,0.08508683915528309
C_profitmax_relaxed,200,4000.0,1864.90801278,1487.9165276542965,-572.3245500000002,1849.067,4334.8623,0.10326,24617.37734,0.08062607959849784
C_profitmax_relaxed,250,5000.0,2024.2284619,1700.9211697954538,-764.72835,2012.437,4853.8679999999995,0.11562,28827.18688,0.07551230288975716
C_profitmax_relaxed,300,6000.0,2207.5381661399997,1879.3622358686935,-865.6734499999997,2194.0779999999995,5328.0709,0.11866,32552.78664,0.0732498171584543
C_profitmax_relaxed,400,8000.0,2444.9416198399995,2111.07758174823,-986.5537,2415.1757499999994,5958.55165,0.12184,38192.29442,0.06945580429055415
C_profitmax_relaxed,500,10000.0,2615.8071434,2339.1167043031146,-1165.9494750000003,2568.5959999999995,6532.969574999999,0.12858,42837.24568,0.06633157666718817
C_profitmax_relaxed,700,14000.0,2804.91813376,2643.615930236721,-1487.5681249999998,2757.0175,7217.9917749999995,0.1401,49359.3817,0.06170801706584041
C_profitmax_relaxed,1000,20000.0,2244.8562992199995,3025.1843002693126,-2821.8123499999997,2303.6977499999994,7118.2701499999985,0.22006,55169.35424,0.046066479774769395
C_plus_SabFH,50,1000.0,826.89009148,643.016543160141,-170.7784499999999,790.545,1944.8996999999997,0.09266,12883.69374,0.0658957272835823
C_plus_SabFH,100,2000.0,1296.9738127,1086.6793295049292,-376.63339999999977,1232.9755,3185.1508499999977,0.11042,24093.2738,0.055801549834067085
C_plus_SabFH,150,3000.0,1665.6300035999998,1405.4281267272243,-525.7451999999997,1588.2079999999999,4087.1142999999997,0.11318,32913.75528,0.05325704420243637
C_plus_SabFH,200,4000.0,2006.1031500599997,1590.5777878328558,-511.44490000000025,1941.7839999999997,4708.376249999999,0.0972,39640.75652,0.05380093300145105
C_plus_SabFH,250,5000.0,2187.9533778600003,1776.3698417413166,-660.0094000000004,2142.3319999999994,5175.6211,0.10536,45032.34744,0.05195160286690305
C_plus_SabFH,300,6000.0,2384.89762644,1947.864595479434,-763.8254500000002,2356.0384999999997,5630.74875,0.10768,49583.5516,0.05153998692896804
C_plus_SabFH,400,8000.0,2708.8146311399996,2193.0199087381297,-865.5547749999994,2685.5080000000003,6342.865749999999,0.1067,56123.71342,0.05164499041918364
C_plus_SabFH,500,10000.0,2965.5008634999995,2442.0826883416885,-1016.9520749999998,2936.234,7034.310824999997,0.11024,61414.45046,0.05161471673769155
C_plus_SabFH,700,14000.0,3255.958622739999,2840.918829933502,-1444.1547499999997,3272.8402499999993,7910.064474999994,0.12396,68524.39452,0.050963771897018596
C_plus_SabFH,1000,20000.0,2885.1133761999995,3323.6179036833014,-2761.1452000000004,2990.5730000000003,8173.903099999997,0.18862,74628.34118,0.042885768276114705
