Tipo,DOW_name,n,meanROI,sd,se,lcb80,lcb70,folds,pos_folds
FT,Ter,47,0.5153510638297872,0.7892551656253095,0.11512469802360513,0.41846211797312116,0.4549796721862087,5,4
FH,Sáb,18,0.4791666666666667,0.9648194741230397,0.2274101309244134,0.28777830048068037,0.3599127940099043,4,4
FT,Dom,28,0.4243928571428571,0.875942892578164,0.16553764688974196,0.2850763735204503,0.33758491511387645,5,4
FT,Seg,20,0.40234999999999993,0.8783165881089623,0.19639755967773231,0.2370618137752204,0.2993591197049971,5,4
FH,Ter,25,0.29407999999999995,0.7471897862435398,0.14943795724870795,0.16831301517948732,0.2157147352187775,5,4
FT,Sex,47,0.2762340425531915,0.8898231434627885,0.12979404525582944,0.16699937406588544,0.20817004522103455,5,4
FH,Sex,24,0.21758333333333335,0.7402204088129349,0.15109685823217125,0.09042021744513801,0.13834814087638275,5,4
FT,Qua,28,0.050535714285714274,0.8349196227512121,0.15778497760911234,-0.08225612287011469,-0.03220672797250423,5,3
FT,Sáb,40,0.01942499999999998,0.9033077928312938,0.14282550267632033,-0.10077694305239121,-0.055472693603462395,5,3
FH,Qui,13,0.022307692307692292,0.8594350261087594,0.2383643888126819,-0.17829977731706081,-0.1026905931856781,5,2
FH,Seg,6,0.10816666666666663,0.9310897736881587,0.38011580837657594,-0.2117387976630597,-0.09116606324600979,4,2
FH,Dom,9,-0.09222222222222223,0.6688755074335166,0.22295850247783888,-0.27986409790757144,-0.20914166092160094,5,2
FT,Qui,15,-0.07106666666666668,1.0239157656946665,0.26437391389697723,-0.2935637526023627,-0.20970434711424152,5,1
FH,Qua,7,-0.2057142857142857,0.991024001439204,0.37457186444346435,-0.5209539668299054,-0.4021397714284384,3,0
