thr,Tipo,DOW,oos_n,oos_meanROI,oos_p,dec_bets,dec_stake_sum,dec_profit_exp,dec_max_stake
0.2,FT,Seg,47,0.3217021276595745,0.011724042831955862,22,9154.0,2944.861276595745,4979.0
0.2,FT,Ter,122,0.19514754098360657,0.00866278339276767,67,20782.0,4055.5561967213116,2996.0
0.2,FT,Qua,122,-0.06204918032786885,0.7691407040192165,76,19465.0,-1207.7872950819672,1667.0
0.2,FT,Sex,181,0.10448066298342547,0.0637297336611191,86,30346.0,3170.570198895029,6138.0
0.2,FT,Sáb,357,-0.010987394957983204,0.5883369613116997,118,116635.0,-1281.514810924371,37500.0
0.2,FT,Dom,159,-0.11811949685534591,0.9458180776862728,81,92867.0,-10969.40331446541,25000.0
0.2,FH,Seg,38,0.04436842105263159,0.3753927187210654,22,2505.0,111.14289473684214,527.0
0.2,FH,Ter,71,0.22360563380281687,0.011740690136950858,41,4327.0,967.5415774647886,278.0
0.2,FH,Qua,40,0.07967499999999997,0.29809422878921077,18,2742.0,218.46884999999992,435.0
0.2,FH,Sex,101,-0.0362128712871287,0.6879667730414154,42,5240.0,-189.75544554455442,315.0
0.2,FH,Sáb,242,0.09045661157024791,0.043804334105628666,94,12398.0,1121.4810702479335,750.0
0.2,FH,Dom,65,-0.06513076923076924,0.7296740300566631,35,7268.0,-473.37043076923084,1598.0
0.25,FT,Seg,47,0.3217021276595745,0.011724042831955862,22,9154.0,2944.861276595745,4979.0
0.25,FT,Ter,117,0.1922051282051282,0.011235192172163093,64,20195.0,3881.582564102564,2996.0
0.25,FT,Qua,115,-0.04195652173913046,0.6844085730482119,73,18938.0,-794.5726086956527,1667.0
0.25,FT,Sex,147,0.03574149659863949,0.3158998738381992,65,26600.0,950.7238095238105,6138.0
0.25,FT,Sáb,290,-0.036743103448275874,0.7499669841366237,92,112094.0,-4118.681437931035,37500.0
0.25,FT,Dom,85,-0.13669411764705885,0.9193804158325041,39,50348.0,-6882.275435294119,15000.0
0.25,FH,Seg,38,0.04436842105263159,0.3753927187210654,22,2505.0,111.14289473684214,527.0
0.25,FH,Ter,68,0.22383823529411764,0.01297966354567736,39,4216.0,943.702,278.0
0.25,FH,Qua,37,0.04635135135135137,0.3811336178391268,16,2642.0,122.46027027027031,435.0
0.25,FH,Sex,88,-0.0722215909090909,0.8122947747027475,34,4577.0,-330.55822159090906,315.0
0.25,FH,Sáb,177,0.14691242937853108,0.009843556114328073,66,10009.0,1470.4465056497177,750.0
0.25,FH,Dom,44,-0.0479090909090909,0.6482804674631627,23,6584.0,-315.4334545454545,1598.0
0.3,FT,Seg,28,0.4114999999999999,0.017538866928383474,13,2568.0,1056.7319999999997,500.0
0.3,FT,Ter,107,0.17139252336448596,0.025905123542983972,60,19429.0,3329.9853364485975,2996.0
0.3,FT,Qua,110,-0.03286363636363637,0.6431004762097356,70,17111.0,-562.3296818181819,1667.0
0.3,FT,Sex,118,0.017228813559322015,0.41766699929697193,46,22649.0,390.2153983050843,6138.0
0.3,FT,Sáb,255,-0.0475,0.7942142364060216,84,110247.0,-5236.7325,37500.0
0.3,FT,Dom,69,-0.1570579710144928,0.9267030309580305,30,47538.0,-7466.221826086958,15000.0
0.3,FH,Ter,65,0.2437076923076923,0.007570629733061734,38,4191.0,1021.3789384615384,278.0
0.3,FH,Qua,35,0.026142857142857145,0.4353282304972642,16,2642.0,69.06942857142857,435.0
0.3,FH,Sex,77,-0.03546753246753247,0.657084721959085,24,3938.0,-139.67114285714285,315.0
0.3,FH,Sáb,158,0.1236360759493671,0.03578980498093224,56,8572.0,1059.8084430379747,750.0
0.3,FH,Dom,33,-0.04027272727272729,0.6082394108353071,15,5337.0,-214.93554545454558,1598.0
0.35,FT,Seg,27,0.40914814814814815,0.021568841367456505,13,2568.0,1050.6924444444444,500.0
0.35,FT,Ter,98,0.1858571428571429,0.023207474963821445,54,18188.0,3380.369714285715,2996.0
0.35,FT,Qua,100,-0.020349999999999993,0.5858264749180756,64,15526.0,-315.95409999999987,1667.0
0.35,FT,Sex,83,-0.028204819277108446,0.6150208861139849,32,17249.0,-486.5049277108436,6138.0
0.35,FT,Sáb,171,0.03495321637426901,0.3088863515582459,57,96853.0,3385.323865497076,37500.0
0.35,FT,Dom,51,-0.30758823529411766,0.9940184147761818,15,40146.0,-12348.437294117648,15000.0
0.35,FH,Ter,59,0.23527118644067796,0.011713864719000397,35,3985.0,937.5556779661017,278.0
0.35,FH,Qua,34,0.0013235294117646906,0.49676741046199896,16,2642.0,3.496764705882313,435.0
0.35,FH,Sex,51,-0.1116078431372549,0.8517761355916856,17,3008.0,-335.71639215686275,315.0
0.35,FH,Sáb,125,0.11423599999999999,0.0668858876845047,40,7445.0,850.4870199999999,750.0
0.35,FH,Dom,20,-0.09685,0.6924743541932659,4,2106.0,-203.9661,1159.0
0.4,FT,Seg,27,0.40914814814814815,0.021568841367456505,13,2568.0,1050.6924444444444,500.0
0.4,FT,Ter,92,0.18232608695652175,0.02851204427242278,50,16200.0,2953.6826086956526,2996.0
