thr,Tipo,DOW,bets_month,B_max,stake_month,profit_month,roi_month
0.4,FT,Ter,121,59920.0,25281.0,10059.828,0.39792049365135873
0.4,FH,Ter,36,5560.0,4045.0,1064.9129999999998,0.26326650185414086
0.4,FT,Qua,70,33340.0,15986.0,1562.4685,0.09773980357813086
0.4,FH,Sáb,38,15000.0,7243.0,634.143,0.08755253348060196
0.4,FT,Sáb,52,750000.0,94897.0,-57761.236999999994,-0.6086729506728347
0.4,FT,Sex,20,122760.0,13738.0,-5023.549999999999,-0.3656682195370505
0.45,FT,Ter,116,59920.0,23564.0,10055.876000000002,0.4267474113053812
0.45,FH,Ter,32,5560.0,3545.0,1093.9329999999998,0.30858476727785605
0.45,FT,Qua,65,33340.0,14442.0,1511.6054999999997,0.10466732447029495
0.45,FH,Sáb,21,12820.0,3907.0,926.3489999999999,0.2370998208343998
0.45,FT,Sáb,45,750000.0,92895.0,-57371.36299999999,-0.6175936595080466
0.5,FT,Ter,102,59920.0,21515.0,9310.356000000002,0.43273790378805493
0.5,FH,Ter,30,5560.0,3222.0,878.005,0.27250310366232156
0.5,FT,Qua,59,33340.0,13334.0,1636.7985000000003,0.1227537498125094
0.5,FT,Sáb,34,750000.0,88987.0,-58294.674999999996,-0.6550920359153584
0.55,FT,Ter,99,59920.0,20829.0,9137.356,0.438684334341543
0.55,FH,Ter,22,5560.0,2548.0,676.425,0.2654729199372056
0.55,FT,Qua,51,33340.0,12602.0,1049.1065000000003,0.0832492064751627
0.55,FT,Sáb,28,750000.0,86342.0,-58860.356,-0.6817117509439207
0.6,FT,Ter,97,59920.0,20598.0,9039.106,0.4388341586561802
0.6,FH,Ter,20,5560.0,2301.0,760.425,0.3304758800521512
0.6,FT,Qua,45,33340.0,12157.0,1188.2514999999994,0.09774216500781438
0.6,FT,Sáb,24,750000.0,84762.0,-59021.556,-0.6963209457068026
0.65,FT,Ter,93,59920.0,19875.0,8035.876,0.4043208050314466
0.65,FT,Qua,37,33340.0,10741.0,1953.8264999999997,0.18190359370635878
0.7,FT,Ter,80,59920.0,18798.0,6630.726,0.35273571656559205
0.7,FT,Qua,34,33340.0,10505.0,2160.8264999999997,0.20569504997620178
0.75,FT,Ter,76,59920.0,18142.0,7176.133,0.39555357733436225
0.75,FT,Qua,30,33340.0,10193.0,2254.9154999999996,0.22122196605513583
0.8,FT,Ter,62,59920.0,16861.0,8096.540000000001,0.4801933455904158
0.8,FT,Qua,25,33340.0,9437.0,1582.4415,0.16768480449295325
0.85,FT,Ter,53,59920.0,15963.0,7755.4540000000015,0.48583937856292686
0.85,FT,Qua,24,33340.0,9249.0,1415.1215000000002,0.15300264893502002
0.9,FT,Ter,48,59920.0,15653.0,7630.513999999999,0.48747933303520086
0.9,FT,Qua,24,33340.0,9249.0,1415.1215000000002,0.15300264893502002
