thr,DOW,Tipo,n,meanROI,p_one
0.2,Seg,FH,41,0.016731707317073193,0.4490082946861187
0.2,Seg,FT,48,0.29416666666666663,0.018577379566490707
0.2,Ter,FH,78,0.2823205128205128,0.0014505137878179886
0.2,Ter,FT,223,0.2824372197309417,2.909924585957918e-06
0.2,Qua,FH,43,0.06248837209302327,0.3279831633136267
0.2,Qua,FT,143,-0.034517482517482496,0.6724702412412975
0.2,Sex,FH,106,-0.006542452830188675,0.5360445396644542
0.2,Sex,FT,189,0.10381481481481483,0.06276703498160582
0.2,Sáb,FH,227,0.15400440528634363,0.002058437832503348
0.2,Sáb,FT,319,0.01093730407523511,0.41706735637060355
0.2,Dom,FH,72,-0.012993055555555534,0.5506031371347663
0.2,Dom,FT,164,-0.11504268292682925,0.9440865302956287
0.3,Seg,FT,29,0.3628275862068965,0.030214591283337918
0.3,Ter,FH,72,0.30536111111111114,0.0007534845539434663
0.3,Ter,FT,207,0.28026328502415465,8.383006447199797e-06
0.3,Qua,FH,38,0.010921052631578955,0.4706390925891358
0.3,Qua,FT,129,0.007899224806201545,0.4615338277594315
0.3,Sex,FH,80,0.0029125000000000067,0.4866749889557507
0.3,Sex,FT,125,0.014184000000000033,0.43127252506377584
0.3,Sáb,FH,146,0.1784931506849315,0.005641771846426208
0.3,Sáb,FT,227,-0.023211453744493384,0.6473646576695472
0.3,Dom,FH,37,0.01735135135135134,0.45123308900058723
0.3,Dom,FT,71,-0.18080281690140845,0.9548777187801348
0.4,Seg,FT,28,0.35882142857142857,0.03635745825148256
0.4,Ter,FH,60,0.3432666666666667,0.00044007469549246265
0.4,Ter,FT,191,0.300782722513089,4.9079368154363764e-06
0.4,Qua,FH,31,-0.05951612903225806,0.6441418775637717
0.4,Qua,FT,110,0.04081818181818179,0.32294691619024896
0.4,Sex,FH,28,-0.08907142857142857,0.727062291907898
0.4,Sex,FT,56,-0.0570982142857143,0.6753560705781474
0.4,Sáb,FH,101,0.16684158415841588,0.025714535452697047
0.4,Sáb,FT,124,0.06059274193548386,0.226464838751748
0.4,Dom,FT,45,-0.30104444444444445,0.9888738242226272
0.5,Seg,FT,25,0.40068000000000004,0.03173229769866649
0.5,Ter,FH,51,0.38445098039215686,0.00024164543806403255
0.5,Ter,FT,166,0.3318885542168675,2.5495214690916762e-06
0.5,Qua,FT,84,0.10343452380952381,0.15831660840973125
0.5,Sex,FT,32,-0.077078125,0.678315591297338
0.5,Sáb,FH,38,0.05905263157894738,0.3397500116515074
0.5,Sáb,FT,74,0.15816216216216217,0.07133116332165615
0.5,Dom,FT,28,-0.26203571428571426,0.9353839431305945
0.6,Ter,FH,38,0.3891315789473684,0.001226988991222933
0.6,Ter,FT,155,0.3325193548387097,5.7027078510614085e-06
0.6,Qua,FT,66,0.0753560606060606,0.2595882269819989
0.6,Sáb,FH,25,0.03564,0.42105258395236106
0.6,Sáb,FT,49,0.10728571428571428,0.20954898738801964
0.6,Dom,FT,26,-0.24373076923076922,0.9085688110645147
0.7,Ter,FH,29,0.41893103448275865,0.002748130339297286
0.7,Ter,FT,134,0.22545149253731336,0.0017666628842548768
0.7,Qua,FT,51,0.11528431372549018,0.19795566998467157
0.7,Sáb,FT,36,0.01599999999999999,0.45937751571704744
0.7,Dom,FT,26,-0.24373076923076922,0.9085688110645147
0.8,Ter,FH,22,0.2696363636363636,0.05307936452078664
0.8,Ter,FT,98,0.2876173469387755,0.0004089531481192124
0.8,Qua,FT,34,-0.008720588235294117,0.5200921429798984
0.8,Sáb,FT,35,0.03074285714285713,0.4241651969932141
0.8,Dom,FT,23,-0.21856521739130436,0.8670864513401522
0.85,Ter,FT,83,0.37486144578313246,2.3005285538348538e-05
0.85,Qua,FT,32,-0.09895312500000002,0.7196484904219271
0.85,Sáb,FT,34,0.061058823529411756,0.3537227376460357
0.9,Ter,FT,76,0.3875197368421053,3.581067495466564e-05
0.9,Qua,FT,32,-0.09895312500000002,0.7196484904219271
