fold,strategy,test_n,test_roi,test_stake,segments
1,baseline_all,508,-0.01574548670424194,7270.74,
1,clv_only_q0.5,255,0.04287681014486353,3849.83,
1,clv_only_q0.6,202,0.028224898464618203,3117.1400000000003,
1,clv_only_q0.7,137,0.09909479144833368,2099.2400000000002,
1,clv_only_q0.75,120,0.1011849842529876,1854.3200000000002,
1,clv_only_q0.8,94,0.05292637688806806,1516.1000000000004,
1,clv_only_q0.85,70,0.10039310163467165,1178.8300000000002,
1,clv_only_q0.9,59,0.10947175644673751,1015.6300000000001,
1,clvbin*dow*tipo_lcb,19,-0.07396825396825397,219.24,2.0
1,"clv_top25 + (dow,tipo)_lcb",6,0.625224043715847,109.79999999999998,1.0
2,baseline_all,508,0.06584785653430279,7911.019999999999,
2,clv_only_q0.5,271,0.0663669834878278,4341.040000000001,
2,clv_only_q0.6,228,0.05850117954655404,3679.3799999999997,
2,clv_only_q0.7,171,0.14024796775018297,2855.21,
2,clv_only_q0.75,147,0.1350267429233922,2449.62,
2,clv_only_q0.8,117,0.2389445593418318,1977.6099999999997,
2,clv_only_q0.85,85,0.23148031543705375,1487.46,
2,clv_only_q0.9,69,0.25119195550486767,1210.02,
2,clvbin*dow*tipo_lcb,3,0.6160698090692125,33.519999999999996,1.0
2,"clv_top25 + (dow,tipo)_lcb",13,-0.13598631752771884,211.95,2.0
3,baseline_all,508,-0.007927599873861447,7642.389999999999,
3,clv_only_q0.5,242,0.15659412637599823,3706.4000000000005,
3,clv_only_q0.6,189,0.1795338443824991,2970.3599999999997,
3,clv_only_q0.7,142,0.23321355673898528,2335.96,
3,clv_only_q0.75,121,0.27231754377188594,1998.9999999999998,
3,clv_only_q0.8,88,0.3522727853025075,1503.9299999999998,
3,clv_only_q0.85,57,0.4351223774791018,976.16,
3,clv_only_q0.9,40,0.5044211976621078,689.51,
3,clvbin*dow*tipo_lcb,30,0.33280605568241695,455.44000000000005,4.0
3,"clv_top25 + (dow,tipo)_lcb",40,0.13518631382780466,670.75,3.0
4,baseline_all,508,0.10109864512336711,8233.960000000001,
4,clv_only_q0.5,225,0.1364898481863795,3721.01,
4,clv_only_q0.6,189,0.12804507336518525,3120.6900000000005,
4,clv_only_q0.7,135,0.1217153738806838,2235.7400000000002,
4,clv_only_q0.75,103,0.2291843764825679,1728.4200000000003,
4,clv_only_q0.8,84,0.2811158851418844,1421.5800000000002,
4,clv_only_q0.85,61,0.24040515425240247,1039.5300000000002,
4,clv_only_q0.9,39,0.24995325235735968,625.7,
4,clvbin*dow*tipo_lcb,45,0.3479980962323825,651.3399999999999,6.0
4,"clv_top25 + (dow,tipo)_lcb",20,0.4244340552457529,308.43999999999994,2.0
5,baseline_all,510,0.11707669076813264,8980.09,
5,clv_only_q0.5,250,0.08874605718580293,4417.53,
5,clv_only_q0.6,192,0.10833940391908409,3346.19,
5,clv_only_q0.7,140,0.13452585839440828,2416.43,
5,clv_only_q0.75,120,0.1604450285524795,2050.61,
5,clv_only_q0.8,103,0.18170373324824504,1817.72,
5,clv_only_q0.85,89,0.15943680234945687,1607.18,
5,clv_only_q0.9,58,0.04655574456569014,1034.63,
5,clvbin*dow*tipo_lcb,37,0.32448570661656134,670.5900000000003,6.0
5,"clv_top25 + (dow,tipo)_lcb",20,0.3269067286220197,443.33000000000004,2.0
