FH_Ter,FT_Seg,FT_Ter,FT_Sex,FT_Sab,mean_profit,sd_profit,p05_profit,p50_profit,p95_profit,p_neg,mean_stake,mean_roi_turn
300,300,300,300,400,3174.5877065,4295.439250260947,-4328.722075,3510.597499999999,9664.858825,0.2226,89530.46985,0.03712668182679663
300,400,300,300,400,3165.8018435,4340.661878077561,-4444.730225,3506.487,9730.707275,0.22715,90478.6958,0.03662420599119956
300,300,250,300,400,3159.9121118999997,4041.6218855009142,-3948.3480000000004,3486.9129999999996,9244.616749999997,0.2119,87787.28945,0.037706586088186465
300,400,250,300,400,3151.126248899999,4086.3008618828026,-4049.15985,3494.9395,9303.396299999999,0.21615,88735.5154,0.03719378811597469
300,300,200,300,400,3145.9752163999997,3775.266088377824,-3560.9850500000002,3470.143,8758.7043,0.1983,85673.28245,0.03856952122314036
300,500,300,300,400,3138.563733499999,4395.438705824942,-4549.494049999999,3484.3642499999996,9800.400824999999,0.232,91289.1892,0.03607180563151063
300,400,200,300,400,3137.1893533999996,3818.5432823562815,-3661.29755,3458.3179999999993,8837.30085,0.20275,86621.5084,0.03804261725217261
250,300,300,300,400,3135.0735465999996,4239.836898793652,-4282.054675,3451.7699999999995,9565.650924999998,0.22315,89325.8528,0.03678110877699051
300,300,150,300,400,3126.8041639499997,3536.823038816523,-3186.3964,3440.4065,8362.15145,0.18615,83350.318,0.03947225617702685
250,400,300,300,400,3126.2876835999996,4284.722568670877,-4385.3118,3455.5917499999996,9617.827474999996,0.22645,90274.07875,0.03628388756246601
300,500,250,300,400,3123.888138899999,4141.662418542899,-4185.98325,3472.2929999999997,9382.326949999999,0.22195,89546.0088,0.036629821779732265
250,300,250,300,400,3120.397952,3986.4980553904475,-3883.50455,3429.4734999999996,9156.250399999999,0.21185,87582.6724,0.03735821620837589
300,400,150,300,400,3118.0183009499997,3578.1415380268986,-3267.7626499999997,3427.5389999999998,8434.777949999998,0.18965,84298.54395,0.0389294770100092
250,400,250,300,400,3111.6120889999993,4030.806047068985,-3985.7449000000006,3440.093999999999,9194.568099999999,0.21605,88530.89835,0.03685083497238179
300,500,200,300,400,3109.9512433999994,3874.8328286476653,-3769.0527499999994,3433.75,8894.746449999999,0.2083,87432.0018,0.037463456296834854
200,300,300,300,400,3106.8799265999996,4157.738347229919,-4167.3161,3394.8912499999997,9431.34895,0.2214,89041.4872,0.03658512032763181
250,300,200,300,400,3106.4610564999994,3722.007053280442,-3486.07935,3413.8099999999995,8655.711,0.19805,85468.6654,0.03821563057761492
250,500,300,300,400,3099.0495735999993,4339.947195551012,-4500.7775249999995,3424.3512499999997,9683.847399999997,0.23185,91084.57215,0.035735472070335984
200,400,300,300,400,3098.0940635999996,4202.667404584838,-4261.264050000001,3401.808,9496.09895,0.22465,89989.71315,0.03609216719312814
250,400,200,300,400,3097.6751934999993,3764.84510183805,-3587.020250000001,3403.0889999999995,8743.810749999995,0.202,86416.89135,0.037694398005392676
300,300,300,250,400,3095.63207395,4269.111206734231,-4332.361675,3416.4204999999993,9584.0766,0.22775,84812.7415,0.03808183925488689
300,300,300,200,400,3095.0729319999996,4265.058639354261,-4290.772425,3384.3132499999997,9650.754274999998,0.22965,79214.7,0.040599254654634744
200,300,250,300,400,3092.2043319999993,3905.370215762378,-3769.4769,3381.7455,9019.74715,0.21005,87298.3068,0.03716438427452888
300,500,150,300,400,3090.78019095,3634.6402138797102,-3382.2271000000005,3412.259499999999,8494.841599999998,0.19525,85109.03735,0.03833309875817853
250,300,150,300,400,3087.2900040499994,3484.85021539238,-3136.406250000001,3382.236,8255.4923,0.186,83145.70095,0.03911165174977882
