Tipo Aposta,DOW_name,n,stake,profit,roi
Asian handicap first half,Seg,3,67.21000000000001,50.49873,0.7513573872935575
Asian handicap,Ter,26,593.34,348.33516,0.5870751339872585
Asian handicap,Seg,6,155.72,87.83053,0.5640285769329566
Asian handicap first half,Sex,21,345.84999999999997,113.29346000000001,0.32757976001156575
Asian handicap,Dom,20,299.13,96.45791000000001,0.32246150503125737
Asian handicap,Sex,24,362.99,94.81297,0.26119995041185706
Asian handicap first half,Ter,16,363.82,94.32973999999999,0.25927585069539877
Asian handicap first half,Qui,8,187.2,38.03039,0.20315379273504272
Asian handicap,Qua,11,215.79,42.830130000000004,0.1984806061448631
Asian handicap,Sáb,23,267.34,12.162310000000003,0.04549379067853671
Asian handicap,Qui,11,242.34,-11.365369999999999,-0.04689844846084013
Asian handicap first half,Sáb,9,135.19,-22.172010000000004,-0.16400628744729642
Asian handicap first half,Dom,5,70.11,-18.451999999999998,-0.26318642133789755
Asian handicap first half,Qua,1,21.66,-21.66,-1.0
