thr,Tipo,DOW,oos_n,oos_meanROI_unit,oos_sd,oos_p_one,oos_profit_stakemax_proxy,oos_roi_stakemax_proxy,dec_bets,dec_profit_stakemax,dec_roi_stakemax,dec_Bmax
0.2,FT,Seg,48,0.29416666666666663,0.950152917890529,0.018577379566490707,21361.528,0.6430708651935697,22,3967.618,0.43342997596679045,99580.0
0.2,FT,Ter,223,0.2824372197309417,0.90796802668504,2.909924585957918e-06,19961.135000000002,0.30432270703744363,140,8810.295,0.2907592158674631,59920.0
0.2,FT,Qua,143,-0.034517482517482496,0.9219984999158831,0.6724702412412975,-6646.7875,-0.16839246807863803,89,-1624.7925,-0.07575496549794852,33340.0
0.2,FT,Sex,189,0.10381481481481483,0.9274863622858086,0.06276703498160582,-27757.690000000002,-0.2905347498429977,90,-634.9299999999986,-0.020627335044345493,122760.0
0.2,FT,Sáb,319,0.01093730407523511,0.9321142182523454,0.41706735637060355,-87610.69249999999,-0.3221218196190896,124,-67650.31,-0.5699171875789792,750000.0
0.2,FT,Dom,164,-0.11504268292682925,0.921547354059656,0.9440865302956287,-110104.931,-0.48335307778080194,83,-22749.529999999995,-0.24447139356946349,500000.0
0.2,FH,Seg,41,0.016731707317073193,0.8306075795581884,0.4490082946861187,192.09300000000005,0.04477692307692309,23,715.013,0.27756715838509316,10540.0
0.2,FH,Ter,78,0.2823205128205128,0.8105057663188444,0.0014505137878179886,1582.01,0.16716081994928148,45,1267.6929999999998,0.2733275118585597,5560.0
0.2,FH,Qua,43,0.06248837209302327,0.9132573144960955,0.3279831633136267,438.817,0.06981972951471759,20,-63.93999999999997,-0.022294281729428163,8700.0
0.2,FH,Sex,106,-0.006542452830188675,0.7427273873973659,0.5360445396644542,69.42850000000013,0.004331430532160467,46,1555.7945,0.2619623674019195,6300.0
0.2,FH,Sáb,227,0.15400440528634363,0.8004817741691361,0.002058437832503348,4268.118999999999,0.13157369216067075,102,1949.8529999999996,0.14945983443200977,15000.0
0.2,FH,Dom,72,-0.012993055555555534,0.863746949172393,0.5506031371347663,582.3684999999996,0.038275944791324325,38,-765.3615,-0.10093122774627455,31960.0
0.25,FT,Seg,48,0.29416666666666663,0.950152917890529,0.018577379566490707,21361.528,0.6430708651935697,22,3967.618,0.43342997596679045,99580.0
0.25,FT,Ter,217,0.28646774193548386,0.9117672483470239,3.1786199397773018e-06,18879.284999999996,0.29773825482187066,136,8912.319999999998,0.3005740109945701,59920.0
