thr,Tipo,DOW,folds_seen,n,meanROI,p_one_median,mean_n_per_fold
0.45,FH,Ter,5.0,53.0,0.4001132075471698,0.04297937146656619,10.6
0.9,FT,Ter,5.0,76.0,0.3875197368421053,0.08648776759284904,15.2
0.5,FH,Ter,5.0,51.0,0.38445098039215686,0.04297937146656619,10.2
0.85,FT,Ter,5.0,83.0,0.3748614457831325,0.08590298347661665,16.6
0.55,FH,Ter,5.0,41.0,0.37309756097560975,0.06704416779314452,8.2
0.95,FT,Ter,5.0,67.0,0.35452985074626864,0.32246334173386215,13.4
0.4,FH,Ter,5.0,60.0,0.34326666666666666,0.04297937146656619,12.0
0.55,FT,Ter,5.0,160.0,0.33677187500000005,0.2756702779960193,32.0
0.6,FT,Ter,5.0,155.0,0.33251935483870976,0.2756702779960193,31.0
0.5,FT,Ter,5.0,166.0,0.3318885542168675,0.29092867993131144,33.2
0.65,FT,Ter,5.0,147.0,0.32871088435374146,0.37146771155838565,29.4
0.45,FT,Ter,5.0,182.0,0.3184807692307693,0.2460509168607447,36.4
0.3,FH,Ter,5.0,72.0,0.3053611111111111,0.06430688149104946,14.4
0.35,FH,Ter,5.0,66.0,0.30342424242424243,0.06430688149104946,13.2
0.4,FT,Ter,5.0,191.0,0.3007827225130891,0.18580050692051886,38.2
0.2,FT,Seg,5.0,48.0,0.2941666666666667,0.3757569901684866,9.6
0.25,FT,Seg,5.0,48.0,0.2941666666666667,0.3757569901684866,9.6
0.35,FT,Ter,5.0,198.0,0.29237121212121214,0.23174942990976832,39.6
0.8,FT,Ter,5.0,98.0,0.2876173469387755,0.08574753218289043,19.6
0.25,FT,Ter,5.0,217.0,0.28646774193548386,0.3157672103266876,43.4
0.25,FH,Ter,5.0,75.0,0.28488,0.06430688149104946,15.0
0.2,FT,Ter,5.0,223.0,0.28243721973094177,0.41036869981328333,44.6
0.2,FH,Ter,5.0,78.0,0.28232051282051285,0.07663905234172622,15.6
0.3,FT,Ter,5.0,207.0,0.2802632850241546,0.2560965686647828,41.4
0.7,FT,Ter,5.0,134.0,0.22545149253731342,0.4789304251483042,26.8
0.25,FH,Sáb,5.0,165.0,0.20320606060606058,0.05261869733935159,33.0
0.3,FH,Sáb,5.0,146.0,0.17849315068493152,0.12352223172093249,29.2
0.35,FH,Sáb,5.0,112.0,0.16991071428571428,0.1622911827046645,22.4
0.4,FH,Sáb,5.0,101.0,0.16684158415841588,0.20659918766569355,20.2
0.5,FT,Sáb,4.0,74.0,0.15816216216216217,0.29886328253477595,14.8
0.2,FH,Sáb,5.0,227.0,0.15400440528634363,0.09141641689338524,45.4
0.55,FT,Sáb,4.0,56.0,0.15324999999999997,0.3354882257890785,11.2
0.75,FT,Ter,5.0,116.0,0.14654741379310346,0.216302846231956,23.2
0.75,FT,Qua,5.0,40.0,0.1406625,0.5118215442306552,8.0
0.7,FT,Qua,5.0,51.0,0.1152843137254902,0.624200201890059,10.2
0.6,FT,Sáb,4.0,49.0,0.10728571428571428,0.2699323370945507,9.8
0.2,FT,Sex,5.0,189.0,0.1038148148148148,0.1740487831378879,37.8
0.5,FT,Qua,5.0,84.0,0.10343452380952382,0.34170295977777654,16.8
0.45,FT,Sáb,4.0,105.0,0.09446666666666666,0.24914564579862575,21.0
0.45,FH,Sáb,5.0,51.0,0.08231372549019607,0.41660951203996976,10.2
0.65,FT,Qua,5.0,56.0,0.07927678571428573,0.5014744776977765,11.2
0.45,FT,Qua,5.0,96.0,0.07788541666666667,0.3793393319449255,19.2
0.6,FT,Qua,5.0,66.0,0.0753560606060606,0.33846734222653263,13.2
0.35,FT,Sáb,4.0,153.0,0.07289869281045752,0.32427790556,30.6
0.2,FH,Qua,5.0,43.0,0.06248837209302326,0.41216839732355043,8.6
0.4,FT,Sáb,4.0,124.0,0.060592741935483876,0.3254643019505534,24.8
0.4,FT,Qua,5.0,110.0,0.0408181818181818,0.39006808703567525,22.0
0.55,FT,Qua,5.0,74.0,0.03714189189189189,0.33846734222653263,14.8
0.25,FT,Sex,5.0,154.0,0.032428571428571425,0.3355026469905078,30.8
0.25,FH,Qua,5.0,40.0,0.030375000000000003,0.41216839732355043,8.0
0.35,FT,Qua,5.0,119.0,0.021840336134453773,0.39006808703567525,23.8
0.2,FH,Seg,5.0,41.0,0.016731707317073196,0.4238155114483038,8.2
0.25,FH,Seg,5.0,41.0,0.016731707317073196,0.4238155114483038,8.2
0.3,FT,Sex,5.0,125.0,0.014184,0.4039228061856549,25.0
0.2,FT,Sáb,5.0,319.0,0.010937304075235108,0.4510156122637776,63.8
0.3,FT,Qua,5.0,129.0,0.007899224806201541,0.4294196783217482,25.8
0.3,FH,Sex,5.0,80.0,0.0029125000000000067,0.12263528539045945,16.0
0.25,FH,Dom,5.0,50.0,-0.00039999999999999145,0.6130724364124223,10.0
