ts,Tipo_raw,Subtipo da Aposta,Casa aposta vencedora,Número de casas disponíveis no momento da aposta,Dif % maior odd e segunda maior,Dif % maior odd e odd mediana,Dif Odds RB & BIA,MinutesToMatchStart,TempoApostas.Tempo total bot,Result,Odds,Tipo,wd,Dia Semana Aposta (UTC),DOW_name,Turno Aposta (UTC),Dif percent maior odd e segunda maior,Dif percent maior odd e odd mediana,Dif Odds RB E BIA,ROI,score
2025-01-09 17:47:00,Asian handicap,0,sing2,7.0,0.06,0.07,0.13061224489795928,267.0,,Win,2.45,FT,3,quinta-feira,Qui,tarde,0.06,0.07,0.13061224489795928,1.4500000000000002,0.0
2025-01-09 17:54:00,Asian handicap first half,"+0,25",sing2,2.0,1.0,0.05,0.006352087114337674,1596.0,,Lose,2.204,FH,3,quinta-feira,Qui,tarde,1.0,0.05,0.006352087114337674,-1.0,0.0
2025-03-09 12:09:00,Asian handicap,-1,sing2,4.0,0.05,0.05,0.005847953216374274,396.0,,Win,2.052,FT,6,domingo,Dom,tarde,0.05,0.05,0.005847953216374274,1.052,0.3394261281741346
2025-03-09 12:12:00,Asian handicap,-1,sbo,6.0,0.05,0.09,0.0029556650246304354,167.0,,Lose,2.03,FT,6,domingo,Dom,tarde,0.05,0.09,0.0029556650246304354,-1.0,0.48498435235503107
2025-03-09 13:06:00,Asian handicap first half,"-0,75",sing2,2.0,0.07,0.03,0.0059171597633136145,2064.0,,HalfWin,1.69,FH,6,domingo,Dom,tarde,0.07,0.03,0.0059171597633136145,0.345,0.3593927174412976
2025-03-09 13:16:00,Asian handicap,-1,sing2,5.0,0.07,0.08,0.00540540540540541,2669.0,,Void,1.85,FT,6,domingo,Dom,tarde,0.07,0.08,0.00540540540540541,0.0,0.4109563615412795
2025-03-09 13:18:00,Asian handicap,0,sing2,3.0,0.05,0.05,0.005025125628140708,431.0,,Void,1.99,FT,6,domingo,Dom,tarde,0.05,0.05,0.005025125628140708,0.0,0.3416998940144249
2025-03-09 13:22:00,Asian handicap first half,0,pin88,2.0,1.0,0.05,0.0,1358.0,,Void,2.78,FH,6,domingo,Dom,tarde,1.0,0.05,0.0,0.0,0.03905155140290723
2025-03-09 13:34:00,Asian handicap,"-0,75",pin88,3.0,0.08,0.08,0.03225806451612896,235.0,,Lose,2.17,FT,6,domingo,Dom,tarde,0.08,0.08,0.03225806451612896,-1.0,0.20770851912360686
2025-03-09 13:48:00,Asian handicap first half,1,xxxxx,1.0,,,0.005025125628140708,1391.0,,Void,1.99,FH,6,domingo,Dom,tarde,,,0.005025125628140708,0.0,0.2574169777031976
